,Variable,Importance,MonthYear
0,event_count_10,5.25927716807928e-05,201402
1,event_count_11,0.006259786430746317,201402
2,event_count_12,0.00026387872640043497,201402
3,event_count_13,0.00173606991302222,201402
4,event_count_14,0.00031391059746965766,201402
5,event_count_15,0.003849792759865522,201402
6,event_count_16,0.0041290298104286185,201402
7,event_count_17,0.006334655452519654,201402
8,event_count_18,0.0008690691320225596,201402
9,event_count_19,0.00036630308022722596,201402
10,event_count_20,0.0,201402
11,event_count_21,3.6779307265533134e-05,201402
12,event_count_22,0.0002508568577468395,201402
13,event_count_23,3.9943348383530974e-05,201402
14,event_count_24,0.00036408682353794575,201402
15,event_count_25,0.00018729384464677423,201402
16,event_count_26,0.0,201402
17,event_count_27,0.0,201402
18,event_count_28,0.03596755117177963,201402
19,event_count_30,0.0,201402
20,event_count_31,0.001348770223557949,201402
21,event_count_32,0.008905862458050251,201402
22,event_count_33,0.0012143127387389539,201402
23,event_count_35,0.004555790685117246,201402
24,event_count_36,0.004842280875891447,201402
25,event_count_37,9.043025056598708e-05,201402
26,event_count_40,0.014997826889157297,201402
27,event_count_41,0.008499471470713615,201402
28,event_count_42,0.0003329676983412355,201402
29,event_count_43,0.0011859288206323981,201402
30,event_count_44,0.012578131631016731,201402
31,event_count_45,3.413874219404533e-05,201402
32,event_count_46,0.0006756149814464152,201402
33,event_count_50,0.0006686692358925939,201402
34,event_count_51,0.0007589532760903238,201402
35,event_count_52,0.0,201402
36,event_count_53,0.0,201402
37,event_count_54,2.9034594263066534e-05,201402
38,event_count_55,0.007212845142930745,201402
39,event_count_56,0.0027695668395608664,201402
40,event_count_57,0.0010874030413106084,201402
41,event_count_60,0.0018368790624663234,201402
42,event_count_61,0.04039321094751358,201402
43,event_count_62,0.034536365419626236,201402
44,event_count_63,0.0014683271292597055,201402
45,event_count_64,0.0,201402
46,event_count_70,0.0019599965307861567,201402
47,event_count_71,0.0012241980293765664,201402
48,event_count_72,1.0734681382018609e-05,201402
49,event_count_73,0.029231006279587742,201402
50,event_count_75,0.00040921062463894486,201402
51,event_count_80,0.00045993801904842263,201402
52,event_count_81,0.00014602749433834106,201402
53,event_count_83,0.0,201402
54,event_count_84,0.0,201402
55,event_count_85,0.01508599333465099,201402
56,event_count_86,0.0,201402
57,event_count_87,0.0,201402
58,event_count_90,0.009266846813261507,201402
59,event_count_92,0.0,201402
60,event_count_93,0.0,201402
61,event_count_100,0.009738550521433352,201402
62,event_count_101,0.00012759715900756421,201402
63,event_count_104,0.0015468416968360545,201402
64,event_count_105,0.0,201402
65,event_count_106,0.0014787593390792608,201402
66,event_count_110,0.00012966922076884654,201402
67,event_count_111,0.00043015493429265916,201402
68,event_count_112,0.0024825292639434338,201402
69,event_count_113,0.0001548511500004679,201402
70,event_count_114,0.000990930013358593,201402
71,event_count_120,0.0,201402
72,event_count_122,0.002730582607910037,201402
73,event_count_124,0.0,201402
74,event_count_125,0.006583237089216709,201402
75,event_count_127,0.00012898081331513822,201402
76,event_count_128,0.0,201402
77,event_count_129,0.033431004732847214,201402
78,event_count_130,0.0013644479913637042,201402
79,event_count_131,0.0026323450729250912,201402
80,event_count_134,0.0,201402
81,event_count_138,0.1997527927160263,201402
82,event_count_139,0.0006425515748560429,201402
83,event_count_141,0.0073325573466718206,201402
84,event_count_143,0.08105184882879257,201402
85,event_count_145,0.0006405226886272429,201402
86,event_count_150,0.002200764138251543,201402
87,event_count_151,0.011644494719803332,201402
88,event_count_152,0.003567824605852365,201402
89,event_count_154,0.0,201402
90,event_count_160,0.02635200321674347,201402
91,event_count_161,0.007181941531598569,201402
92,event_count_162,1.5240011634887194e-05,201402
93,event_count_163,0.10235416889190674,201402
94,event_count_164,0.0024066646583378315,201402
95,event_count_170,0.008758654817938805,201402
96,event_count_171,0.02029370702803135,201402
97,event_count_172,0.021723557263612747,201402
98,event_count_173,0.0332535058259964,201402
99,event_count_174,3.650334474514239e-05,201402
100,event_count_180,0.07619877904653549,201402
101,event_count_181,0.021962249651551247,201402
102,event_count_182,8.504102879669517e-06,201402
103,event_count_183,0.004467191640287639,201402
104,event_count_186,3.4491225960664444e-05,201402
105,event_count_190,0.0002798929053824395,201402
106,event_count_191,0.0,201402
107,event_count_192,0.03331995755434036,201402
108,event_count_193,9.923029574565591e-05,201402
109,event_count_194,0.0016315706307068467,201402
110,event_count_195,0.0,201402
111,event_count_10,0.008187586441636086,201403
112,event_count_11,0.0009803891880437732,201403
113,event_count_12,0.010887150652706623,201403
114,event_count_13,0.0013047198299318552,201403
115,event_count_14,0.0009714494808577,201403
116,event_count_15,0.01121065765619278,201403
117,event_count_16,0.00535367988049984,201403
118,event_count_17,0.013711061328649521,201403
119,event_count_18,0.0003790971531998366,201403
120,event_count_19,0.0005496424273587762,201403
121,event_count_20,0.003089072648435831,201403
122,event_count_21,6.250532169360666e-05,201403
123,event_count_22,0.0036601666361093525,201403
124,event_count_23,0.027716005221009254,201403
125,event_count_24,0.0007788095972500741,201403
126,event_count_25,0.0,201403
127,event_count_26,0.0017048437148332596,201403
128,event_count_27,0.002415672643110156,201403
129,event_count_28,0.04374294728040695,201403
130,event_count_30,0.0008361029322259128,201403
131,event_count_31,0.003181073116138577,201403
132,event_count_32,0.000255171355092898,201403
133,event_count_33,0.002611509989947081,201403
134,event_count_35,0.004415763076394796,201403
135,event_count_36,0.002946119289845228,201403
136,event_count_37,0.0014886705903336404,201403
137,event_count_40,0.0011119937989860773,201403
138,event_count_41,0.003045005491003394,201403
139,event_count_42,0.016344036906957626,201403
140,event_count_43,0.010732771828770638,201403
141,event_count_44,0.008955854922533034,201403
142,event_count_45,0.0002523159200791269,201403
143,event_count_46,0.003574939211830497,201403
144,event_count_50,7.75070147938095e-05,201403
145,event_count_51,0.0006908848299644887,201403
146,event_count_52,0.0037791002541780467,201403
147,event_count_53,0.00012788004823960364,201403
148,event_count_54,0.0015909040812402966,201403
149,event_count_55,0.004768010228872299,201403
150,event_count_56,1.6870590116013773e-05,201403
151,event_count_57,0.002617956604808569,201403
152,event_count_60,0.0030454385560005908,201403
153,event_count_61,0.01229320839047432,201403
154,event_count_62,0.01782975718379021,201403
155,event_count_63,0.0028477052692323927,201403
156,event_count_64,0.00022724382870364931,201403
157,event_count_70,0.0010896475287154317,201403
158,event_count_71,0.0008289373363368213,201403
159,event_count_72,0.00030924804741516715,201403
160,event_count_73,0.006170168053358793,201403
161,event_count_75,0.0004246379830874503,201403
162,event_count_80,0.006062805652618408,201403
163,event_count_81,0.0006818722467869519,201403
164,event_count_83,0.004847115371376276,201403
165,event_count_84,0.002188571030274033,201403
166,event_count_85,0.0052739507518708715,201403
167,event_count_86,0.0005536750541068614,201403
168,event_count_87,0.003648290876299143,201403
169,event_count_90,0.007980340160429478,201403
170,event_count_92,0.0046528447419404975,201403
171,event_count_93,0.02209925279021263,201403
172,event_count_100,0.00202038767747581,201403
173,event_count_101,0.00010888167889788748,201403
174,event_count_104,0.028687639161944386,201403
175,event_count_105,0.004426958039402962,201403
176,event_count_106,0.0002765178505796939,201403
177,event_count_110,0.00030604487983509904,201403
178,event_count_111,0.007954820059239864,201403
179,event_count_112,0.0012194352457299829,201403
180,event_count_113,0.00037441373569890857,201403
181,event_count_114,0.002668874571099877,201403
182,event_count_120,0.0006244113319553435,201403
183,event_count_122,0.004741816781461239,201403
184,event_count_124,0.00789691787213087,201403
185,event_count_125,9.42574188229628e-05,201403
186,event_count_127,0.0129639757797122,201403
187,event_count_128,0.0011181974550709126,201403
188,event_count_129,0.008435865864157677,201403
189,event_count_130,8.186249033315107e-05,201403
190,event_count_131,0.025797294452786446,201403
191,event_count_134,0.016745496541261673,201403
192,event_count_138,0.02212715707719326,201403
193,event_count_139,8.307024108944461e-05,201403
194,event_count_141,0.015165738761425018,201403
195,event_count_143,0.030842546373605725,201403
196,event_count_145,0.0012674701865762472,201403
197,event_count_150,0.004846512340009213,201403
198,event_count_151,0.00018349080346524718,201403
199,event_count_152,0.00022885686485096807,201403
200,event_count_154,0.02878041379153728,201403
201,event_count_160,0.016058187931776047,201403
202,event_count_161,0.06820131093263626,201403
203,event_count_162,0.0052007604390382775,201403
204,event_count_163,0.04020152240991592,201403
205,event_count_164,0.0013184139970690012,201403
206,event_count_170,0.005540126468986273,201403
207,event_count_171,0.002244788222014904,201403
208,event_count_172,0.07047285884618759,201403
209,event_count_173,0.031901583075523376,201403
210,event_count_174,0.004699335433542728,201403
211,event_count_180,0.005912560969591141,201403
212,event_count_181,0.04404415562748909,201403
213,event_count_182,0.0014652927638962865,201403
214,event_count_183,0.009731540456414223,201403
215,event_count_186,0.01720097474753857,201403
216,event_count_190,0.04061105102300644,201403
217,event_count_191,3.248527355026454e-05,201403
218,event_count_192,0.04817739874124527,201403
219,event_count_193,0.012778665870428084,201403
220,event_count_194,0.03080013580620289,201403
221,event_count_195,0.00015687596169300375,201403
222,event_count_10,0.008371046744287014,201404
223,event_count_11,0.00890134833753109,201404
224,event_count_12,0.00010073089651996271,201404
225,event_count_13,0.0007044391240924598,201404
226,event_count_14,0.0006338648963719606,201404
227,event_count_15,6.414114614017308e-05,201404
228,event_count_16,0.013331824913620949,201404
229,event_count_17,0.0265759639441967,201404
230,event_count_18,0.000792799168266356,201404
231,event_count_19,0.0,201404
232,event_count_20,0.001274669892154634,201404
233,event_count_21,0.0002593263052403927,201404
234,event_count_22,0.0,201404
235,event_count_23,0.0006953614647500218,201404
236,event_count_24,0.008081397973001003,201404
237,event_count_25,0.0,201404
238,event_count_26,0.0001273577508982271,201404
239,event_count_27,0.012230338528752329,201404
240,event_count_28,0.059191297739744186,201404
241,event_count_30,0.008335878141224384,201404
242,event_count_31,0.00010002211638493465,201404
243,event_count_32,0.0002732151187956333,201404
244,event_count_33,0.003326835343614221,201404
245,event_count_35,1.3147765457688365e-05,201404
246,event_count_36,0.0006275810301303864,201404
247,event_count_37,0.0,201404
248,event_count_40,0.006627400871366262,201404
249,event_count_41,0.001001307973638177,201404
250,event_count_42,0.001475032651796937,201404
251,event_count_43,0.002325451001524925,201404
252,event_count_44,0.008443462662398815,201404
253,event_count_45,0.001198089332319796,201404
254,event_count_46,0.00032708488288335497,201404
255,event_count_50,0.0003985140356235206,201404
256,event_count_51,0.005335413850843906,201404
257,event_count_52,0.00018490920774638653,201404
258,event_count_53,4.8338890337618075e-05,201404
259,event_count_54,0.0,201404
260,event_count_55,0.0044280532747507095,201404
261,event_count_56,0.011105713434517384,201404
262,event_count_57,8.386814442928879e-05,201404
263,event_count_60,0.0008154989336617291,201404
264,event_count_61,0.0321718268096447,201404
265,event_count_62,0.025895679369568825,201404
266,event_count_63,0.0008917736704461278,201404
267,event_count_64,0.0,201404
268,event_count_70,0.007914419285953045,201404
269,event_count_71,8.714013529242948e-05,201404
270,event_count_72,0.009189097210764885,201404
271,event_count_73,0.024480672553181648,201404
272,event_count_75,0.00025102010113187134,201404
273,event_count_80,0.0077370060607790956,201404
274,event_count_81,0.005978518165647984,201404
275,event_count_83,0.04328317195177078,201404
276,event_count_84,0.0,201404
