,Variable,Importance,MonthYear
0,event_count_10,6.545588257722558e-05,201402
1,event_count_12,0.0007824892527423799,201402
2,event_count_13,0.01722968928515911,201402
3,event_count_14,0.038472838699817664,201402
4,event_count_17,0.012877334840595722,201402
5,event_count_20,0.03037496656179428,201402
6,event_count_30,0.058113373816013336,201402
7,event_count_33,0.03386438637971878,201402
8,event_count_36,0.03364790603518486,201402
9,event_count_40,0.0020121883135288954,201402
10,event_count_42,0.09858247637748717,201402
11,event_count_43,0.07686985284090042,201402
12,event_count_46,0.00012962380424141884,201402
13,event_count_50,0.014987593516707419,201402
14,event_count_51,0.023453792557120327,201402
15,event_count_57,0.012697214260697365,201402
16,event_count_60,0.011109812185168266,201402
17,event_count_70,0.010599253699183464,201402
18,event_count_71,0.003689473262056708,201402
19,event_count_80,0.0010359204607084394,201402
20,event_count_84,0.0015788284363225102,201402
21,event_count_90,0.01640371792018414,201402
22,event_count_100,0.05538706108927727,201402
23,event_count_110,0.04247298836708069,201402
24,event_count_111,0.024595381692051888,201402
25,event_count_112,0.026359133422374725,201402
26,event_count_120,0.018876953050494198,201402
27,event_count_130,0.037723805755376816,201402
28,event_count_154,0.044073257595300674,201402
29,event_count_172,0.0053290408104658136,201402
30,event_count_173,0.112126886844635,201402
31,event_count_190,0.0013579208170995116,201402
32,event_count_193,0.1331193745136261,201402
33,event_count_10,0.0016299070557579398,201403
34,event_count_12,0.0033885394223034378,201403
35,event_count_13,0.037833523005247116,201403
36,event_count_14,0.03396262973546982,201403
37,event_count_17,0.017992131412029266,201403
38,event_count_20,0.03338901326060295,201403
39,event_count_30,0.04227975010871887,201403
40,event_count_33,0.03139587864279747,201403
41,event_count_36,0.017550360411405563,201403
42,event_count_40,0.0061671133153140545,201403
43,event_count_42,0.0562683492898941,201403
44,event_count_43,0.034356165677309036,201403
45,event_count_46,0.004381128121167421,201403
46,event_count_50,0.021563701331615448,201403
47,event_count_51,0.05301200225949288,201403
48,event_count_57,0.031718678772449486,201403
49,event_count_60,0.012041263282299042,201403
50,event_count_70,0.02441086620092392,201403
51,event_count_71,0.016499420627951622,201403
52,event_count_80,0.016106825321912766,201403
53,event_count_84,0.01211930811405182,201403
54,event_count_90,0.024790184572339058,201403
55,event_count_100,0.0,201403
56,event_count_110,0.0769898071885109,201403
57,event_count_111,0.04377962276339531,201403
58,event_count_112,0.023229597136378292,201403
59,event_count_120,0.025586150586605072,201403
60,event_count_130,0.038368400186300285,201403
61,event_count_154,0.03627491369843483,201403
62,event_count_172,0.0070510455407202235,201403
63,event_count_173,0.07692258805036545,201403
64,event_count_190,0.015392131172120571,201403
65,event_count_193,0.12354904413223268,201403
66,event_count_10,0.000985901337116957,201404
67,event_count_12,0.0036590625531971455,201404
68,event_count_13,0.02887269668281078,201404
69,event_count_14,0.03624703362584114,201404
70,event_count_17,0.01847716607153416,201404
71,event_count_20,0.02970519475638866,201404
72,event_count_30,0.04515774548053742,201404
73,event_count_33,0.03869704529643059,201404
74,event_count_36,0.017638130113482475,201404
75,event_count_40,0.008298804983496666,201404
76,event_count_42,0.04633467271924019,201404
77,event_count_43,0.02997265756130218,201404
78,event_count_46,0.0036097350530326366,201404
79,event_count_50,0.023469280451536182,201404
80,event_count_51,0.06518183648586273,201404
81,event_count_57,0.029381921514868736,201404
82,event_count_60,0.0189775824546814,201404
83,event_count_70,0.021290533244609836,201404
84,event_count_71,0.01576289907097816,201404
85,event_count_80,0.013380781747400759,201404
86,event_count_84,0.007228494156152009,201404
87,event_count_90,0.013618513010442257,201404
88,event_count_100,0.01805958338081837,201404
89,event_count_110,0.05211831629276276,201404
90,event_count_111,0.03102298080921173,201404
91,event_count_112,0.0461278036236763,201404
92,event_count_120,0.01683155633509159,201404
93,event_count_130,0.03100827150046825,201404
94,event_count_154,0.04234017431735992,201404
95,event_count_172,0.0209533330053091,201404
96,event_count_173,0.08142594248056413,201404
97,event_count_190,0.010984238237142565,201404
98,event_count_193,0.1331801861524582,201404
99,event_count_10,0.015984229743480682,201405
100,event_count_12,0.011072911322116852,201405
101,event_count_13,0.06086358428001404,201405
102,event_count_14,0.06561916321516037,201405
103,event_count_17,0.005597731564193964,201405
104,event_count_20,0.002695841249078512,201405
105,event_count_30,0.020813969895243645,201405
106,event_count_33,0.06656911969184875,201405
107,event_count_36,0.011865832842886448,201405
108,event_count_40,0.0012512259418144822,201405
109,event_count_42,0.0671127587556839,201405
110,event_count_43,0.0432145856320858,201405
111,event_count_46,0.00035047961864620447,201405
112,event_count_50,0.039723433554172516,201405
113,event_count_51,0.020247241482138637,201405
114,event_count_57,0.01533734332770109,201405
115,event_count_60,0.0103658065199852,201405
116,event_count_70,0.015051329508423804,201405
117,event_count_71,0.0061216289177536964,201405
118,event_count_80,0.029675021767616275,201405
119,event_count_84,0.0011923630954697726,201405
120,event_count_90,0.058819565922021866,201405
121,event_count_100,0.004812305793166161,201405
122,event_count_110,0.034505311399698264,201405
123,event_count_111,0.038757916539907455,201405
124,event_count_112,0.07280418276786804,201405
125,event_count_120,0.000993370427750051,201405
126,event_count_130,0.032357130199670785,201405
127,event_count_154,0.0650777518749237,201405
128,event_count_172,0.025106828659772876,201405
129,event_count_173,0.03819381445646286,201405
130,event_count_190,0.033171407878398895,201405
131,event_count_193,0.08467482030391693,201405
132,event_count_10,0.0011973842047154903,201406
133,event_count_12,0.0036322381347417827,201406
134,event_count_13,0.01901482790708542,201406
135,event_count_14,0.02379412017762661,201406
136,event_count_17,0.018381105735898014,201406
137,event_count_20,0.0237859170883894,201406
138,event_count_30,0.027621082961559296,201406
139,event_count_33,0.031857017427682884,201406
140,event_count_36,0.02378895692527294,201406
141,event_count_40,0.009227282367646694,201406
142,event_count_42,0.06526020169258118,201406
143,event_count_43,0.05199166014790535,201406
144,event_count_46,0.0016284568700939415,201406
145,event_count_50,0.03086339123547077,201406
146,event_count_51,0.04183139652013779,201406
147,event_count_57,0.02708800695836544,201406
148,event_count_60,0.009434973821043968,201406
149,event_count_70,0.02425888366997242,201406
150,event_count_71,0.00980497058480978,201406
151,event_count_80,0.01101255789399147,201406
152,event_count_84,0.003904608311131597,201406
153,event_count_90,0.028996035456657413,201406
154,event_count_100,0.09295273572206496,201406
155,event_count_110,0.041748981922864914,201406
156,event_count_111,0.05121853575110436,201406
157,event_count_112,0.03262178599834442,201406
158,event_count_120,0.01294125895947218,201406
159,event_count_130,0.050503499805927284,201406
160,event_count_154,0.02260117046535015,201406
161,event_count_172,0.013878906145691872,201406
162,event_count_173,0.09251336753368378,201406
163,event_count_190,0.00898827612400055,201406
