MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.069,176,1.0,19.0,46,4.0,1.0,0.0,36.0,2.0,0.0,82,8.0,0.0,1.0,0.0,3.0,12.0,0.0,1.0,22,7,0.0,11.0,0.0,0.0,189,9.0,0.0,0.0,253,2.0,274,265,6.0,7.0,109,8.0,93,0.0,0.0,0.0,0.0,0.0,44,25,12,2.0,1.0,0.0,39,6,5.0,6.0,0.0,0.0,9,0.0,0.0,1.0,21,0.0,0.0,8.0,22,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,9,4,22,0.0,1.0,0.0,0.0,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,44,9.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,96,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,2.065,153,1.0,17.0,35,6.0,3.0,6.0,11.0,0.0,0.0,94,0.0,0.0,1.0,2.0,13.0,20.0,1.0,0.0,23,2,1.0,0.0,0.0,0.0,221,0.0,0.0,0.0,164,0.0,349,371,4.0,1.0,140,16.0,87,0.0,0.0,1.0,2.0,0.0,54,26,4,0.0,2.0,0.0,40,19,0.0,1.0,0.0,0.0,27,0.0,0.0,0.0,16,0.0,0.0,3.0,32,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,19,12,7,0.0,2.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,8.0,64,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200805,2.061,137,0.0,10.0,15,10.0,0.0,3.0,4.0,1.0,1.0,64,0.0,0.0,14.0,0.0,0.0,8.0,4.0,0.0,46,8,0.0,14.0,0.0,0.0,133,0.0,0.0,0.0,201,0.0,189,201,1.0,0.0,89,9.0,74,2.0,2.0,0.0,0.0,0.0,29,45,7,0.0,1.0,0.0,17,13,0.0,3.0,1.0,0.0,8,2.0,1.0,0.0,18,0.0,1.0,0.0,9,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12,25,8,0.0,3.0,0.0,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,16,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,17,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,2.057,145,3.0,41.0,37,17.0,9.0,1.0,15.0,0.0,0.0,125,3.0,5.0,0.0,3.0,1.0,23.0,5.0,0.0,18,7,0.0,2.0,0.0,12.0,194,0.0,0.0,0.0,267,0.0,194,182,16.0,0.0,142,9.0,64,0.0,0.0,0.0,0.0,0.0,9,14,3,0.0,0.0,0.0,12,11,2.0,1.0,0.0,0.0,25,1.0,2.0,2.0,20,1.0,0.0,9.0,23,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11,14,19,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42,10.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,34,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
200807,2.053,164,1.0,14.0,31,12.0,3.0,0.0,14.0,2.0,0.0,117,2.0,0.0,2.0,1.0,2.0,15.0,0.0,0.0,17,13,0.0,2.0,0.0,0.0,225,1.0,0.0,0.0,271,0.0,265,280,7.0,3.0,116,16.0,90,0.0,0.0,0.0,0.0,0.0,13,31,15,0.0,0.0,0.0,22,31,2.0,3.0,0.0,0.0,15,13.0,0.0,0.0,38,2.0,0.0,6.0,18,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,11,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,32,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26,0.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
200808,2.049,108,0.0,13.0,22,9.0,1.0,5.0,7.0,7.0,0.0,62,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,14,4,3.0,3.0,0.0,1.0,86,0.0,0.0,0.0,150,6.0,168,170,1.0,1.0,56,10.0,64,0.0,0.0,0.0,0.0,2.0,22,18,20,2.0,0.0,0.0,12,10,2.0,4.0,0.0,0.0,21,0.0,4.0,0.0,9,0.0,0.0,6.0,19,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7,6,0.0,9.0,0.0,0.0,17,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,16,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.045,128,2.0,22.0,64,20.0,2.0,3.0,12.0,0.0,0.0,80,1.0,1.0,2.0,3.0,1.0,6.0,0.0,0.0,11,2,0.0,4.0,0.0,4.0,35,0.0,0.0,0.0,131,1.0,121,125,0.0,0.0,36,8.0,124,0.0,0.0,0.0,0.0,0.0,19,20,3,0.0,0.0,0.0,14,19,5.0,1.0,0.0,0.0,18,3.0,0.0,3.0,13,0.0,0.0,2.0,20,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,38,20,37,0.0,12.0,0.0,0.0,31,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,57,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,2.041,140,0.0,46.0,24,4.0,1.0,9.0,18.0,0.0,0.0,105,0.0,3.0,6.0,0.0,3.0,7.0,1.0,0.0,12,16,0.0,2.0,0.0,0.0,115,0.0,0.0,0.0,164,0.0,137,128,6.0,4.0,70,19.0,163,0.0,0.0,2.0,0.0,0.0,21,43,18,2.0,0.0,0.0,45,11,4.0,1.0,4.0,0.0,28,0.0,0.0,4.0,16,0.0,1.0,6.0,6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,32,4,26,0.0,2.0,0.0,0.0,14,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,38,2.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,33,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200811,2.037,188,3.0,75.0,23,22.0,4.0,43.0,16.0,1.0,4.0,109,2.0,1.0,18.0,0.0,10.0,12.0,5.0,0.0,68,1,2.0,32.0,0.0,5.0,159,0.0,6.0,3.0,204,6.0,182,169,4.0,0.0,160,28.0,175,0.0,0.0,1.0,0.0,0.0,20,45,12,20.0,0.0,3.0,35,5,45.0,9.0,4.0,2.0,21,2.0,0.0,0.0,27,0.0,19.0,29.0,34,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,14.0,16,20,91,0.0,0.0,0.0,0.0,35,0.0,1.0,2.0,0.0,6.0,0.0,4.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0,4.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,13.0,25.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,27,7.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,174,1.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,2.033,186,0.0,13.0,19,7.0,4.0,3.0,10.0,0.0,0.0,81,1.0,3.0,2.0,1.0,2.0,4.0,2.0,0.0,43,13,4.0,0.0,0.0,4.0,79,0.0,0.0,0.0,117,4.0,136,125,7.0,3.0,40,9.0,75,1.0,0.0,0.0,0.0,0.0,50,58,10,3.0,0.0,0.0,19,13,12.0,0.0,0.0,1.0,24,2.0,0.0,0.0,21,0.0,1.0,4.0,19,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,13,5,17,0.0,1.0,0.0,0.0,10,0.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,16,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,31,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
