MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.124,105,0.0,9,37,0.0,2.0,9.0,5.0,1.0,1.0,47,3.0,3.0,9.0,0.0,3.0,1.0,0.0,0.0,17,4,1.0,8,0.0,0.0,119,0.0,0.0,0.0,90,10.0,133,133,0.0,3.0,50,8,57,0.0,0.0,1.0,1.0,0.0,21,17,8,0.0,0.0,0.0,9,33,1.0,5.0,1.0,0.0,12,8.0,0.0,2.0,24,0.0,0.0,0.0,27,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,9,46,0.0,2,0.0,0.0,17,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,18,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3,145,2.0,1.0,8,7.0,8.0,0.0,0.0,0.0,0.0,50,0.0,5.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0
200804,2.133083333333333,85,0.0,12,26,0.0,2.0,3.0,14.0,0.0,0.0,65,3.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,10,7,0.0,4,0.0,2.0,22,0.0,0.0,0.0,61,16.0,103,85,0.0,2.0,22,1,36,0.0,0.0,0.0,0.0,0.0,24,16,3,0.0,0.0,0.0,20,17,3.0,13.0,1.0,0.0,10,1.0,1.0,3.0,18,0.0,4.0,5.0,19,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,24,42,0.0,5,3.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,22,83,2.0,0.0,2,0.0,12.0,1.0,0.0,0.0,0.0,63,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0
200805,2.1421666666666668,82,0.0,23,23,16.0,0.0,5.0,4.0,1.0,0.0,56,1.0,0.0,9.0,0.0,4.0,2.0,0.0,0.0,13,5,0.0,14,0.0,8.0,38,0.0,0.0,0.0,57,2.0,75,69,0.0,8.0,23,9,43,4.0,0.0,0.0,0.0,0.0,7,9,14,0.0,0.0,0.0,17,26,3.0,6.0,3.0,0.0,8,10.0,2.0,0.0,16,0.0,2.0,2.0,14,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,13,35,0.0,9,0.0,0.0,33,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30,77,3.0,0.0,8,4.0,5.0,3.0,0.0,0.0,1.0,46,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0
200806,2.15125,131,0.0,25,50,25.0,2.0,10.0,14.0,0.0,1.0,85,3.0,0.0,3.0,0.0,11.0,13.0,0.0,0.0,15,7,0.0,9,0.0,7.0,48,0.0,0.0,0.0,80,17.0,88,95,0.0,0.0,67,19,85,11.0,0.0,2.0,0.0,0.0,54,25,4,0.0,0.0,0.0,15,13,3.0,7.0,4.0,0.0,16,9.0,0.0,9.0,41,0.0,1.0,6.0,14,0.0,2.0,0.0,0.0,17,2.0,0.0,0.0,0.0,1.0,0.0,0.0,24,16,68,1.0,11,8.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,35,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,28,87,0.0,0.0,2,2.0,15.0,2.0,0.0,0.0,1.0,30,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.160333333333333,484,14.0,129,171,101.0,4.0,22.0,10.0,0.0,0.0,352,4.0,5.0,38.0,9.0,83.0,73.0,8.0,15.0,119,11,3.0,21,3.0,15.0,236,17.0,4.0,17.0,497,23.0,252,228,7.0,24.0,512,56,239,3.0,1.0,3.0,0.0,4.0,152,155,9,8.0,0.0,0.0,71,7,81.0,8.0,0.0,2.0,80,0.0,8.0,76.0,79,0.0,1.0,69.0,50,10.0,2.0,0.0,0.0,69,0.0,0.0,0.0,8.0,8.0,0.0,0.0,200,57,138,4.0,51,5.0,0.0,134,0.0,0.0,0.0,6.0,10.0,0.0,23.0,15.0,0.0,77,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,18.0,72,0.0,0.0,4.0,6.0,15.0,0.0,5.0,7.0,76.0,32.0,40.0,2.0,3.0,43.0,0.0,0.0,12.0,36,178,5.0,17.0,7,10.0,15.0,0.0,0.0,0.0,1.0,104,15.0,69.0,44.0,1.0,3.0,0.0,0.0,0.0,0.0
200808,2.1694166666666668,114,4.0,18,41,9.0,0.0,13.0,12.0,0.0,0.0,63,1.0,0.0,4.0,0.0,7.0,19.0,3.0,0.0,69,16,0.0,5,0.0,18.0,85,0.0,0.0,6.0,149,2.0,145,128,0.0,5.0,101,13,71,0.0,0.0,0.0,0.0,0.0,15,23,5,0.0,2.0,0.0,16,13,16.0,1.0,0.0,0.0,23,4.0,0.0,5.0,13,0.0,5.0,81.0,24,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6,27,0.0,4,0.0,0.0,22,0.0,3.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,13,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,20.0,6.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,14,76,2.0,4.0,1,0.0,7.0,0.0,0.0,0.0,2.0,9,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.1785,55,0.0,13,15,3.0,0.0,2.0,0.0,0.0,0.0,32,2.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,13,2,0.0,2,0.0,0.0,58,0.0,0.0,0.0,75,2.0,82,75,17.0,0.0,63,28,36,0.0,0.0,0.0,0.0,0.0,35,10,4,0.0,0.0,0.0,9,29,1.0,0.0,0.0,1.0,13,3.0,0.0,3.0,8,0.0,0.0,2.0,7,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,29,0.0,9,0.0,0.0,9,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,4,32,0.0,3.0,5,0.0,6.0,0.0,0.0,0.0,2.0,16,0.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
200810,2.187583333333333,273,10.0,64,78,13.0,2.0,23.0,5.0,2.0,0.0,117,0.0,0.0,4.0,0.0,24.0,21.0,10.0,5.0,79,7,1.0,11,1.0,11.0,206,16.0,0.0,9.0,316,43.0,183,159,1.0,0.0,321,16,103,5.0,0.0,0.0,1.0,0.0,27,69,6,26.0,0.0,0.0,29,10,25.0,7.0,1.0,0.0,24,8.0,0.0,12.0,45,0.0,3.0,63.0,23,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,5.0,17.0,0.0,0.0,104,28,87,0.0,40,0.0,0.0,94,0.0,0.0,6.0,7.0,4.0,0.0,0.0,2.0,0.0,32,12.0,0.0,2.0,0.0,0.0,0.0,8.0,42.0,14.0,16,0.0,0.0,0.0,5.0,13.0,0.0,7.0,19.0,53.0,27.0,12.0,0.0,1.0,31.0,0.0,7.0,8.0,15,132,1.0,13.0,16,21.0,6.0,4.0,0.0,0.0,0.0,350,2.0,35.0,179.0,24.0,0.0,0.0,0.0,0.0,0.0
200811,2.1966666666666668,97,1.0,15,31,0.0,0.0,5.0,13.0,0.0,0.0,52,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,19,9,0.0,1,0.0,2.0,138,7.0,0.0,0.0,138,2.0,125,113,6.0,2.0,137,10,37,2.0,0.0,1.0,5.0,0.0,3,16,3,0.0,0.0,0.0,33,9,0.0,4.0,0.0,0.0,12,2.0,0.0,2.0,13,0.0,0.0,2.0,5,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,14,24,0.0,3,0.0,0.0,8,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,26,48,0.0,0.0,10,1.0,11.0,0.0,0.0,0.0,1.0,47,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0
200812,2.20575,112,0.0,23,32,6.0,2.0,0.0,6.0,10.0,2.0,87,2.0,4.0,3.0,0.0,11.0,2.0,0.0,0.0,32,4,0.0,7,2.0,1.0,50,0.0,0.0,0.0,88,2.0,132,125,0.0,12.0,29,33,56,1.0,1.0,0.0,0.0,0.0,8,26,9,0.0,0.0,0.0,15,22,2.0,0.0,1.0,0.0,8,6.0,2.0,5.0,15,0.0,0.0,2.0,15,0.0,0.0,0.0,1.0,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,28,44,0.0,6,0.0,0.0,13,0.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,16,70,1.0,0.0,3,2.0,19.0,0.0,0.0,0.0,0.0,44,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0
