MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.891,1361,16.0,182,229,99,25.0,122,18.0,4.0,0.0,622,14.0,17.0,11.0,0.0,63.0,76.0,19.0,1.0,598,25,11.0,91.0,0.0,36.0,335,9.0,49.0,20.0,858,92.0,975,921,2.0,37.0,583,340,602,24.0,7.0,0.0,90.0,3.0,33,226,69,40.0,2.0,46.0,187,146,350,48,3.0,16.0,87,5.0,1.0,9,360,3.0,60.0,49.0,139,1.0,3.0,0.0,0.0,139,22.0,4.0,0.0,12.0,8.0,7.0,0.0,175,509,878,21.0,141,2.0,0.0,248,0.0,23.0,0.0,25.0,6.0,0.0,4.0,11.0,2.0,312,2.0,0.0,4.0,0.0,1.0,1.0,253.0,0.0,3.0,53,0.0,0.0,0.0,0.0,79.0,5.0,18.0,10.0,207.0,85,409.0,0.0,12.0,18.0,0.0,3.0,42,95,325,117.0,1.0,54,299,28,6.0,0.0,0.0,29,2301,2.0,209.0,95,36.0,80.0,0.0,0.0,4.0,0.0
200804,2.8868333333333336,861,9.0,77,161,69,7.0,50,32.0,0.0,0.0,393,12.0,16.0,65.0,0.0,31.0,38.0,0.0,6.0,125,31,3.0,5.0,0.0,81.0,254,1.0,0.0,9.0,727,6.0,787,772,22.0,23.0,376,103,251,2.0,5.0,3.0,16.0,2.0,112,148,71,5.0,13.0,2.0,102,50,22,45,0.0,3.0,58,3.0,0.0,28,304,0.0,17.0,36.0,80,8.0,0.0,0.0,7.0,113,7.0,0.0,0.0,4.0,28.0,0.0,0.0,132,96,202,2.0,10,1.0,0.0,223,0.0,0.0,0.0,1.0,7.0,0.0,11.0,4.0,3.0,49,1.0,0.0,4.0,0.0,0.0,0.0,7.0,3.0,2.0,33,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,12.0,66,29.0,2.0,1.0,74.0,0.0,5.0,31,22,251,10.0,1.0,13,246,2,0.0,0.0,4.0,10,558,2.0,18.0,28,0.0,10.0,0.0,0.0,0.0,0.0
200805,2.8826666666666667,1116,7.0,106,133,58,12.0,55,7.0,11.0,3.0,333,27.0,2.0,14.0,1.0,12.0,20.0,0.0,0.0,108,17,13.0,22.0,0.0,12.0,122,4.0,0.0,8.0,369,12.0,490,462,6.0,4.0,296,54,214,1.0,0.0,0.0,5.0,0.0,50,114,38,3.0,15.0,8.0,95,85,38,23,0.0,10.0,189,3.0,0.0,26,153,0.0,0.0,18.0,148,4.0,0.0,0.0,0.0,34,7.0,0.0,0.0,5.0,11.0,0.0,0.0,87,105,270,0.0,19,0.0,0.0,104,2.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,38,1.0,0.0,1.0,0.0,0.0,1.0,18.0,2.0,1.0,13,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,18.0,32,36.0,2.0,1.0,50.0,0.0,1.0,41,36,236,74.0,0.0,43,108,18,6.0,0.0,1.0,10,709,1.0,66.0,33,2.0,8.0,0.0,0.0,2.0,0.0
200806,2.8785,725,12.0,37,58,19,31.0,23,4.0,6.0,0.0,246,8.0,1.0,5.0,8.0,9.0,1.0,6.0,0.0,56,16,0.0,10.0,0.0,0.0,122,10.0,0.0,8.0,259,16.0,252,253,14.0,4.0,187,104,138,4.0,0.0,4.0,3.0,0.0,8,76,20,3.0,8.0,0.0,47,34,19,7,0.0,5.0,38,0.0,0.0,18,116,0.0,11.0,14.0,55,0.0,0.0,0.0,0.0,41,2.0,0.0,0.0,1.0,2.0,2.0,0.0,56,32,139,0.0,17,0.0,0.0,62,0.0,4.0,0.0,3.0,9.0,0.0,16.0,5.0,11.0,18,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,7,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,15,12.0,0.0,1.0,4.0,0.0,0.0,15,31,99,13.0,0.0,1,49,10,2.0,0.0,0.0,12,314,1.0,11.0,22,4.0,6.0,0.0,0.0,0.0,0.0
200807,2.8743333333333334,1658,15.0,126,314,69,48.0,42,36.0,2.0,0.0,485,13.0,22.0,17.0,5.0,70.0,25.0,7.0,1.0,119,37,5.0,43.0,0.0,26.0,580,1.0,1.0,8.0,882,59.0,2217,2198,36.0,37.0,622,208,953,5.0,4.0,0.0,18.0,2.0,101,207,42,43.0,14.0,3.0,164,100,22,954,1.0,2.0,348,11.0,1.0,15,1159,5.0,1.0,29.0,91,6.0,0.0,0.0,0.0,78,0.0,0.0,0.0,4.0,13.0,0.0,0.0,151,116,304,0.0,10,4.0,0.0,138,1.0,2.0,0.0,6.0,18.0,0.0,4.0,15.0,4.0,68,5.0,1.0,2.0,0.0,0.0,0.0,23.0,0.0,1.0,42,0.0,1.0,1.0,3.0,20.0,1.0,20.0,10.0,15.0,50,24.0,2.0,7.0,11.0,0.0,5.0,49,28,323,27.0,0.0,15,548,30,3.0,0.0,0.0,35,555,3.0,48.0,88,3.0,15.0,0.0,0.0,1.0,0.0
200808,2.870166666666667,543,4.0,33,50,29,7.0,9,2.0,1.0,0.0,160,8.0,15.0,7.0,0.0,8.0,3.0,0.0,5.0,28,5,0.0,3.0,0.0,5.0,55,0.0,0.0,0.0,151,1.0,151,150,0.0,1.0,142,26,89,0.0,0.0,0.0,11.0,0.0,18,74,4,2.0,2.0,6.0,14,31,8,50,0.0,8.0,33,13.0,0.0,1,46,0.0,2.0,11.0,36,0.0,2.0,0.0,0.0,9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,21,43,73,0.0,4,0.0,0.0,66,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,4.0,17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,20,2.0,0.0,0.0,4.0,0.0,0.0,2,32,176,18.0,2.0,18,25,18,2.0,0.0,0.0,28,204,0.0,0.0,12,5.0,1.0,0.0,0.0,0.0,0.0
200809,2.866,473,6.0,12,46,8,0.0,10,0.0,1.0,0.0,118,2.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,14,10,0.0,9.0,0.0,3.0,42,0.0,0.0,0.0,195,4.0,149,139,0.0,0.0,353,26,87,1.0,0.0,0.0,1.0,1.0,33,192,14,4.0,5.0,4.0,42,7,5,38,0.0,1.0,17,4.0,0.0,3,53,0.0,0.0,5.0,27,0.0,0.0,0.0,0.0,7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,23,32,73,1.0,10,0.0,0.0,19,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,15,3.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,1,0.0,2.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,6,1.0,2.0,6.0,3.0,0.0,0.0,12,1,55,9.0,0.0,5,41,4,6.0,0.0,0.0,2,113,3.0,4.0,4,8.0,0.0,0.0,0.0,0.0,0.0
200810,2.861833333333333,858,7.0,26,63,19,16.0,23,10.0,1.0,0.0,192,0.0,1.0,8.0,2.0,3.0,4.0,2.0,0.0,64,10,0.0,0.0,0.0,2.0,81,12.0,0.0,2.0,305,22.0,254,243,0.0,0.0,97,41,148,1.0,0.0,0.0,0.0,1.0,39,356,17,6.0,9.0,0.0,71,49,25,89,0.0,12.0,58,13.0,0.0,12,161,2.0,1.0,21.0,79,0.0,0.0,0.0,0.0,33,10.0,0.0,0.0,0.0,1.0,1.0,0.0,59,21,117,3.0,6,0.0,0.0,84,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,12,2.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,24,0.0,2.0,1.0,3.0,1.0,0.0,12.0,0.0,6.0,25,2.0,1.0,2.0,8.0,0.0,0.0,14,9,151,29.0,1.0,11,104,7,1.0,0.0,0.0,26,337,6.0,11.0,44,1.0,0.0,0.0,0.0,0.0,0.0
200811,2.857666666666667,840,12.0,83,48,37,8.0,6,4.0,0.0,1.0,242,6.0,7.0,0.0,2.0,5.0,9.0,0.0,0.0,56,9,3.0,7.0,0.0,7.0,148,0.0,0.0,0.0,348,2.0,296,274,0.0,1.0,119,28,147,7.0,2.0,0.0,10.0,2.0,67,263,30,11.0,0.0,0.0,61,38,19,89,1.0,1.0,30,8.0,0.0,26,66,0.0,1.0,10.0,62,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,4.0,5.0,0.0,1.0,68,44,117,0.0,10,0.0,0.0,53,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,35.0,19,0.0,0.0,2.0,0.0,2.0,0.0,11.0,1.0,2.0,37,0.0,2.0,0.0,8.0,2.0,7.0,0.0,0.0,4.0,9,4.0,3.0,0.0,5.0,4.0,5.0,10,28,80,2.0,7.0,5,72,3,0.0,0.0,0.0,10,204,2.0,2.0,19,2.0,0.0,0.0,0.0,1.0,0.0
200812,2.8535000000000004,900,2.0,29,64,9,6.0,17,1.0,2.0,0.0,183,3.0,2.0,4.0,0.0,11.0,2.0,0.0,0.0,20,5,3.0,3.0,0.0,28.0,136,0.0,1.0,11.0,272,8.0,358,341,0.0,2.0,64,63,120,1.0,0.0,0.0,2.0,0.0,12,270,35,0.0,0.0,0.0,53,36,9,59,0.0,1.0,38,11.0,0.0,2,182,0.0,0.0,4.0,46,0.0,1.0,0.0,0.0,38,2.0,0.0,0.0,0.0,3.0,0.0,0.0,31,41,88,0.0,2,0.0,0.0,38,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,8,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,10,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,9,2.0,0.0,2.0,2.0,0.0,2.0,6,31,110,17.0,2.0,22,138,8,12.0,0.0,0.0,8,244,0.0,9.0,30,3.0,0.0,0.0,0.0,2.0,0.0
200901,2.849333333333333,1407,7.0,49,68,33,13.0,5,3.0,5.0,0.0,203,9.0,0.0,3.0,4.0,9.0,8.0,0.0,0.0,19,13,0.0,25.0,0.0,42.0,179,0.0,0.0,6.0,341,34.0,424,422,15.0,25.0,325,56,231,9.0,0.0,0.0,3.0,0.0,15,231,4,8.0,0.0,4.0,25,55,15,59,0.0,2.0,71,8.0,0.0,10,227,0.0,1.0,5.0,53,0.0,0.0,0.0,1.0,19,2.0,0.0,0.0,1.0,7.0,0.0,0.0,60,67,91,0.0,14,0.0,0.0,72,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,26,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,12,11.0,0.0,0.0,0.0,0.0,1.0,15,43,228,22.0,2.0,13,117,6,11.0,0.0,2.0,16,399,0.0,12.0,105,11.0,8.0,0.0,0.0,0.0,0.0
