MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_135,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.814,161,0.0,22,34,14,0.0,6.0,3.0,1.0,0.0,79,1.0,0.0,3.0,0.0,4.0,18.0,0.0,3.0,68,2.0,6.0,1.0,2.0,7.0,146,0.0,0.0,0.0,157,0.0,91,85,1.0,1.0,115,68,134,1.0,0.0,37.0,0.0,0.0,7,9,16.0,2.0,1.0,0.0,11.0,8,1.0,2.0,0.0,0.0,17,4.0,0.0,9.0,9,0.0,0.0,6.0,16,0.0,0.0,0.0,5.0,23,0.0,0.0,0.0,17.0,0.0,0.0,0.0,33,7,90,0.0,7.0,0.0,0.0,40,0.0,1.0,5.0,0.0,4.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,15.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,6.0,14.0,0.0,0.0,2.0,1.0,0.0,9.0,2,74,6.0,3.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,97,0.0,8.0,5.0,2.0,0.0,0.0,0.0,3.0,10.0
200804,1.8161666666666667,126,4.0,28,21,11,7.0,8.0,19.0,0.0,0.0,55,0.0,1.0,2.0,2.0,4.0,9.0,0.0,2.0,42,15.0,5.0,1.0,0.0,2.0,188,2.0,0.0,0.0,186,2.0,146,145,2.0,0.0,117,23,151,0.0,0.0,2.0,0.0,0.0,32,9,1.0,1.0,1.0,0.0,15.0,4,1.0,3.0,0.0,0.0,12,11.0,0.0,5.0,10,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21,15,47,0.0,10.0,0.0,0.0,38,0.0,0.0,3.0,1.0,6.0,1.0,1.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9,81,0.0,0.0,11.0,2.0,1.0,0.0,1.0,0.0,4.0,73,0.0,2.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0
200805,1.8183333333333331,101,4.0,6,26,10,0.0,7.0,10.0,8.0,4.0,64,5.0,0.0,3.0,0.0,2.0,7.0,0.0,0.0,6,2.0,0.0,1.0,0.0,0.0,46,0.0,0.0,0.0,76,6.0,91,85,4.0,2.0,78,27,43,0.0,0.0,3.0,0.0,0.0,15,2,8.0,2.0,3.0,0.0,4.0,2,2.0,0.0,7.0,0.0,10,17.0,0.0,1.0,16,0.0,0.0,0.0,12,3.0,0.0,0.0,2.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,12,57,0.0,11.0,3.0,0.0,22,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,7.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,15.0,10,137,5.0,0.0,15.0,0.0,11.0,0.0,0.0,1.0,3.0,50,0.0,8.0,8.0,3.0,0.0,0.0,0.0,12.0,25.0
200806,1.8205,91,4.0,22,27,4,2.0,0.0,3.0,3.0,0.0,62,1.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,40,5.0,0.0,0.0,0.0,4.0,61,0.0,0.0,0.0,80,1.0,79,64,0.0,0.0,99,30,42,2.0,2.0,0.0,3.0,0.0,28,9,4.0,0.0,0.0,0.0,14.0,4,3.0,3.0,0.0,0.0,16,6.0,0.0,7.0,11,0.0,0.0,5.0,14,0.0,0.0,0.0,4.0,20,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9,26,54,0.0,7.0,1.0,0.0,26,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,9,98,6.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,53,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,12.0
200807,1.8226666666666669,155,8.0,15,21,2,0.0,1.0,0.0,6.0,0.0,66,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,8,0.0,0.0,2.0,0.0,1.0,73,0.0,0.0,0.0,63,0.0,83,79,0.0,3.0,108,16,62,3.0,0.0,2.0,3.0,1.0,78,28,1.0,0.0,5.0,0.0,5.0,6,1.0,0.0,0.0,1.0,23,18.0,0.0,0.0,11,0.0,0.0,3.0,8,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26,52,41,0.0,6.0,0.0,0.0,26,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,26,223,5.0,0.0,5.0,3.0,8.0,2.0,0.0,2.0,2.0,81,0.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,54.0
200808,1.8248333333333333,66,0.0,21,7,6,0.0,3.0,8.0,0.0,0.0,33,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,21,2.0,0.0,5.0,0.0,2.0,11,0.0,0.0,0.0,31,0.0,32,34,0.0,1.0,32,9,33,0.0,0.0,0.0,7.0,0.0,2,6,2.0,0.0,0.0,0.0,6.0,2,1.0,1.0,3.0,0.0,2,0.0,0.0,3.0,3,0.0,0.0,4.0,8,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10,27,0.0,2.0,0.0,0.0,22,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,1,47,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,20,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0
200809,1.827,113,2.0,8,22,11,2.0,10.0,3.0,0.0,0.0,65,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18,2.0,1.0,2.0,0.0,4.0,44,2.0,1.0,0.0,94,2.0,92,83,0.0,0.0,73,6,59,1.0,0.0,0.0,0.0,0.0,13,28,4.0,0.0,0.0,0.0,8.0,7,0.0,1.0,0.0,0.0,14,0.0,2.0,2.0,8,0.0,0.0,3.0,37,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,12,47,0.0,4.0,0.0,0.0,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2,53,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,21,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0
200810,1.8291666666666668,322,8.0,65,72,41,11.0,27.0,21.0,8.0,0.0,123,4.0,1.0,4.0,0.0,2.0,8.0,0.0,0.0,48,14.0,4.0,7.0,0.0,3.0,114,4.0,0.0,0.0,254,8.0,219,201,0.0,0.0,152,22,100,0.0,0.0,0.0,3.0,0.0,28,34,3.0,0.0,0.0,1.0,21.0,28,4.0,5.0,3.0,0.0,8,9.0,0.0,8.0,34,0.0,1.0,4.0,119,2.0,0.0,0.0,0.0,23,3.0,0.0,1.0,7.0,1.0,0.0,0.0,38,77,111,4.0,14.0,0.0,0.0,55,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,9.0,8,140,26.0,32.0,5.0,0.0,18.0,26.0,0.0,2.0,28.0,281,5.0,7.0,60.0,21.0,1.0,0.0,0.0,0.0,4.0
200811,1.8313333333333333,159,3.0,19,67,16,2.0,6.0,3.0,1.0,0.0,67,2.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,33,6.0,0.0,3.0,0.0,4.0,79,2.0,0.0,0.0,61,1.0,83,83,0.0,2.0,89,23,69,0.0,0.0,2.0,8.0,0.0,19,18,0.0,0.0,2.0,1.0,10.0,4,0.0,2.0,2.0,0.0,19,0.0,0.0,7.0,11,0.0,0.0,3.0,46,0.0,0.0,0.0,1.0,24,2.0,0.0,3.0,9.0,0.0,0.0,0.0,35,23,55,3.0,17.0,4.0,0.0,46,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,3,112,16.0,1.0,16.0,5.0,25.0,7.0,0.0,0.0,0.0,73,1.0,17.0,6.0,3.0,0.0,0.0,0.0,0.0,18.0
200812,1.8335,186,1.0,37,38,14,0.0,11.0,3.0,1.0,4.0,107,3.0,1.0,1.0,0.0,20.0,8.0,0.0,1.0,35,0.0,0.0,5.0,0.0,1.0,81,1.0,0.0,0.0,143,0.0,79,75,0.0,2.0,144,68,66,2.0,2.0,3.0,2.0,0.0,33,16,8.0,2.0,0.0,3.0,6.0,4,1.0,1.0,0.0,0.0,9,8.0,0.0,0.0,21,0.0,0.0,13.0,37,0.0,0.0,0.0,3.0,12,5.0,0.0,0.0,6.0,4.0,0.0,0.0,20,33,43,1.0,1.0,0.0,0.0,60,0.0,0.0,0.0,0.0,5.0,2.0,0.0,9.0,15.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,7,82,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,83,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0
