MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.0540000000000003,293,0.0,40,59,25,1.0,5.0,6.0,5.0,0.0,105,7.0,2.0,19.0,4.0,7.0,2.0,0.0,0.0,34,9.0,1.0,65.0,0.0,5.0,68,0.0,0.0,1.0,123,6.0,141,141,2.0,6.0,71,32,147,1.0,4.0,0.0,6.0,1.0,14.0,50,5.0,6.0,4.0,0.0,32,23,15.0,6.0,1.0,14.0,16,7.0,0.0,3.0,44,0.0,2.0,3.0,37,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,30,26,40,0.0,5.0,2.0,0.0,36,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,18,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,31.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,14.0,10.0,108,32.0,2.0,11.0,1.0,9.0,0.0,0.0,2.0,38,0.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
200804,2.0530833333333334,249,2.0,29,51,19,3.0,4.0,22.0,1.0,0.0,95,4.0,7.0,8.0,1.0,6.0,3.0,0.0,0.0,38,3.0,7.0,5.0,0.0,5.0,122,0.0,0.0,0.0,124,4.0,196,191,5.0,10.0,67,7,164,1.0,0.0,0.0,2.0,0.0,8.0,46,1.0,13.0,3.0,0.0,31,37,12.0,7.0,0.0,4.0,13,4.0,0.0,3.0,34,0.0,0.0,12.0,21,0.0,0.0,2.0,0.0,28.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,24,12,29,1.0,5.0,1.0,0.0,45,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,19,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,32,8.0,6.0,8.0,9.0,18.0,0.0,0.0,1.0,45,0.0,0.0,11.0,0.0,5.0,0.0,0.0,1.0,0.0
200805,2.052166666666667,188,1.0,35,37,27,2.0,5.0,7.0,7.0,0.0,98,0.0,6.0,11.0,0.0,3.0,7.0,1.0,0.0,34,26.0,0.0,12.0,0.0,2.0,46,0.0,0.0,0.0,134,0.0,150,149,1.0,4.0,81,19,115,0.0,0.0,0.0,0.0,0.0,16.0,35,8.0,4.0,0.0,0.0,30,39,7.0,0.0,0.0,0.0,8,4.0,0.0,2.0,25,0.0,1.0,7.0,27,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,7,28,0.0,11.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,69,0.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,33,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,2.0512500000000005,133,5.0,29,34,18,5.0,20.0,5.0,0.0,0.0,85,8.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,32,1.0,5.0,6.0,0.0,0.0,34,0.0,0.0,0.0,84,6.0,80,83,0.0,9.0,30,6,80,3.0,0.0,2.0,2.0,0.0,13.0,20,2.0,1.0,0.0,0.0,6,22,0.0,1.0,0.0,0.0,18,2.0,0.0,2.0,14,0.0,0.0,2.0,33,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,22,61,0.0,1.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,61,0.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,32,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.0503333333333336,214,4.0,34,49,18,5.0,0.0,28.0,1.0,0.0,121,2.0,3.0,12.0,1.0,13.0,5.0,1.0,2.0,51,4.0,7.0,8.0,0.0,4.0,75,0.0,0.0,0.0,118,0.0,172,154,6.0,6.0,49,8,186,1.0,0.0,0.0,0.0,3.0,21.0,34,9.0,4.0,0.0,0.0,12,14,14.0,2.0,10.0,0.0,15,1.0,0.0,4.0,21,0.0,7.0,4.0,20,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24,39,76,2.0,2.0,0.0,0.0,33,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,29,4.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,13.0,3.0,1.0,5.0,2.0,4.0,0.0,2.0,5.0,122,2.0,0.0,4.0,4.0,13.0,0.0,2.0,3.0,68,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
200808,2.0494166666666667,174,0.0,29,34,9,1.0,8.0,5.0,4.0,0.0,109,6.0,1.0,4.0,2.0,2.0,12.0,1.0,0.0,34,1.0,8.0,4.0,0.0,1.0,26,0.0,0.0,1.0,113,0.0,129,111,0.0,6.0,68,10,99,0.0,0.0,0.0,1.0,3.0,28.0,23,5.0,3.0,0.0,0.0,39,7,13.0,1.0,0.0,0.0,8,2.0,0.0,1.0,12,2.0,0.0,1.0,12,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,11,46,0.0,10.0,0.0,0.0,30,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,29,3.0,0.0,6.0,1.0,9.0,0.0,0.0,5.0,44,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.0485,159,0.0,19,22,21,2.0,8.0,6.0,0.0,0.0,83,3.0,0.0,11.0,0.0,1.0,7.0,0.0,2.0,20,6.0,4.0,6.0,5.0,0.0,38,0.0,0.0,1.0,68,2.0,78,64,0.0,2.0,45,23,120,2.0,0.0,0.0,6.0,2.0,21.0,30,0.0,4.0,0.0,2.0,27,23,4.0,1.0,3.0,0.0,17,0.0,1.0,2.0,15,0.0,2.0,2.0,14,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14,41,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,22,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,60,2.0,0.0,9.0,0.0,34.0,0.0,0.0,0.0,24,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
200810,2.0475833333333338,200,0.0,20,45,21,22.0,11.0,16.0,1.0,0.0,117,2.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,30,0.0,1.0,10.0,0.0,0.0,63,1.0,0.0,2.0,84,4.0,94,77,0.0,4.0,51,38,168,1.0,3.0,4.0,4.0,0.0,27.0,57,4.0,6.0,0.0,0.0,38,20,9.0,3.0,0.0,0.0,16,1.0,0.0,4.0,41,0.0,0.0,8.0,9,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,43,15,55,0.0,1.0,0.0,0.0,26,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,7.0,112,1.0,0.0,8.0,1.0,84.0,0.0,0.0,2.0,59,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
200811,2.046666666666667,127,2.0,15,16,22,1.0,7.0,16.0,3.0,0.0,62,0.0,1.0,4.0,0.0,5.0,4.0,0.0,0.0,37,1.0,1.0,8.0,0.0,0.0,17,0.0,0.0,0.0,63,6.0,60,65,3.0,9.0,33,14,94,0.0,0.0,0.0,1.0,1.0,22.0,9,3.0,0.0,0.0,0.0,12,26,1.0,3.0,4.0,0.0,3,1.0,0.0,3.0,11,0.0,2.0,2.0,18,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,4,35,0.0,6.0,1.0,0.0,18,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,28,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,2.04575,193,1.0,26,28,12,0.0,5.0,29.0,4.0,0.0,98,2.0,5.0,5.0,1.0,2.0,8.0,1.0,0.0,36,1.0,7.0,11.0,0.0,0.0,42,0.0,0.0,3.0,70,0.0,124,109,2.0,5.0,36,8,161,2.0,0.0,0.0,0.0,0.0,17.0,37,3.0,4.0,4.0,0.0,23,9,5.0,2.0,3.0,0.0,8,0.0,0.0,1.0,20,0.0,2.0,0.0,19,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30,14,22,2.0,2.0,0.0,0.0,29,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,26,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,7.0,0.0,3.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,59,12.0,0.0,17.0,2.0,33.0,0.0,0.0,4.0,34,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
