MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.721,700,10,106,120,77,26,10,68,19.0,2.0,350,5,14.0,12,11.0,13,14,0.0,2.0,110,12,2.0,13,0.0,10,182,0.0,0.0,0.0,469,6,427,397,6.0,12,295,148,376,5,0.0,1.0,3.0,8.0,43,129,23,5.0,2.0,0.0,51,41,9,6,3.0,2.0,80,19,0.0,15,76,0.0,4.0,63,99,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,16,4.0,0.0,0.0,132,155,331,1.0,28,0.0,0.0,121,0.0,3.0,0.0,6.0,8,0.0,1.0,4,6.0,68,4.0,0.0,2.0,0.0,0.0,1.0,30,4.0,2.0,53,0.0,11.0,0.0,4.0,1.0,0.0,3.0,4.0,5.0,41,1.0,0.0,5.0,27.0,0.0,0.0,3.0,6,66,690,24,3.0,15,14,33,63.0,0.0,0.0,24,312,7.0,23,188,24.0,1.0,1.0,0.0,1.0,0.0
200804,1.7260833333333332,836,11,88,122,51,22,17,20,3.0,2.0,322,3,15.0,41,2.0,10,14,1.0,3.0,67,29,1.0,4,0.0,7,310,6.0,0.0,1.0,459,49,531,477,2.0,13,335,68,264,10,3.0,1.0,2.0,1.0,33,164,13,3.0,0.0,0.0,57,54,53,76,3.0,7.0,91,16,0.0,9,180,4.0,25.0,29,121,0.0,0.0,0.0,0.0,44,2.0,0.0,0.0,5,8.0,0.0,0.0,192,90,182,1.0,38,1.0,0.0,111,9.0,3.0,0.0,19.0,3,0.0,1.0,5,10.0,66,2.0,0.0,2.0,0.0,0.0,0.0,11,1.0,0.0,21,6.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,45,2.0,0.0,0.0,3.0,0.0,2.0,3.0,31,110,377,21,2.0,14,21,30,29.0,0.0,0.0,5,281,1.0,30,70,36.0,12.0,0.0,0.0,0.0,0.0
200805,1.7311666666666663,887,3,87,110,60,49,17,56,20.0,0.0,405,10,13.0,7,15.0,2,22,12.0,4.0,550,26,7.0,66,0.0,14,301,4.0,0.0,0.0,598,35,494,468,10.0,5,325,69,311,11,2.0,2.0,11.0,1.0,182,120,38,7.0,2.0,0.0,83,164,13,26,3.0,1.0,65,18,3.0,4,77,5.0,4.0,27,107,1.0,0.0,0.0,0.0,37,2.0,0.0,0.0,2,2.0,2.0,0.0,107,143,170,1.0,22,2.0,0.0,160,0.0,1.0,0.0,2.0,17,0.0,4.0,17,4.0,59,2.0,0.0,21.0,0.0,0.0,1.0,38,2.0,4.0,61,1.0,9.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,25,5.0,0.0,1.0,17.0,0.0,3.0,1.0,29,98,376,13,3.0,16,6,21,74.0,0.0,0.0,18,270,2.0,18,81,34.0,3.0,1.0,0.0,0.0,0.0
200806,1.7362499999999998,1016,29,96,117,80,15,28,15,9.0,2.0,497,3,2.0,9,4.0,5,22,3.0,0.0,135,21,4.0,28,0.0,24,315,4.0,0.0,3.0,530,8,491,457,2.0,5,237,93,417,7,0.0,17.0,6.0,4.0,180,97,23,1.0,2.0,3.0,73,74,19,15,1.0,6.0,118,25,0.0,12,71,31.0,0.0,22,152,20.0,0.0,0.0,2.0,52,0.0,0.0,0.0,6,0.0,0.0,0.0,106,120,168,2.0,19,5.0,0.0,121,0.0,0.0,3.0,6.0,8,0.0,1.0,12,20.0,53,16.0,0.0,9.0,0.0,0.0,4.0,47,1.0,11.0,107,0.0,72.0,11.0,7.0,0.0,0.0,5.0,3.0,7.0,16,2.0,0.0,1.0,16.0,0.0,0.0,1.0,21,92,436,46,6.0,2,14,19,27.0,0.0,2.0,3,246,29.0,19,41,10.0,3.0,0.0,0.0,0.0,0.0
200807,1.7413333333333332,1312,20,105,122,60,26,10,18,12.0,0.0,534,9,8.0,6,0.0,20,44,0.0,5.0,130,50,1.0,29,0.0,21,425,9.0,0.0,0.0,716,12,701,693,31.0,31,427,90,419,9,0.0,0.0,18.0,0.0,90,146,55,23.0,3.0,0.0,113,66,20,46,0.0,2.0,99,45,2.0,12,85,0.0,7.0,27,111,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,8,2.0,0.0,0.0,99,96,176,2.0,15,6.0,0.0,162,0.0,0.0,0.0,6.0,14,0.0,1.0,15,7.0,58,3.0,0.0,2.0,1.0,1.0,0.0,26,0.0,1.0,12,0.0,1.0,2.0,2.0,3.0,8.0,0.0,0.0,5.0,36,4.0,5.0,2.0,15.0,0.0,0.0,14.0,31,122,444,9,1.0,14,14,36,33.0,0.0,0.0,5,225,6.0,23,34,17.0,5.0,0.0,0.0,0.0,0.0
200808,1.7464166666666665,1127,21,139,150,62,11,14,48,105.0,0.0,360,3,2.0,12,0.0,7,17,0.0,6.0,122,26,2.0,35,0.0,16,235,0.0,0.0,0.0,363,16,709,658,8.0,8,212,48,278,5,0.0,2.0,12.0,0.0,68,110,13,0.0,1.0,1.0,112,57,8,78,0.0,0.0,70,8,0.0,8,149,0.0,1.0,18,188,0.0,0.0,0.0,0.0,45,4.0,0.0,0.0,4,6.0,0.0,0.0,88,100,137,0.0,35,4.0,0.0,113,0.0,0.0,0.0,6.0,13,0.0,2.0,11,10.0,63,12.0,0.0,1.0,0.0,1.0,0.0,14,2.0,1.0,44,1.0,1.0,0.0,3.0,2.0,1.0,4.0,1.0,3.0,49,6.0,2.0,0.0,20.0,0.0,1.0,1.0,22,99,294,7,1.0,18,3,24,46.0,0.0,0.0,4,301,3.0,27,85,20.0,4.0,0.0,0.0,0.0,0.0
200809,1.7514999999999998,673,24,71,83,41,13,9,21,15.0,0.0,281,14,1.0,16,1.0,10,13,0.0,0.0,97,30,1.0,19,0.0,14,172,2.0,0.0,0.0,374,17,392,382,2.0,1,202,29,257,12,0.0,2.0,8.0,8.0,70,121,31,11.0,2.0,2.0,74,56,9,70,2.0,1.0,50,19,0.0,7,70,0.0,0.0,43,106,1.0,0.0,0.0,0.0,25,4.0,0.0,1.0,5,0.0,0.0,0.0,63,85,172,0.0,28,5.0,0.0,87,0.0,5.0,1.0,1.0,14,0.0,0.0,4,8.0,41,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,3.0,25,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,26,5.0,0.0,1.0,2.0,2.0,1.0,3.0,16,113,219,5,2.0,9,11,26,52.0,0.0,0.0,9,234,0.0,13,36,26.0,2.0,0.0,0.0,0.0,0.0
200810,1.7565833333333332,1005,27,117,118,62,17,24,31,8.0,4.0,386,14,9.0,15,0.0,2,36,0.0,0.0,161,29,3.0,22,0.0,9,372,6.0,0.0,0.0,583,3,555,530,3.0,8,247,39,280,2,0.0,3.0,14.0,3.0,64,144,21,4.0,3.0,7.0,81,152,9,59,4.0,4.0,65,18,0.0,10,47,2.0,4.0,27,158,2.0,0.0,0.0,0.0,58,39.0,0.0,0.0,9,0.0,0.0,0.0,106,140,137,3.0,22,2.0,0.0,123,0.0,0.0,1.0,12.0,7,0.0,0.0,14,4.0,49,2.0,0.0,4.0,0.0,1.0,0.0,29,2.0,3.0,60,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,5.0,22,4.0,0.0,1.0,26.0,0.0,0.0,7.0,21,71,329,18,0.0,11,4,60,41.0,0.0,0.0,13,334,2.0,31,53,30.0,9.0,0.0,0.0,0.0,0.0
200811,1.7616666666666665,1089,8,104,133,42,16,16,27,9.0,2.0,555,13,15.0,181,0.0,17,28,0.0,1.0,110,31,1.0,28,0.0,5,348,1.0,1.0,0.0,631,36,585,539,3.0,26,198,116,390,6,0.0,4.0,1.0,0.0,218,206,27,18.0,1.0,4.0,92,95,27,24,6.0,26.0,123,10,0.0,9,74,0.0,6.0,41,127,2.0,3.0,0.0,0.0,77,9.0,1.0,0.0,8,13.0,0.0,0.0,147,132,135,0.0,12,4.0,0.0,272,0.0,0.0,0.0,8.0,29,0.0,0.0,21,35.0,43,0.0,0.0,4.0,1.0,0.0,0.0,31,5.0,5.0,27,0.0,0.0,0.0,3.0,7.0,0.0,1.0,3.0,7.0,30,1.0,0.0,1.0,5.0,0.0,1.0,1.0,19,73,424,19,5.0,18,61,14,33.0,0.0,1.0,5,345,3.0,23,63,14.0,5.0,1.0,0.0,0.0,0.0
200812,1.7667499999999998,1187,20,77,96,69,16,14,37,10.0,0.0,490,1,16.0,8,3.0,18,17,0.0,0.0,109,14,0.0,43,0.0,15,191,4.0,1.0,0.0,555,86,445,397,3.0,8,249,53,380,5,2.0,0.0,1.0,0.0,63,160,44,11.0,1.0,0.0,68,194,20,27,12.0,4.0,113,16,2.0,1,67,0.0,3.0,27,118,1.0,3.0,0.0,0.0,58,5.0,0.0,1.0,13,6.0,0.0,0.0,79,113,138,4.0,29,0.0,0.0,104,0.0,2.0,0.0,8.0,9,0.0,2.0,6,55.0,46,6.0,0.0,4.0,0.0,0.0,0.0,16,0.0,4.0,51,0.0,2.0,1.0,9.0,3.0,1.0,9.0,1.0,19.0,63,10.0,1.0,2.0,0.0,0.0,0.0,1.0,23,102,397,17,6.0,19,9,30,36.0,0.0,0.0,9,226,5.0,23,90,8.0,2.0,0.0,0.0,0.0,2.0
