MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,0.0,443,6,119,127,25,27,93,37,7.0,0.0,298,3.0,14,17,10.0,18,44,5.0,1.0,142,22,4.0,18,0.0,16,494,3.0,0.0,20.0,938,10,666,618,104.0,18,616,156,367,3.0,25.0,11.0,5.0,0.0,63,62,7,0.0,1.0,1.0,22,26,8,8.0,0.0,15.0,105,0.0,0.0,30.0,50,0.0,0.0,74,38,0.0,0.0,0.0,0.0,80,0.0,2.0,0.0,13.0,4.0,0.0,2.0,87,154,620,0.0,8,0.0,0.0,170,0.0,5.0,0.0,14.0,140,0.0,12.0,3.0,24.0,74,28.0,0.0,0.0,0.0,0.0,2.0,0.0,41,3.0,2.0,69,0.0,6.0,0.0,1.0,9.0,10.0,3.0,0.0,7.0,26,12,0.0,40.0,29,0.0,0.0,4.0,1.0,25,146,8.0,0.0,30,17.0,21,43.0,0.0,0.0,99,307,0.0,5,37,30.0,6.0,0.0,0.0,2.0,2.0
200804,0.0,907,43,139,267,39,20,146,31,2.0,2.0,389,9.0,7,23,6.0,44,117,5.0,2.0,232,18,1.0,65,0.0,35,877,11.0,0.0,0.0,1897,16,790,682,23.0,109,1138,195,387,17.0,2.0,8.0,0.0,0.0,97,139,25,2.0,1.0,5.0,90,27,7,5.0,2.0,6.0,136,9.0,0.0,23.0,62,0.0,8.0,100,106,0.0,0.0,0.0,0.0,89,1.0,0.0,0.0,9.0,17.0,8.0,0.0,116,277,423,1.0,17,0.0,0.0,278,0.0,3.0,1.0,13.0,69,0.0,3.0,30.0,18.0,90,2.0,0.0,0.0,2.0,0.0,0.0,0.0,40,1.0,5.0,36,0.0,6.0,0.0,3.0,8.0,1.0,0.0,0.0,32.0,32,24,5.0,29.0,118,0.0,0.0,9.0,22.0,41,175,2.0,4.0,12,15.0,25,12.0,0.0,7.0,62,224,3.0,18,25,24.0,43.0,0.0,0.0,0.0,0.0
200805,0.0,548,32,158,164,58,28,51,25,3.0,1.0,316,9.0,16,13,20.0,13,46,4.0,0.0,399,34,3.0,12,3.0,89,349,17.0,2.0,0.0,598,36,645,574,40.0,93,1218,383,601,4.0,1.0,12.0,3.0,0.0,142,72,12,16.0,0.0,1.0,46,19,13,4.0,2.0,13.0,175,4.0,1.0,59.0,92,0.0,0.0,203,104,0.0,0.0,0.0,0.0,107,6.0,0.0,0.0,2.0,13.0,10.0,2.0,151,139,303,0.0,10,0.0,0.0,230,0.0,2.0,0.0,4.0,23,0.0,6.0,3.0,41.0,102,5.0,0.0,1.0,4.0,0.0,0.0,0.0,21,1.0,0.0,24,0.0,2.0,8.0,0.0,5.0,1.0,0.0,0.0,4.0,32,53,0.0,19.0,97,0.0,2.0,0.0,7.0,19,122,3.0,0.0,34,15.0,24,9.0,0.0,0.0,71,319,18.0,53,39,19.0,15.0,0.0,0.0,0.0,0.0
200806,0.0,547,20,75,152,28,15,57,7,4.0,6.0,293,13.0,21,4,7.0,13,49,7.0,2.0,192,26,6.0,12,0.0,35,480,16.0,0.0,5.0,608,18,584,548,31.0,40,1077,334,374,6.0,0.0,75.0,16.0,0.0,144,46,23,4.0,31.0,4.0,29,25,9,13.0,3.0,7.0,123,2.0,1.0,16.0,106,1.0,6.0,47,224,0.0,0.0,0.0,0.0,68,4.0,0.0,0.0,0.0,11.0,0.0,0.0,76,113,252,0.0,19,0.0,0.0,178,0.0,5.0,0.0,7.0,13,0.0,3.0,0.0,4.0,63,3.0,0.0,0.0,0.0,0.0,0.0,2.0,13,0.0,1.0,10,0.0,9.0,0.0,2.0,11.0,0.0,2.0,0.0,3.0,26,29,1.0,3.0,68,0.0,0.0,0.0,18.0,10,133,15.0,1.0,3,11.0,59,6.0,0.0,0.0,31,168,3.0,8,26,14.0,8.0,0.0,0.0,0.0,0.0
200807,0.0,548,10,58,149,41,13,66,10,3.0,1.0,329,0.0,12,10,1.0,45,68,12.0,17.0,270,31,6.0,8,0.0,22,539,25.0,3.0,7.0,1015,39,658,603,14.0,81,1315,319,368,6.0,2.0,173.0,4.0,2.0,122,53,21,1.0,6.0,0.0,71,47,18,3.0,3.0,7.0,59,7.0,0.0,21.0,118,0.0,0.0,128,43,0.0,0.0,0.0,0.0,63,2.0,0.0,6.0,5.0,14.0,4.0,0.0,47,94,218,0.0,21,0.0,0.0,154,0.0,1.0,0.0,4.0,25,0.0,6.0,7.0,9.0,50,1.0,0.0,0.0,1.0,0.0,0.0,0.0,66,2.0,0.0,59,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,5.0,31,23,4.0,14.0,26,0.0,0.0,5.0,1.0,25,126,3.0,1.0,7,26.0,81,2.0,0.0,0.0,82,235,0.0,27,40,11.0,5.0,0.0,0.0,2.0,1.0
200808,0.0,388,18,113,104,19,5,62,17,2.0,0.0,206,21.0,7,8,3.0,9,41,1.0,0.0,164,23,2.0,20,0.0,8,383,1.0,0.0,1.0,631,9,614,580,10.0,25,594,196,280,11.0,5.0,171.0,4.0,5.0,102,48,77,12.0,2.0,2.0,33,11,11,9.0,6.0,4.0,37,0.0,0.0,23.0,85,0.0,7.0,72,26,0.0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,9.0,3.0,0.0,80,85,182,0.0,12,0.0,0.0,115,0.0,6.0,0.0,1.0,5,0.0,0.0,0.0,10.0,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31,0.0,4.0,9,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,37,15,2.0,4.0,4,0.0,1.0,5.0,3.0,21,162,13.0,0.0,4,10.0,13,8.0,0.0,0.0,100,148,0.0,28,44,5.0,11.0,0.0,0.0,0.0,0.0
200809,0.0,428,9,64,115,38,9,59,13,35.0,0.0,240,2.0,10,6,1.0,7,34,6.0,1.0,117,16,1.0,9,0.0,9,264,8.0,0.0,1.0,494,14,339,346,12.0,35,772,218,243,4.0,2.0,69.0,2.0,0.0,63,51,20,1.0,4.0,0.0,31,23,22,0.0,0.0,0.0,67,0.0,0.0,8.0,30,0.0,3.0,54,41,0.0,0.0,0.0,0.0,50,11.0,0.0,0.0,0.0,4.0,4.0,0.0,47,176,253,0.0,16,0.0,0.0,115,0.0,0.0,0.0,7.0,13,0.0,0.0,15.0,2.0,81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27,0.0,0.0,2,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,70.0,14,19,0.0,5.0,13,0.0,0.0,2.0,18.0,26,100,9.0,0.0,6,16.0,8,96.0,0.0,2.0,51,335,6.0,18,25,13.0,10.0,0.0,0.0,0.0,0.0
200810,0.0,846,24,153,222,73,10,62,48,14.0,0.0,443,56.0,17,22,6.0,74,49,8.0,4.0,224,32,5.0,29,0.0,11,333,13.0,4.0,1.0,1014,13,759,702,8.0,32,697,191,332,11.0,5.0,246.0,6.0,0.0,184,92,26,29.0,9.0,1.0,41,35,39,10.0,0.0,10.0,192,5.0,1.0,7.0,112,3.0,0.0,116,161,11.0,0.0,13.0,0.0,176,19.0,0.0,0.0,4.0,0.0,0.0,0.0,82,465,559,0.0,93,0.0,0.0,188,0.0,0.0,0.0,4.0,21,0.0,2.0,14.0,8.0,161,2.0,0.0,22.0,0.0,0.0,0.0,0.0,59,0.0,4.0,161,1.0,5.0,1.0,1.0,62.0,2.0,3.0,2.0,114.0,31,98,11.0,22.0,22,0.0,2.0,0.0,6.0,211,265,12.0,0.0,73,11.0,74,31.0,0.0,0.0,64,1095,4.0,173,67,26.0,421.0,0.0,0.0,6.0,3.0
200811,0.0,611,6,88,195,33,4,75,15,2.0,1.0,331,16.0,24,10,2.0,17,70,18.0,2.0,173,15,9.0,9,0.0,11,353,9.0,0.0,0.0,823,11,733,739,29.0,36,755,155,434,3.0,1.0,60.0,9.0,0.0,116,100,9,7.0,0.0,0.0,65,49,16,15.0,0.0,6.0,54,13.0,0.0,11.0,75,0.0,8.0,81,107,0.0,0.0,0.0,0.0,97,2.0,0.0,0.0,4.0,11.0,0.0,0.0,94,260,305,1.0,19,12.0,0.0,181,0.0,0.0,3.0,2.0,12,0.0,1.0,10.0,5.0,50,14.0,0.0,1.0,0.0,0.0,0.0,0.0,41,1.0,6.0,44,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,38.0,50,49,0.0,50.0,17,0.0,0.0,1.0,4.0,51,148,7.0,2.0,36,8.0,4,26.0,0.0,0.0,23,503,0.0,47,19,22.0,72.0,0.0,0.0,0.0,1.0
200812,0.0,480,10,96,145,36,4,36,29,8.0,2.0,442,2.0,9,4,1.0,22,33,6.0,0.0,114,23,2.0,5,0.0,14,552,4.0,0.0,2.0,812,19,809,739,2.0,60,905,247,355,0.0,1.0,99.0,13.0,1.0,123,60,42,0.0,2.0,0.0,32,24,17,15.0,2.0,5.0,55,8.0,0.0,27.0,31,0.0,0.0,103,66,0.0,0.0,0.0,0.0,111,1.0,0.0,0.0,4.0,1.0,1.0,2.0,66,170,209,1.0,4,0.0,0.0,177,0.0,0.0,0.0,5.0,31,0.0,4.0,8.0,4.0,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,4.0,105,0.0,2.0,0.0,35.0,5.0,0.0,1.0,0.0,15.0,14,34,0.0,0.0,59,2.0,0.0,2.0,3.0,32,126,6.0,2.0,40,6.0,20,13.0,0.0,2.0,35,249,2.0,11,30,28.0,24.0,0.0,0.0,1.0,1.0
