MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.35,216,6.0,37,83,25,15,12.0,3.0,7.0,0.0,185,2.0,3.0,2.0,7.0,4.0,23,4.0,0.0,90,3.0,12.0,0.0,0.0,9.0,112,9.0,0.0,2.0,201,2.0,213,210,6.0,17.0,310,43,97,0.0,0.0,0.0,2.0,0.0,144,23,3.0,0.0,0.0,1.0,9,17,4.0,4,0.0,2.0,35,6.0,0.0,0.0,18,0.0,2.0,17.0,34,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,7.0,0.0,0.0,117,37,66,0.0,2,0.0,0.0,107,0.0,4.0,0.0,1.0,17.0,0.0,15.0,0.0,7.0,11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,7,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,8,10.0,0.0,3.0,22.0,0.0,0.0,0.0,2,23,96,9.0,2.0,11,2,23,15.0,0.0,0.0,3.0,183,5.0,24,31,8,5.0,2.0,0.0,0.0,0.0
200804,2.361166666666666,182,5.0,17,42,16,35,10.0,2.0,0.0,0.0,90,0.0,0.0,8.0,2.0,6.0,5,0.0,0.0,32,4.0,0.0,4.0,0.0,4.0,22,0.0,0.0,0.0,161,1.0,141,147,0.0,8.0,152,29,61,0.0,2.0,4.0,3.0,0.0,24,32,3.0,0.0,0.0,0.0,3,17,5.0,4,0.0,0.0,12,6.0,0.0,0.0,29,0.0,2.0,5.0,26,3.0,0.0,0.0,0.0,47,0.0,0.0,0.0,1.0,3.0,0.0,0.0,35,34,86,0.0,8,0.0,0.0,56,0.0,0.0,0.0,9.0,4.0,0.0,1.0,2.0,0.0,13,4.0,0.0,0.0,3.0,0.0,0.0,0.0,5,0.0,10.0,17,0.0,2.0,0.0,10.0,2.0,0.0,0.0,2.0,11.0,34,6.0,0.0,20.0,6.0,0.0,0.0,1.0,17,10,87,2.0,11.0,20,9,21,8.0,0.0,0.0,11.0,263,4.0,15,85,38,14.0,0.0,0.0,0.0,0.0
200805,2.3723333333333336,204,0.0,29,34,13,5,31.0,10.0,5.0,0.0,152,3.0,2.0,7.0,1.0,4.0,36,6.0,0.0,5,4.0,2.0,3.0,1.0,11.0,41,0.0,0.0,0.0,158,27.0,312,297,5.0,12.0,126,31,79,0.0,11.0,0.0,0.0,1.0,33,61,2.0,3.0,0.0,0.0,26,23,8.0,27,0.0,4.0,48,7.0,0.0,0.0,62,0.0,0.0,13.0,29,0.0,0.0,0.0,0.0,15,3.0,0.0,0.0,0.0,2.0,0.0,0.0,26,28,166,0.0,1,0.0,0.0,87,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,3.0,4,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,9.0,16,2.0,2.0,18.0,0.0,0.0,0.0,2.0,11,24,186,4.0,2.0,9,32,5,32.0,0.0,0.0,1.0,396,3.0,11,48,22,4.0,0.0,0.0,0.0,0.0
200806,2.3835,105,4.0,26,25,5,13,0.0,1.0,0.0,0.0,78,6.0,4.0,0.0,1.0,14.0,36,0.0,0.0,29,1.0,0.0,4.0,0.0,11.0,53,2.0,0.0,0.0,117,9.0,124,104,0.0,11.0,117,28,82,1.0,1.0,2.0,0.0,0.0,94,13,1.0,0.0,0.0,3.0,6,14,0.0,12,0.0,1.0,15,9.0,0.0,3.0,43,0.0,0.0,4.0,15,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,22,41,82,0.0,1,0.0,0.0,19,0.0,0.0,4.0,16.0,3.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,3,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3,130,165,3.0,0.0,6,8,6,3.0,0.0,0.0,0.0,147,2.0,11,18,17,4.0,0.0,0.0,0.0,0.0
200807,2.3946666666666667,235,7.0,35,25,11,15,24.0,1.0,0.0,0.0,123,1.0,4.0,0.0,0.0,4.0,8,2.0,0.0,45,0.0,0.0,5.0,0.0,0.0,46,0.0,0.0,0.0,207,8.0,111,107,0.0,12.0,186,15,84,2.0,0.0,2.0,0.0,0.0,24,41,0.0,11.0,0.0,0.0,15,11,1.0,2,0.0,2.0,23,2.0,0.0,6.0,46,0.0,0.0,2.0,47,1.0,0.0,0.0,0.0,15,1.0,0.0,0.0,3.0,3.0,0.0,0.0,47,24,123,0.0,4,0.0,0.0,35,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,35,11.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,4.0,12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5,1.0,7.0,11.0,1.0,0.0,0.0,1.0,8,26,222,0.0,7.0,9,4,14,31.0,0.0,0.0,8.0,206,0.0,3,16,11,3.0,0.0,0.0,0.0,0.0
200808,2.4058333333333333,240,3.0,31,42,33,5,11.0,1.0,0.0,0.0,68,0.0,0.0,0.0,0.0,5.0,1,1.0,0.0,25,0.0,0.0,3.0,0.0,3.0,20,0.0,0.0,0.0,78,0.0,84,81,2.0,14.0,60,21,62,0.0,1.0,2.0,1.0,0.0,25,23,0.0,0.0,1.0,0.0,11,2,3.0,10,0.0,3.0,15,7.0,0.0,4.0,40,0.0,0.0,2.0,29,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,8.0,0.0,0.0,15,26,84,0.0,7,0.0,0.0,53,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,1.0,5,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4,15.0,0.0,1.0,2.0,0.0,0.0,1.0,11,16,194,7.0,7.0,6,3,11,8.0,0.0,0.0,2.0,245,3.0,7,33,1,4.0,0.0,0.0,0.0,0.0
200809,2.417,146,1.0,9,39,9,35,6.0,7.0,17.0,2.0,66,1.0,1.0,2.0,0.0,5.0,2,0.0,0.0,12,10.0,0.0,2.0,0.0,0.0,12,0.0,0.0,0.0,80,32.0,139,137,1.0,3.0,96,3,41,0.0,1.0,6.0,1.0,0.0,7,22,50.0,0.0,0.0,0.0,24,14,6.0,14,0.0,4.0,21,1.0,1.0,0.0,61,0.0,0.0,3.0,36,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,4.0,6.0,0.0,0.0,16,71,70,0.0,5,0.0,0.0,38,0.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,0.0,0.0,2,0.0,4.0,3.0,3.0,4.0,0.0,8.0,0.0,4.0,5,25.0,0.0,2.0,0.0,0.0,10.0,0.0,5,23,134,3.0,3.0,43,7,8,31.0,0.0,1.0,5.0,358,2.0,18,43,46,1.0,0.0,0.0,0.0,0.0
200810,2.428166666666667,216,16.0,34,39,5,9,4.0,0.0,10.0,0.0,70,8.0,3.0,8.0,2.0,1.0,2,1.0,0.0,24,0.0,0.0,7.0,0.0,1.0,14,0.0,0.0,0.0,86,10.0,120,116,0.0,1.0,28,20,75,1.0,0.0,3.0,0.0,0.0,13,50,0.0,1.0,0.0,0.0,15,12,1.0,74,0.0,4.0,12,3.0,0.0,0.0,22,0.0,0.0,4.0,44,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,2.0,5.0,0.0,0.0,19,19,59,1.0,3,0.0,0.0,29,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,0.0,21.0,0.0,0.0,0.0,2.0,22,6,167,0.0,14.0,18,13,3,1.0,0.0,0.0,10.0,166,0.0,5,9,18,1.0,0.0,0.0,0.0,0.0
200811,2.4393333333333334,309,10.0,47,47,32,7,13.0,3.0,1.0,0.0,65,2.0,5.0,1.0,0.0,5.0,11,0.0,0.0,59,11.0,0.0,1.0,0.0,9.0,98,0.0,0.0,0.0,131,28.0,299,303,19.0,0.0,79,33,85,0.0,1.0,1.0,0.0,0.0,4,71,1.0,0.0,0.0,0.0,24,19,11.0,17,0.0,7.0,18,2.0,0.0,0.0,79,0.0,5.0,9.0,40,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,2.0,7.0,0.0,0.0,20,66,63,2.0,4,0.0,0.0,63,0.0,34.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,4.0,27,0.0,11.0,0.0,6.0,7.0,1.0,2.0,0.0,2.0,17,0.0,2.0,11.0,0.0,0.0,0.0,0.0,10,11,265,1.0,16.0,29,22,7,8.0,0.0,0.0,0.0,184,0.0,7,25,22,15.0,0.0,0.0,0.0,0.0
200812,2.4505,218,0.0,50,58,8,3,6.0,8.0,1.0,0.0,80,0.0,4.0,4.0,1.0,22.0,7,0.0,0.0,36,1.0,2.0,10.0,0.0,12.0,79,0.0,0.0,2.0,209,12.0,230,230,2.0,1.0,104,30,103,0.0,3.0,0.0,0.0,0.0,22,37,8.0,0.0,1.0,0.0,15,8,4.0,19,0.0,10.0,39,4.0,0.0,6.0,219,0.0,0.0,11.0,36,1.0,0.0,0.0,0.0,24,0.0,0.0,0.0,9.0,53.0,0.0,0.0,24,34,29,0.0,12,0.0,0.0,27,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,0.0,63,0.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,3.0,2,13.0,3.0,1.0,0.0,0.0,0.0,0.0,24,10,154,9.0,0.0,21,97,9,5.0,0.0,0.0,0.0,135,0.0,11,51,1,5.0,0.0,0.0,2.0,0.0
