,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,GR,200803,10,434
1,GR,200804,10,230
2,GR,200805,10,203
3,GR,200806,10,352
4,GR,200807,10,297
5,GR,200808,10,217
6,GR,200809,10,170
7,GR,200810,10,260
8,GR,200811,10,251
9,GR,200812,10,589
10,GR,200901,10,726
11,GR,200902,10,541
12,GR,200903,10,445
13,GR,200904,10,471
14,GR,200905,10,568
15,GR,200906,10,564
16,GR,200907,10,346
17,GR,200908,10,528
18,GR,200909,10,494
19,GR,200910,10,483
20,GR,200911,10,383
21,GR,200912,10,754
22,GR,201001,10,730
23,GR,201002,10,1125
24,GR,201003,10,405
25,GR,201004,10,761
26,GR,201005,10,946
27,GR,201006,10,356
28,GR,201007,10,473
29,GR,201008,10,673
30,GR,201009,10,778
31,GR,201010,10,683
32,GR,201011,10,1155
33,GR,201012,10,792
34,GR,201101,10,671
35,GR,201102,10,708
36,GR,201103,10,808
37,GR,201104,10,895
38,GR,201105,10,1193
39,GR,201106,10,1497
40,GR,201107,10,1462
41,GR,201108,10,719
42,GR,201109,10,1506
43,GR,201110,10,1152
44,GR,201111,10,1675
45,GR,201112,10,630
46,GR,201201,10,1079
47,GR,201202,10,2229
48,GR,201203,10,1314
49,GR,201204,10,965
50,GR,201205,10,2295
51,GR,201206,10,1841
52,GR,201207,10,1233
53,GR,201208,10,1331
54,GR,201209,10,979
55,GR,201210,10,1260
56,GR,201211,10,1101
57,GR,201212,10,817
58,GR,201301,10,790
59,GR,201302,10,801
60,GR,201303,10,849
61,GR,201304,10,321
62,GR,201305,10,210
63,GR,201306,10,1169
64,GR,201307,10,1250
65,GR,201308,10,1246
66,GR,201309,10,1177
67,GR,201310,10,1589
68,GR,201311,10,1258
69,GR,201312,10,832
70,GR,201401,10,936
71,GR,201402,10,1144
72,GR,201403,10,923
73,GR,201404,10,1043
74,GR,201405,10,1006
75,GR,201406,10,753
76,GR,201407,10,1006
77,GR,201408,10,823
78,GR,201409,10,994
79,GR,201410,10,1216
80,GR,201411,10,1094
81,GR,201412,10,1714
82,GR,201501,10,2538
83,GR,201502,10,3448
84,GR,201503,10,2851
85,GR,201504,10,2575
86,GR,201505,10,2341
87,GR,201506,10,4000
88,GR,201507,10,6671
89,GR,201508,10,2905
90,GR,201509,10,3085
91,GR,201510,10,2194
92,GR,201511,10,2246
93,GR,201512,10,1943
94,GR,201601,10,1938
95,GR,201602,10,2659
96,GR,201603,10,3199
97,GR,201604,10,3251
98,GR,201605,10,2632
99,GR,201606,10,2004
100,GR,201607,10,1667
101,GR,201608,10,1631
102,GR,201609,10,1926
103,GR,201610,10,1878
104,GR,201611,10,1873
105,GR,201612,10,1532
106,GR,201701,10,1694
107,GR,201702,10,1694
108,GR,201703,10,1588
109,GR,201704,10,1306
110,GR,201705,10,1498
111,GR,201706,10,1447
112,GR,201707,10,1391
113,GR,201708,10,1042
114,GR,201709,10,1358
115,GR,201710,10,1261
116,GR,201711,10,1531
117,GR,201712,10,1440
118,GR,201801,10,1372
119,GR,201802,10,1424
120,GR,201803,10,1419
121,GR,201804,10,1308
122,GR,201805,10,1161
123,GR,201806,10,1478
124,GR,201807,10,1700
125,GR,201808,10,1311
126,GR,201809,10,1578
127,GR,201810,10,1506
128,GR,201811,10,1358
129,GR,201812,10,1013
130,GR,201901,10,1531
131,GR,201902,10,1162
132,GR,201903,10,1312
133,GR,201904,10,1259
134,GR,201905,10,1160
135,GR,201906,10,1013
136,GR,201907,10,1380
137,GR,201908,10,1194
138,GR,201909,10,1179
139,GR,201910,10,1299
140,GR,201911,10,1417
141,GR,201912,10,1150
142,GR,202001,10,1046
143,GR,202002,10,1229
144,GR,202003,10,1599
145,GR,202004,10,1039
146,GR,202005,10,1109
147,GR,202006,10,910
148,GR,202007,10,1143
149,GR,202008,10,1368
150,GR,202009,10,2002
151,GR,200803,11,14
152,GR,200804,11,2
153,GR,200805,11,6
154,GR,200806,11,13
155,GR,200807,11,5
156,GR,200808,11,2
157,GR,200809,11,14
158,GR,200810,11,4
159,GR,200811,11,9
160,GR,200812,11,4
161,GR,200901,11,21
162,GR,200902,11,6
163,GR,200903,11,5
164,GR,200904,11,4
165,GR,200905,11,2
166,GR,200906,11,11
167,GR,200907,11,7
168,GR,200908,11,7
169,GR,200909,11,5
170,GR,200910,11,4
171,GR,200911,11,2
172,GR,200912,11,10
173,GR,201001,11,12
174,GR,201002,11,23
175,GR,201003,11,11
176,GR,201004,11,12
177,GR,201005,11,6
178,GR,201006,11,4
179,GR,201007,11,3
180,GR,201008,11,6
181,GR,201009,11,18
182,GR,201010,11,18
183,GR,201011,11,9
184,GR,201012,11,14
185,GR,201101,11,17
186,GR,201102,11,13
187,GR,201103,11,15
188,GR,201104,11,20
189,GR,201105,11,27
190,GR,201106,11,29
191,GR,201107,11,35
192,GR,201108,11,21
193,GR,201109,11,56
194,GR,201110,11,11
195,GR,201111,11,59
196,GR,201112,11,9
197,GR,201201,11,32
198,GR,201202,11,51
199,GR,201203,11,27
200,GR,201204,11,17
201,GR,201205,11,38
202,GR,201206,11,40
203,GR,201207,11,33
204,GR,201208,11,26
205,GR,201209,11,35
206,GR,201210,11,33
207,GR,201211,11,19
208,GR,201212,11,17
209,GR,201301,11,10
210,GR,201302,11,13
211,GR,201303,11,28
212,GR,201304,11,1
213,GR,201305,11,10
