,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,HA,200803,10,136
1,HA,200804,10,350
2,HA,200805,10,182
3,HA,200806,10,117
4,HA,200807,10,137
5,HA,200808,10,200
6,HA,200809,10,328
7,HA,200810,10,198
8,HA,200811,10,281
9,HA,200812,10,126
10,HA,200901,10,176
11,HA,200902,10,147
12,HA,200903,10,156
13,HA,200904,10,155
14,HA,200905,10,299
15,HA,200906,10,169
16,HA,200907,10,139
17,HA,200908,10,147
18,HA,200909,10,196
19,HA,200910,10,326
20,HA,200911,10,104
21,HA,200912,10,98
22,HA,201001,10,4950
23,HA,201002,10,2144
24,HA,201003,10,362
25,HA,201004,10,323
26,HA,201005,10,223
27,HA,201006,10,192
28,HA,201007,10,179
29,HA,201008,10,474
30,HA,201009,10,376
31,HA,201010,10,734
32,HA,201011,10,1228
33,HA,201012,10,493
34,HA,201101,10,841
35,HA,201102,10,271
36,HA,201103,10,495
37,HA,201104,10,273
38,HA,201105,10,226
39,HA,201106,10,204
40,HA,201107,10,182
41,HA,201108,10,233
42,HA,201109,10,288
43,HA,201110,10,224
44,HA,201111,10,158
45,HA,201112,10,126
46,HA,201201,10,399
47,HA,201202,10,389
48,HA,201203,10,323
49,HA,201204,10,313
50,HA,201205,10,274
51,HA,201206,10,271
52,HA,201207,10,201
53,HA,201208,10,264
54,HA,201209,10,215
55,HA,201210,10,298
56,HA,201211,10,229
57,HA,201212,10,193
58,HA,201301,10,308
59,HA,201302,10,304
60,HA,201303,10,200
61,HA,201304,10,145
62,HA,201305,10,119
63,HA,201306,10,183
64,HA,201307,10,295
65,HA,201308,10,294
66,HA,201309,10,217
67,HA,201310,10,403
68,HA,201311,10,375
69,HA,201312,10,240
70,HA,201401,10,279
71,HA,201402,10,339
72,HA,201403,10,236
73,HA,201404,10,242
74,HA,201405,10,292
75,HA,201406,10,219
76,HA,201407,10,293
77,HA,201408,10,256
78,HA,201409,10,277
79,HA,201410,10,371
80,HA,201411,10,251
81,HA,201412,10,332
82,HA,201501,10,379
83,HA,201502,10,343
84,HA,201503,10,436
85,HA,201504,10,298
86,HA,201505,10,386
87,HA,201506,10,425
88,HA,201507,10,555
89,HA,201508,10,499
90,HA,201509,10,350
91,HA,201510,10,420
92,HA,201511,10,349
93,HA,201512,10,314
94,HA,201601,10,395
95,HA,201602,10,374
96,HA,201603,10,250
97,HA,201604,10,388
98,HA,201605,10,388
99,HA,201606,10,306
100,HA,201607,10,246
101,HA,201608,10,382
102,HA,201609,10,399
103,HA,201610,10,2225
104,HA,201611,10,535
105,HA,201612,10,454
106,HA,201701,10,417
107,HA,201702,10,401
108,HA,201703,10,459
109,HA,201704,10,398
110,HA,201705,10,403
111,HA,201706,10,282
112,HA,201707,10,212
113,HA,201708,10,323
114,HA,201709,10,352
115,HA,201710,10,295
116,HA,201711,10,349
117,HA,201712,10,285
118,HA,201801,10,1726
119,HA,201802,10,847
120,HA,201803,10,318
121,HA,201804,10,210
122,HA,201805,10,217
123,HA,201806,10,218
124,HA,201807,10,420
125,HA,201808,10,287
126,HA,201809,10,251
127,HA,201810,10,438
128,HA,201811,10,250
129,HA,201812,10,167
130,HA,201901,10,262
131,HA,201902,10,372
132,HA,201903,10,204
133,HA,201904,10,199
134,HA,201905,10,185
135,HA,201906,10,244
136,HA,201907,10,206
137,HA,201908,10,276
138,HA,201909,10,315
139,HA,201910,10,301
140,HA,201911,10,235
141,HA,201912,10,223
142,HA,202001,10,199
143,HA,202002,10,204
144,HA,202003,10,184
145,HA,202004,10,193
146,HA,202005,10,180
147,HA,202006,10,186
148,HA,202007,10,125
149,HA,202008,10,197
150,HA,202009,10,247
151,HA,200803,11,5
152,HA,200804,11,4
153,HA,200805,11,5
154,HA,200806,11,1
155,HA,200807,11,7
156,HA,200809,11,1
157,HA,200811,11,1
158,HA,200901,11,4
159,HA,200902,11,3
160,HA,200903,11,2
161,HA,200904,11,5
162,HA,200905,11,2
163,HA,200906,11,2
164,HA,200907,11,24
165,HA,200908,11,10
166,HA,200909,11,5
167,HA,200910,11,2
168,HA,200911,11,3
169,HA,201001,11,57
170,HA,201002,11,86
171,HA,201003,11,3
172,HA,201004,11,2
173,HA,201005,11,4
174,HA,201006,11,3
175,HA,201007,11,1
176,HA,201008,11,18
177,HA,201009,11,13
178,HA,201010,11,12
179,HA,201011,11,18
180,HA,201012,11,19
181,HA,201101,11,25
182,HA,201102,11,6
183,HA,201103,11,24
184,HA,201104,11,6
185,HA,201105,11,6
186,HA,201106,11,13
187,HA,201107,11,7
188,HA,201108,11,2
189,HA,201109,11,3
190,HA,201110,11,3
191,HA,201201,11,4
192,HA,201202,11,9
193,HA,201203,11,11
194,HA,201204,11,3
195,HA,201205,11,2
196,HA,201208,11,1
197,HA,201209,11,10
198,HA,201210,11,2
199,HA,201211,11,1
200,HA,201212,11,16
201,HA,201301,11,8
202,HA,201302,11,4
203,HA,201304,11,20
204,HA,201305,11,9
205,HA,201306,11,2
206,HA,201308,11,2
207,HA,201309,11,11
208,HA,201311,11,9
209,HA,201312,11,1
210,HA,201401,11,8
211,HA,201402,11,9
212,HA,201403,11,11
213,HA,201404,11,1
214,HA,201405,11,5
215,HA,201407,11,4
216,HA,201408,11,16
217,HA,201409,11,3
218,HA,201410,11,15
219,HA,201411,11,6
220,HA,201412,11,1
221,HA,201501,11,2
222,HA,201502,11,14
223,HA,201503,11,6
224,HA,201504,11,5
225,HA,201505,11,16
226,HA,201506,11,6
227,HA,201507,11,14
228,HA,201508,11,17
229,HA,201509,11,7
230,HA,201510,11,3
231,HA,201511,11,7
232,HA,201512,11,7
233,HA,201601,11,15
234,HA,201602,11,10
235,HA,201603,11,2
236,HA,201604,11,3
237,HA,201605,11,9
238,HA,201607,11,5
239,HA,201608,11,10
240,HA,201609,11,4
241,HA,201610,11,24
242,HA,201611,11,9
243,HA,201612,11,18
244,HA,201701,11,31
245,HA,201702,11,9
246,HA,201703,11,7
247,HA,201704,11,15
248,HA,201705,11,4
249,HA,201706,11,5
250,HA,201707,11,9
251,HA,201708,11,7
252,HA,201710,11,10
253,HA,201711,11,13
254,HA,201712,11,4
255,HA,201801,11,58
256,HA,201802,11,21
257,HA,201803,11,10
258,HA,201804,11,1
259,HA,201805,11,8
260,HA,201806,11,10
261,HA,201807,11,2
262,HA,201808,11,21
263,HA,201809,11,12
264,HA,201810,11,7
265,HA,201811,11,6
266,HA,201812,11,4
267,HA,201901,11,4
268,HA,201902,11,13
269,HA,201903,11,6
270,HA,201904,11,8
271,HA,201905,11,6
272,HA,201906,11,8
273,HA,201908,11,1
274,HA,201909,11,11
275,HA,201910,11,4
276,HA,201911,11,9
277,HA,201912,11,15
278,HA,202001,11,5
279,HA,202002,11,5
280,HA,202003,11,8
281,HA,202004,11,8
282,HA,202005,11,3
283,HA,202006,11,1
284,HA,202007,11,3
285,HA,202008,11,1
286,HA,202009,11,5
287,HA,200803,12,22
288,HA,200804,12,83
289,HA,200805,12,35
290,HA,200806,12,8
291,HA,200807,12,22
292,HA,200808,12,30
293,HA,200809,12,55
294,HA,200810,12,10
295,HA,200811,12,35
296,HA,200812,12,12
297,HA,200901,12,14
298,HA,200902,12,29
299,HA,200903,12,16
300,HA,200904,12,32
301,HA,200905,12,27
302,HA,200906,12,22
303,HA,200907,12,23
304,HA,200908,12,11
305,HA,200909,12,14
306,HA,200910,12,35
