,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,MU,200803,10,60
1,MU,200804,10,47
2,MU,200805,10,34
3,MU,200806,10,40
4,MU,200807,10,31
5,MU,200808,10,30
6,MU,200809,10,20
7,MU,200810,10,64
8,MU,200811,10,85
9,MU,200812,10,123
10,MU,200901,10,84
11,MU,200902,10,89
12,MU,200903,10,100
13,MU,200904,10,96
14,MU,200905,10,140
15,MU,200906,10,104
16,MU,200907,10,59
17,MU,200908,10,96
18,MU,200909,10,72
19,MU,200910,10,166
20,MU,200911,10,98
21,MU,200912,10,94
22,MU,201001,10,113
23,MU,201002,10,104
24,MU,201003,10,25
25,MU,201004,10,59
26,MU,201005,10,82
27,MU,201006,10,36
28,MU,201007,10,45
29,MU,201008,10,139
30,MU,201009,10,177
31,MU,201010,10,95
32,MU,201011,10,141
33,MU,201012,10,124
34,MU,201101,10,135
35,MU,201102,10,193
36,MU,201103,10,527
37,MU,201104,10,185
38,MU,201105,10,141
39,MU,201106,10,166
40,MU,201107,10,160
41,MU,201108,10,190
42,MU,201109,10,410
43,MU,201110,10,308
44,MU,201111,10,234
45,MU,201112,10,166
46,MU,201201,10,306
47,MU,201202,10,208
48,MU,201203,10,194
49,MU,201204,10,248
50,MU,201205,10,314
51,MU,201206,10,203
52,MU,201207,10,176
53,MU,201208,10,118
54,MU,201209,10,201
55,MU,201210,10,164
56,MU,201211,10,159
57,MU,201212,10,183
58,MU,201301,10,194
59,MU,201302,10,168
60,MU,201303,10,215
61,MU,201304,10,72
62,MU,201305,10,74
63,MU,201306,10,141
64,MU,201307,10,167
65,MU,201308,10,198
66,MU,201309,10,244
67,MU,201310,10,274
68,MU,201311,10,276
69,MU,201312,10,275
70,MU,201401,10,206
71,MU,201402,10,246
72,MU,201403,10,347
73,MU,201404,10,359
74,MU,201405,10,277
75,MU,201406,10,175
76,MU,201407,10,220
77,MU,201408,10,304
78,MU,201409,10,279
79,MU,201410,10,206
80,MU,201411,10,378
81,MU,201412,10,314
82,MU,201501,10,271
83,MU,201502,10,260
84,MU,201503,10,353
85,MU,201504,10,274
86,MU,201505,10,337
87,MU,201506,10,368
88,MU,201507,10,235
89,MU,201508,10,290
90,MU,201509,10,375
91,MU,201510,10,300
92,MU,201511,10,345
93,MU,201512,10,248
94,MU,201601,10,372
95,MU,201602,10,345
96,MU,201603,10,439
97,MU,201604,10,315
98,MU,201605,10,346
99,MU,201606,10,279
100,MU,201607,10,269
101,MU,201608,10,343
102,MU,201609,10,338
103,MU,201610,10,372
104,MU,201611,10,308
105,MU,201612,10,256
106,MU,201701,10,334
107,MU,201702,10,264
108,MU,201703,10,270
