MonthYear,GPI_score
200803,2.347
200804,2.347
200805,2.347
200806,2.347
200807,2.347
200808,2.347
200809,2.347
200810,2.347
200811,2.347
200812,2.347
200901,2.347
200902,2.347
200903,2.347
200904,2.3489166666666668
200905,2.350833333333333
200906,2.35275
200907,2.3546666666666667
200908,2.3565833333333335
200909,2.3585000000000003
200910,2.3604166666666666
200911,2.3623333333333334
200912,2.36425
201001,2.3661666666666665
201002,2.3680833333333333
201003,2.37
201004,2.3818333333333332
201005,2.393666666666667
201006,2.4055
201007,2.4173333333333336
201008,2.4291666666666667
201009,2.441
201010,2.4528333333333334
201011,2.4646666666666666
201012,2.4765
201101,2.4883333333333333
201102,2.500166666666667
201103,2.512
201104,2.4989166666666667
201105,2.4858333333333333
201106,2.47275
201107,2.4596666666666667
201108,2.4465833333333333
201109,2.4335
201110,2.4204166666666667
201111,2.4073333333333333
201112,2.39425
201201,2.3811666666666667
201202,2.3680833333333333
201203,2.355
201204,2.351583333333333
201205,2.3481666666666667
201206,2.34475
201207,2.3413333333333335
201208,2.3379166666666666
201209,2.3345000000000002
201210,2.3310833333333334
201211,2.3276666666666666
201212,2.32425
201301,2.3208333333333333
201302,2.317416666666667
201303,2.314
201304,2.3114166666666667
201305,2.3088333333333333
201306,2.30625
201307,2.3036666666666665
201308,2.301083333333333
201309,2.2984999999999998
201310,2.295916666666667
201311,2.2933333333333334
201312,2.29075
201401,2.2881666666666667
201402,2.2855833333333333
201403,2.283
201404,2.2811666666666666
201405,2.279333333333333
201406,2.2775
201407,2.2756666666666665
201408,2.273833333333333
201409,2.2720000000000002
201410,2.270166666666667
201411,2.2683333333333335
201412,2.2665
201501,2.264666666666667
201502,2.2628333333333335
201503,2.261
201504,2.255666666666667
201505,2.2503333333333333
201506,2.245
201507,2.239666666666667
201508,2.2343333333333333
201509,2.229
201510,2.223666666666667
201511,2.2183333333333333
201512,2.213
201601,2.207666666666667
201602,2.2023333333333333
201603,2.197
201604,2.19625
201605,2.1955
201606,2.19475
201607,2.194
201608,2.19325
201609,2.1925
201610,2.1917500000000003
201611,2.1910000000000003
201612,2.1902500000000003
201701,2.1895000000000002
201702,2.18875
201703,2.188
201704,2.188
201705,2.188
201706,2.188
201707,2.188
201708,2.188
201709,2.188
201710,2.188
201711,2.188
201712,2.188
201801,2.188
201802,2.188
201803,2.188
201804,2.1905833333333335
201805,2.193166666666667
201806,2.1957500000000003
201807,2.1983333333333333
201808,2.2009166666666666
201809,2.2035
201810,2.2060833333333334
201811,2.208666666666667
201812,2.2112499999999997
201901,2.213833333333333
201902,2.2164166666666665
201903,2.219
201904,2.2246666666666663
201905,2.2303333333333333
201906,2.2359999999999998
201907,2.2416666666666667
201908,2.247333333333333
201909,2.253
201910,2.2586666666666666
201911,2.264333333333333
201912,2.27
202001,2.2756666666666665
202002,2.2813333333333334
202003,2.287
202004,2.2889166666666667
202005,2.2908333333333335
202006,2.29275
202007,2.2946666666666666
202008,2.2965833333333334
202009,2.2984999999999998
202010,2.3004166666666666
202011,2.3023333333333333
202012,2.30425
202101,2.306166666666667
202102,2.3080833333333333
202103,2.31
