MonthYear,GPI_score
200803,1.757
200804,1.75325
200805,1.7494999999999998
200806,1.74575
200807,1.742
200808,1.7382499999999999
200809,1.7345
200810,1.73075
200811,1.7269999999999999
200812,1.72325
200901,1.7195
200902,1.7157499999999999
200903,1.712
200904,1.71025
200905,1.7085
200906,1.70675
200907,1.7049999999999998
200908,1.70325
200909,1.7014999999999998
200910,1.6997499999999999
200911,1.698
200912,1.6962499999999998
201001,1.6945
201002,1.6927499999999998
201003,1.6909999999999998
201004,1.6925
201005,1.694
201006,1.6955
201007,1.6969999999999998
201008,1.6985
201009,1.7
201010,1.7015
201011,1.703
201012,1.7045
201101,1.706
201102,1.7075
201103,1.709
201104,1.7084166666666667
201105,1.7078333333333333
201106,1.7072500000000002
201107,1.7066666666666668
201108,1.7060833333333334
201109,1.7055
201110,1.7049166666666666
201111,1.7043333333333333
201112,1.7037499999999999
201201,1.7031666666666667
201202,1.7025833333333333
201203,1.702
201204,1.6998333333333333
201205,1.6976666666666667
201206,1.6955
201207,1.6933333333333334
201208,1.6911666666666667
201209,1.689
201210,1.6868333333333332
201211,1.6846666666666665
201212,1.6824999999999999
201301,1.6803333333333332
201302,1.6781666666666666
201303,1.676
201304,1.6835
201305,1.6909999999999998
201306,1.6985
201307,1.706
201308,1.7135
201309,1.721
201310,1.7285
201311,1.736
201312,1.7435
201401,1.751
201402,1.7585
201403,1.766
201404,1.7574166666666666
201405,1.7488333333333332
201406,1.74025
201407,1.7316666666666667
201408,1.7230833333333333
201409,1.7145000000000001
201410,1.7059166666666667
201411,1.6973333333333334
201412,1.68875
201501,1.6801666666666666
201502,1.6715833333333334
201503,1.663
201504,1.6605
201505,1.658
201506,1.6555
201507,1.653
201508,1.6505
201509,1.6480000000000001
201510,1.6455
201511,1.643
201512,1.6405
201601,1.638
201602,1.6355
201603,1.633
201604,1.6336666666666666
201605,1.6343333333333334
201606,1.635
201607,1.6356666666666666
201608,1.6363333333333334
201609,1.637
201610,1.6376666666666666
201611,1.6383333333333334
201612,1.639
201701,1.6396666666666666
201702,1.6403333333333334
201703,1.641
201704,1.6444166666666666
201705,1.6478333333333333
201706,1.65125
201707,1.6546666666666667
201708,1.6580833333333334
201709,1.6615
201710,1.6649166666666666
201711,1.6683333333333332
201712,1.6717499999999998
201801,1.6751666666666667
201802,1.6785833333333333
201803,1.682
201804,1.6815
201805,1.681
201806,1.6804999999999999
201807,1.68
201808,1.6795
201809,1.6789999999999998
201810,1.6784999999999999
201811,1.678
201812,1.6775
201901,1.677
201902,1.6764999999999999
201903,1.676
201904,1.6774166666666666
201905,1.6788333333333334
201906,1.68025
201907,1.6816666666666666
201908,1.6830833333333333
201909,1.6844999999999999
201910,1.6859166666666667
201911,1.6873333333333334
201912,1.68875
202001,1.6901666666666668
202002,1.6915833333333334
202003,1.693
202004,1.698
202005,1.703
202006,1.708
202007,1.713
202008,1.718
202009,1.7229999999999999
202010,1.728
202011,1.7329999999999999
202012,1.738
202101,1.7429999999999999
202102,1.748
202103,1.753
