MonthYear,GPI_score
200803,1.7530000000000001
200804,1.7568333333333335
200805,1.7606666666666668
200806,1.7645000000000002
200807,1.7683333333333335
200808,1.772166666666667
200809,1.7760000000000002
200810,1.7798333333333334
200811,1.7836666666666667
200812,1.7875
200901,1.7913333333333334
200902,1.7951666666666668
200903,1.7990000000000002
200904,1.7993333333333335
200905,1.7996666666666667
200906,1.8000000000000003
200907,1.8003333333333336
200908,1.8006666666666669
200909,1.8010000000000002
200910,1.8013333333333335
200911,1.8016666666666667
200912,1.802
201001,1.8023333333333336
201002,1.8026666666666669
201003,1.8030000000000002
201004,1.8010833333333336
201005,1.7991666666666668
201006,1.79725
201007,1.7953333333333334
201008,1.7934166666666669
201009,1.7915
201010,1.7895833333333333
201011,1.7876666666666667
201012,1.7857500000000002
201101,1.7838333333333334
201102,1.7819166666666666
201103,1.78
201104,1.782
201105,1.784
201106,1.786
201107,1.788
201108,1.79
201109,1.792
201110,1.794
201111,1.796
201112,1.798
201201,1.8
201202,1.802
201203,1.804
201204,1.80325
201205,1.8025
201206,1.80175
201207,1.801
201208,1.80025
201209,1.7995
201210,1.79875
201211,1.798
201212,1.79725
201301,1.7965
201302,1.79575
201303,1.795
201304,1.7958333333333332
201305,1.7966666666666666
201306,1.7974999999999999
201307,1.7983333333333333
201308,1.7991666666666666
201309,1.7999999999999998
201310,1.8008333333333333
201311,1.8016666666666665
201312,1.8025
201401,1.8033333333333332
201402,1.8041666666666667
201403,1.805
201404,1.8045833333333332
201405,1.8041666666666667
201406,1.80375
201407,1.8033333333333332
201408,1.8029166666666667
201409,1.8025
201410,1.8020833333333333
201411,1.8016666666666667
201412,1.80125
201501,1.8008333333333333
201502,1.8004166666666668
201503,1.8
201504,1.7996666666666667
201505,1.7993333333333335
201506,1.799
201507,1.7986666666666666
201508,1.7983333333333333
201509,1.798
201510,1.7976666666666667
201511,1.7973333333333334
201512,1.7970000000000002
201601,1.7966666666666666
201602,1.7963333333333333
201603,1.796
201604,1.7970000000000002
201605,1.798
201606,1.799
201607,1.8
201608,1.8010000000000002
201609,1.802
201610,1.803
201611,1.804
201612,1.8050000000000002
201701,1.806
201702,1.807
201703,1.808
201704,1.805
201705,1.802
201706,1.799
201707,1.796
201708,1.793
201709,1.79
201710,1.787
201711,1.7839999999999998
201712,1.781
201801,1.7779999999999998
201802,1.775
201803,1.7719999999999998
201804,1.7739999999999998
201805,1.7759999999999998
201806,1.7779999999999998
201807,1.7799999999999998
201808,1.7819999999999998
201809,1.7839999999999998
201810,1.786
201811,1.788
201812,1.79
201901,1.792
201902,1.794
201903,1.796
201904,1.7943333333333333
201905,1.7926666666666666
201906,1.791
201907,1.7893333333333334
201908,1.7876666666666667
201909,1.786
201910,1.7843333333333333
201911,1.7826666666666666
201912,1.7810000000000001
202001,1.7793333333333334
202002,1.7776666666666667
202003,1.776
202004,1.7709166666666667
202005,1.7658333333333334
202006,1.76075
202007,1.7556666666666667
202008,1.7505833333333334
202009,1.7455
202010,1.7404166666666667
202011,1.7353333333333334
202012,1.73025
202101,1.7251666666666667
202102,1.7200833333333334
202103,1.715
