MonthYear,GPI_score
200803,2.481
200804,2.4731666666666667
200805,2.465333333333333
200806,2.4575
200807,2.4496666666666664
200808,2.4418333333333333
200809,2.434
200810,2.4261666666666666
200811,2.4183333333333334
200812,2.4105
200901,2.4026666666666667
200902,2.394833333333333
200903,2.387
200904,2.3796666666666666
200905,2.372333333333333
200906,2.365
200907,2.357666666666667
200908,2.3503333333333334
200909,2.343
200910,2.3356666666666666
200911,2.328333333333333
200912,2.3209999999999997
201001,2.3136666666666668
201002,2.3063333333333333
201003,2.299
201004,2.31575
201005,2.3325
201006,2.34925
201007,2.366
201008,2.38275
201009,2.3994999999999997
201010,2.41625
201011,2.433
201012,2.44975
201101,2.4665
201102,2.48325
201103,2.5
201104,2.496
201105,2.492
201106,2.488
201107,2.484
201108,2.48
201109,2.476
201110,2.472
201111,2.468
201112,2.464
201201,2.46
201202,2.456
201203,2.452
201204,2.4665833333333333
201205,2.4811666666666667
201206,2.49575
201207,2.510333333333333
201208,2.5249166666666665
201209,2.5395
201210,2.5540833333333333
201211,2.5686666666666667
201212,2.5832499999999996
201301,2.597833333333333
201302,2.6124166666666664
201303,2.627
201304,2.601
201305,2.5749999999999997
201306,2.549
201307,2.5229999999999997
201308,2.497
201309,2.471
201310,2.445
201311,2.419
201312,2.393
201401,2.367
201402,2.341
201403,2.315
201404,2.3008333333333333
201405,2.2866666666666666
201406,2.2725
201407,2.2583333333333333
201408,2.2441666666666666
201409,2.23
201410,2.2158333333333333
201411,2.2016666666666667
201412,2.1875
201501,2.1733333333333333
201502,2.1591666666666667
201503,2.145
201504,2.1510833333333332
201505,2.157166666666667
201506,2.16325
201507,2.1693333333333333
201508,2.1754166666666666
201509,2.1814999999999998
201510,2.1875833333333334
201511,2.1936666666666667
201512,2.19975
201601,2.2058333333333335
201602,2.2119166666666668
201603,2.218
201604,2.2219166666666665
201605,2.225833333333333
201606,2.22975
201607,2.2336666666666667
201608,2.2375833333333333
201609,2.2415000000000003
201610,2.245416666666667
201611,2.2493333333333334
201612,2.25325
201701,2.2571666666666665
201702,2.2610833333333336
201703,2.265
201704,2.260666666666667
201705,2.2563333333333335
201706,2.2520000000000002
201707,2.247666666666667
201708,2.2433333333333336
201709,2.239
201710,2.2346666666666666
201711,2.2303333333333333
201712,2.226
201801,2.2216666666666667
201802,2.2173333333333334
201803,2.213
201804,2.2121666666666666
201805,2.2113333333333336
201806,2.2105
201807,2.2096666666666667
201808,2.2088333333333336
201809,2.208
201810,2.2071666666666667
201811,2.2063333333333337
201812,2.2055000000000002
201901,2.2046666666666668
201902,2.2038333333333338
201903,2.2030000000000003
201904,2.200166666666667
201905,2.197333333333334
201906,2.1945
201907,2.191666666666667
201908,2.1888333333333336
201909,2.186
201910,2.1831666666666667
201911,2.1803333333333335
201912,2.1775
202001,2.174666666666667
202002,2.1718333333333333
202003,2.169
202004,2.165166666666667
202005,2.1613333333333333
202006,2.1575
202007,2.1536666666666666
202008,2.1498333333333335
202009,2.146
202010,2.1421666666666668
202011,2.1383333333333336
202012,2.1345
202101,2.130666666666667
202102,2.1268333333333334
202103,2.123
