MonthYear,GPI_score
200803,2.126
200804,2.126583333333333
200805,2.1271666666666667
200806,2.12775
200807,2.1283333333333334
200808,2.1289166666666666
200809,2.1295
200810,2.1300833333333333
200811,2.1306666666666665
200812,2.13125
200901,2.1318333333333332
200902,2.132416666666667
200903,2.133
200904,2.1315
200905,2.13
200906,2.1285
200907,2.1270000000000002
200908,2.1255
200909,2.124
200910,2.1225
200911,2.121
200912,2.1195000000000004
201001,2.1180000000000003
201002,2.1165000000000003
201003,2.115
201004,2.1150833333333336
201005,2.115166666666667
201006,2.11525
201007,2.1153333333333335
201008,2.115416666666667
201009,2.1155
201010,2.1155833333333334
201011,2.115666666666667
201012,2.1157500000000002
201101,2.1158333333333337
201102,2.1159166666666667
201103,2.116
201104,2.1132500000000003
201105,2.1105
201106,2.1077500000000002
201107,2.105
201108,2.10225
201109,2.0995
201110,2.09675
201111,2.0940000000000003
201112,2.09125
201201,2.0885000000000002
201202,2.08575
201203,2.083
201204,2.0853333333333337
201205,2.087666666666667
201206,2.09
201207,2.0923333333333334
201208,2.094666666666667
201209,2.097
201210,2.099333333333333
201211,2.1016666666666666
201212,2.104
201301,2.106333333333333
201302,2.1086666666666662
201303,2.1109999999999998
201304,2.1049166666666665
201305,2.0988333333333333
201306,2.0927499999999997
201307,2.0866666666666664
201308,2.0805833333333332
201309,2.0745
201310,2.068416666666667
201311,2.0623333333333336
201312,2.0562500000000004
201401,2.0501666666666667
201402,2.0440833333333335
201403,2.0380000000000003
201404,2.0396666666666667
201405,2.0413333333333337
201406,2.043
201407,2.044666666666667
201408,2.0463333333333336
201409,2.048
201410,2.049666666666667
201411,2.0513333333333335
201412,2.0530000000000004
201501,2.054666666666667
201502,2.056333333333334
201503,2.0580000000000003
201504,2.059
201505,2.06
201506,2.061
201507,2.0620000000000003
201508,2.063
201509,2.064
201510,2.065
201511,2.066
201512,2.067
201601,2.068
201602,2.069
201603,2.07
201604,2.065833333333333
201605,2.0616666666666665
201606,2.0575
201607,2.0533333333333332
201608,2.0491666666666664
201609,2.045
201610,2.0408333333333335
201611,2.0366666666666666
201612,2.0324999999999998
201701,2.0283333333333333
201702,2.024166666666667
201703,2.02
201704,2.025
201705,2.0300000000000002
201706,2.035
201707,2.04
201708,2.045
201709,2.05
201710,2.055
201711,2.06
201712,2.065
201801,2.0700000000000003
201802,2.075
201803,2.08
201804,2.0774166666666667
201805,2.0748333333333333
201806,2.07225
201807,2.0696666666666665
201808,2.067083333333333
201809,2.0645
201810,2.061916666666667
201811,2.0593333333333335
201812,2.05675
201901,2.0541666666666667
201902,2.0515833333333333
201903,2.049
201904,2.05075
201905,2.0524999999999998
201906,2.0542499999999997
201907,2.056
201908,2.05775
201909,2.0595
201910,2.06125
201911,2.0629999999999997
201912,2.06475
202001,2.0665
202002,2.06825
202003,2.07
202004,2.065583333333333
202005,2.0611666666666664
202006,2.05675
202007,2.0523333333333333
202008,2.0479166666666666
202009,2.0435
202010,2.039083333333333
202011,2.0346666666666664
202012,2.0302499999999997
202101,2.0258333333333334
202102,2.0214166666666666
202103,2.017
