MonthYear,GPI_score
200803,1.913
200804,1.9129166666666666
200805,1.9128333333333334
200806,1.91275
200807,1.9126666666666667
200808,1.9125833333333333
200809,1.9125
200810,1.9124166666666667
200811,1.9123333333333332
200812,1.91225
200901,1.9121666666666666
200902,1.9120833333333334
200903,1.912
200904,1.90475
200905,1.8975
200906,1.89025
200907,1.883
200908,1.87575
200909,1.8685
200910,1.8612499999999998
200911,1.8539999999999999
200912,1.84675
201001,1.8395
201002,1.83225
201003,1.825
201004,1.8268333333333333
201005,1.8286666666666667
201006,1.8305
201007,1.8323333333333334
201008,1.8341666666666667
201009,1.8359999999999999
201010,1.8378333333333332
201011,1.8396666666666666
201012,1.8415
201101,1.8433333333333333
201102,1.8451666666666666
201103,1.847
201104,1.849
201105,1.851
201106,1.853
201107,1.855
201108,1.857
201109,1.859
201110,1.861
201111,1.863
201112,1.865
201201,1.867
201202,1.869
201203,1.871
201204,1.8691666666666666
201205,1.8673333333333333
201206,1.8655
201207,1.8636666666666666
201208,1.8618333333333332
201209,1.8599999999999999
201210,1.8581666666666667
201211,1.8563333333333334
201212,1.8545
201301,1.8526666666666667
201302,1.8508333333333333
201303,1.849
201304,1.8456666666666666
201305,1.8423333333333334
201306,1.839
201307,1.8356666666666668
201308,1.8323333333333334
201309,1.8290000000000002
201310,1.8256666666666668
201311,1.8223333333333334
201312,1.8190000000000002
201401,1.8156666666666668
201402,1.8123333333333336
201403,1.8090000000000002
201404,1.8090833333333336
201405,1.8091666666666668
201406,1.80925
201407,1.8093333333333335
201408,1.809416666666667
201409,1.8095
201410,1.8095833333333333
201411,1.8096666666666668
201412,1.8097500000000002
201501,1.8098333333333334
201502,1.8099166666666666
201503,1.81
201504,1.8139166666666666
201505,1.8178333333333334
201506,1.82175
201507,1.8256666666666668
201508,1.8295833333333333
201509,1.8335
201510,1.8374166666666667
201511,1.8413333333333333
201512,1.84525
201601,1.8491666666666666
201602,1.8530833333333334
201603,1.857
201604,1.8533333333333333
201605,1.8496666666666668
201606,1.846
201607,1.8423333333333334
201608,1.8386666666666667
201609,1.835
201610,1.8313333333333335
201611,1.8276666666666668
201612,1.824
201701,1.8203333333333336
201702,1.8166666666666669
201703,1.8130000000000002
201704,1.813416666666667
201705,1.8138333333333334
201706,1.8142500000000001
201707,1.8146666666666669
201708,1.8150833333333334
201709,1.8155000000000001
201710,1.8159166666666668
201711,1.8163333333333334
201712,1.81675
201801,1.8171666666666668
201802,1.8175833333333333
201803,1.818
201804,1.8165833333333334
201805,1.8151666666666668
201806,1.81375
201807,1.8123333333333334
201808,1.8109166666666667
201809,1.8094999999999999
201810,1.8080833333333333
201811,1.8066666666666666
201812,1.80525
201901,1.8038333333333334
201902,1.8024166666666666
201903,1.801
201904,1.8045
201905,1.808
201906,1.8115
201907,1.815
201908,1.8185
201909,1.822
201910,1.8255000000000001
201911,1.8290000000000002
201912,1.8325
202001,1.836
202002,1.8395000000000001
202003,1.8430000000000002
202004,1.8401666666666667
202005,1.8373333333333335
202006,1.8345000000000002
202007,1.8316666666666668
202008,1.8288333333333333
202009,1.826
202010,1.8231666666666668
202011,1.8203333333333334
202012,1.8175
202101,1.8146666666666667
202102,1.8118333333333334
202103,1.809
