MonthYear,GPI_score
200803,2.2
200804,2.1958333333333333
200805,2.191666666666667
200806,2.1875
200807,2.1833333333333336
200808,2.1791666666666667
200809,2.175
200810,2.1708333333333334
200811,2.1666666666666665
200812,2.1625
200901,2.158333333333333
200902,2.154166666666667
200903,2.15
200904,2.1476666666666664
200905,2.1453333333333333
200906,2.143
200907,2.1406666666666667
200908,2.138333333333333
200909,2.136
200910,2.1336666666666666
200911,2.131333333333333
200912,2.129
201001,2.1266666666666665
201002,2.1243333333333334
201003,2.122
201004,2.12375
201005,2.1254999999999997
201006,2.12725
201007,2.129
201008,2.13075
201009,2.1325000000000003
201010,2.13425
201011,2.136
201012,2.13775
201101,2.1395
201102,2.1412500000000003
201103,2.1430000000000002
201104,2.137916666666667
201105,2.1328333333333336
201106,2.1277500000000003
201107,2.122666666666667
201108,2.1175833333333336
201109,2.1125
201110,2.1074166666666665
201111,2.102333333333333
201112,2.09725
201201,2.0921666666666665
201202,2.087083333333333
201203,2.082
201204,2.0675
201205,2.053
201206,2.0385
201207,2.024
201208,2.0095
201209,1.995
201210,1.9805
201211,1.966
201212,1.9515
201301,1.937
201302,1.9225
201303,1.9080000000000001
201304,1.9107500000000002
201305,1.9135
201306,1.91625
201307,1.919
201308,1.92175
201309,1.9245
201310,1.92725
201311,1.93
201312,1.93275
201401,1.9354999999999998
201402,1.9382499999999998
201403,1.9409999999999998
201404,1.9416666666666664
201405,1.9423333333333332
201406,1.9429999999999998
201407,1.9436666666666667
201408,1.9443333333333332
201409,1.9449999999999998
201410,1.9456666666666667
201411,1.9463333333333332
201412,1.947
201501,1.9476666666666667
201502,1.9483333333333335
201503,1.949
201504,1.9430833333333335
201505,1.9371666666666667
201506,1.9312500000000001
201507,1.9253333333333333
201508,1.9194166666666668
201509,1.9135
201510,1.9075833333333334
201511,1.9016666666666668
201512,1.89575
201601,1.8898333333333335
201602,1.8839166666666667
201603,1.8780000000000001
201604,1.8839166666666667
201605,1.8898333333333335
201606,1.89575
201607,1.9016666666666668
201608,1.9075833333333334
201609,1.9135
201610,1.9194166666666668
201611,1.9253333333333333
201612,1.9312500000000001
201701,1.9371666666666667
201702,1.9430833333333335
201703,1.949
201704,1.94425
201705,1.9395
201706,1.93475
201707,1.93
201708,1.92525
201709,1.9205
201710,1.91575
201711,1.911
201712,1.90625
201801,1.9015
201802,1.89675
201803,1.892
201804,1.8959166666666665
201805,1.8998333333333333
201806,1.90375
201807,1.9076666666666666
201808,1.9115833333333332
201809,1.9155
201810,1.9194166666666668
201811,1.9233333333333333
201812,1.92725
201901,1.9311666666666667
201902,1.9350833333333335
201903,1.939
201904,1.9394166666666668
201905,1.9398333333333333
201906,1.94025
201907,1.9406666666666668
201908,1.9410833333333333
201909,1.9415
201910,1.9419166666666667
201911,1.9423333333333332
201912,1.94275
202001,1.9431666666666667
202002,1.9435833333333332
202003,1.944
202004,1.9359166666666665
202005,1.9278333333333333
202006,1.91975
202007,1.9116666666666666
202008,1.9035833333333332
202009,1.8955
202010,1.8874166666666667
202011,1.8793333333333333
202012,1.8712499999999999
202101,1.8631666666666666
202102,1.8550833333333334
202103,1.847
