MonthYear,GPI_score
200803,2.006
200804,2.009833333333333
200805,2.0136666666666665
200806,2.0175
200807,2.021333333333333
200808,2.0251666666666663
200809,2.029
200810,2.0328333333333335
200811,2.0366666666666666
200812,2.0404999999999998
200901,2.0443333333333333
200902,2.048166666666667
200903,2.052
200904,2.0488333333333335
200905,2.0456666666666665
200906,2.0425
200907,2.0393333333333334
200908,2.036166666666667
200909,2.0330000000000004
200910,2.0298333333333334
200911,2.026666666666667
200912,2.0235000000000003
201001,2.0203333333333333
201002,2.0171666666666668
201003,2.0140000000000002
201004,2.009666666666667
201005,2.0053333333333336
201006,2.0010000000000003
201007,1.9966666666666668
201008,1.9923333333333335
201009,1.988
201010,1.9836666666666667
201011,1.9793333333333334
201012,1.975
201101,1.9706666666666668
201102,1.9663333333333333
201103,1.962
201104,1.9649166666666666
201105,1.9678333333333333
201106,1.97075
201107,1.9736666666666667
201108,1.9765833333333334
201109,1.9794999999999998
201110,1.9824166666666665
201111,1.9853333333333332
201112,1.9882499999999999
201201,1.9911666666666665
201202,1.9940833333333332
201203,1.9969999999999999
201204,2.004
201205,2.011
201206,2.018
201207,2.025
201208,2.032
201209,2.0389999999999997
201210,2.046
201211,2.053
201212,2.06
201301,2.067
201302,2.074
201303,2.081
201304,2.0797499999999998
201305,2.0785
201306,2.07725
201307,2.076
201308,2.07475
201309,2.0735
201310,2.07225
201311,2.0709999999999997
201312,2.06975
201401,2.0685
201402,2.06725
201403,2.066
201404,2.0639166666666666
201405,2.0618333333333334
201406,2.0597499999999997
201407,2.0576666666666665
201408,2.0555833333333333
201409,2.0534999999999997
201410,2.0514166666666664
201411,2.0493333333333332
201412,2.04725
201501,2.045166666666667
201502,2.043083333333333
201503,2.041
201504,2.0474166666666664
201505,2.0538333333333334
201506,2.06025
201507,2.066666666666667
201508,2.0730833333333334
201509,2.0795000000000003
201510,2.085916666666667
201511,2.0923333333333334
201512,2.0987500000000003
201601,2.105166666666667
201602,2.111583333333334
201603,2.1180000000000003
201604,2.118916666666667
201605,2.1198333333333337
201606,2.12075
201607,2.121666666666667
201608,2.1225833333333335
201609,2.1235
201610,2.124416666666667
201611,2.1253333333333333
201612,2.12625
201701,2.1271666666666667
201702,2.1280833333333335
201703,2.129
201704,2.12325
201705,2.1175
201706,2.11175
201707,2.106
201708,2.10025
201709,2.0945
201710,2.08875
201711,2.083
201712,2.0772500000000003
201801,2.0715
201802,2.06575
201803,2.06
201804,2.0494166666666667
201805,2.0388333333333333
201806,2.02825
201807,2.017666666666667
201808,2.0070833333333336
201809,1.9965000000000002
201810,1.9859166666666668
201811,1.9753333333333334
201812,1.96475
201901,1.9541666666666666
201902,1.9435833333333334
201903,1.933
201904,1.93025
201905,1.9275
201906,1.92475
201907,1.922
201908,1.91925
201909,1.9165
201910,1.91375
201911,1.911
201912,1.90825
202001,1.9055
202002,1.90275
202003,1.9
202004,1.887
202005,1.8739999999999999
202006,1.861
202007,1.8479999999999999
202008,1.835
202009,1.822
202010,1.809
202011,1.796
202012,1.783
202101,1.77
202102,1.7570000000000001
202103,1.744
