MonthYear,GPI_score
200803,2.2569999999999997
200804,2.2636666666666665
200805,2.270333333333333
200806,2.2769999999999997
200807,2.2836666666666665
200808,2.290333333333333
200809,2.2969999999999997
200810,2.3036666666666665
200811,2.310333333333333
200812,2.3169999999999997
200901,2.3236666666666665
200902,2.330333333333333
200903,2.3369999999999997
200904,2.335583333333333
200905,2.3341666666666665
200906,2.33275
200907,2.3313333333333333
200908,2.3299166666666666
200909,2.3285
200910,2.327083333333333
200911,2.3256666666666663
200912,2.3242499999999997
201001,2.322833333333333
201002,2.3214166666666665
201003,2.32
201004,2.3169999999999997
201005,2.314
201006,2.311
201007,2.308
201008,2.305
201009,2.302
201010,2.299
201011,2.2960000000000003
201012,2.293
201101,2.29
201102,2.2870000000000004
201103,2.2840000000000003
201104,2.2845000000000004
201105,2.285
201106,2.2855000000000003
201107,2.286
201108,2.2865
201109,2.287
201110,2.2875
201111,2.2880000000000003
201112,2.2885
201201,2.289
201202,2.2895
201203,2.29
201204,2.289416666666667
201205,2.2888333333333333
201206,2.28825
201207,2.2876666666666665
201208,2.2870833333333334
201209,2.2865
201210,2.2859166666666666
201211,2.2853333333333334
201212,2.28475
201301,2.2841666666666667
201302,2.283583333333333
201303,2.283
201304,2.281833333333333
201305,2.280666666666667
201306,2.2795
201307,2.2783333333333333
201308,2.2771666666666666
201309,2.276
201310,2.2748333333333335
201311,2.2736666666666667
201312,2.2725
201401,2.2713333333333336
201402,2.270166666666667
201403,2.269
201404,2.267916666666667
201405,2.2668333333333335
201406,2.26575
201407,2.264666666666667
201408,2.2635833333333335
201409,2.2625
201410,2.2614166666666664
201411,2.260333333333333
201412,2.2592499999999998
201501,2.2581666666666664
201502,2.257083333333333
201503,2.256
201504,2.251583333333333
201505,2.2471666666666668
201506,2.24275
201507,2.2383333333333333
201508,2.2339166666666666
201509,2.2295
201510,2.2250833333333335
201511,2.220666666666667
201512,2.21625
201601,2.2118333333333338
201602,2.207416666666667
201603,2.2030000000000003
201604,2.212
201605,2.221
201606,2.2300000000000004
201607,2.2390000000000003
201608,2.248
201609,2.257
201610,2.266
201611,2.275
201612,2.284
201701,2.293
201702,2.302
201703,2.311
201704,2.31275
201705,2.3145
201706,2.31625
201707,2.318
201708,2.31975
201709,2.3215
201710,2.32325
201711,2.3249999999999997
201712,2.3267499999999997
201801,2.3285
201802,2.33025
201803,2.332
201804,2.3377499999999998
201805,2.3434999999999997
201806,2.3492499999999996
201807,2.355
201808,2.36075
201809,2.3665
201810,2.3722499999999997
201811,2.3779999999999997
201812,2.38375
201901,2.3895
201902,2.39525
201903,2.401
201904,2.3931666666666667
201905,2.385333333333333
201906,2.3775
201907,2.3696666666666664
201908,2.3618333333333332
201909,2.354
201910,2.3461666666666665
201911,2.3383333333333334
201912,2.3305
202001,2.3226666666666667
202002,2.314833333333333
202003,2.307
202004,2.3095
202005,2.312
202006,2.3145
202007,2.317
202008,2.3195
202009,2.322
202010,2.3245
202011,2.327
202012,2.3295000000000003
202101,2.3320000000000003
202102,2.3345000000000002
202103,2.337
