MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.367,2544,81,614,622,353,191,80,86,45,1.0,1528,49,32,71,8,91,74,3.0,2.0,378,75,11,73,2.0,55,1061,9.0,0.0,1.0,1042,57,1742,1602,10,37,668,184,1384,23,7.0,7.0,48,17.0,164,392,173,21,18,8,188,497,44,112,1.0,7,241,41,0.0,54,312,0.0,11,139,674,6,0.0,2.0,0.0,199,13,0.0,8.0,4,0.0,0.0,0.0,395,391,615,9.0,194,1.0,0.0,545,0.0,1.0,2.0,32,44,11.0,77,7,290,18,2.0,9.0,2.0,0.0,0.0,0.0,66,12,12,145,17.0,8,0.0,21.0,23,23.0,22.0,0.0,46,67,10,5.0,16,16,0.0,0.0,17,74,235,1307,92,21.0,245,82,287,14,0.0,1.0,43,1079,13,76,429,24,17,0.0,0.0,0.0,3.0
200804,1.369,2791,76,662,675,338,192,196,164,21,6.0,1791,49,28,58,8,86,79,7.0,0.0,400,126,14,92,0.0,58,1283,10.0,0.0,1.0,1114,75,2070,1761,16,48,723,165,1506,48,4.0,4.0,41,2.0,268,447,87,33,1,2,242,457,53,73,5.0,7,287,46,3.0,78,303,1.0,14,133,691,11,0.0,0.0,0.0,261,22,0.0,2.0,10,11.0,2.0,0.0,429,387,606,1.0,153,5.0,0.0,658,1.0,6.0,0.0,18,31,9.0,96,6,286,18,0.0,23.0,1.0,0.0,0.0,0.0,84,5,16,120,0.0,8,6.0,4.0,10,0.0,2.0,6.0,26,77,15,2.0,38,9,0.0,1.0,9,52,313,988,42,19.0,170,17,143,4,0.0,11.0,38,1196,17,95,296,16,19,0.0,3.0,1.0,5.0
200805,1.371,3129,103,750,765,332,209,183,111,50,5.0,1872,46,29,97,7,53,82,5.0,6.0,396,124,24,103,4.0,50,1171,4.0,0.0,5.0,1087,66,1793,1647,20,20,675,181,1466,33,1.0,0.0,40,2.0,180,483,167,26,7,14,311,714,29,170,0.0,10,337,62,0.0,70,320,0.0,9,115,702,8,0.0,2.0,0.0,273,22,0.0,1.0,25,7.0,0.0,0.0,492,971,835,1.0,128,0.0,1.0,793,0.0,6.0,13.0,48,47,5.0,88,10,314,4,0.0,16.0,0.0,0.0,0.0,1.0,94,15,18,128,3.0,36,1.0,5.0,10,3.0,9.0,4.0,17,105,12,4.0,17,17,0.0,3.0,12,75,297,1248,119,19.0,233,32,155,22,0.0,4.0,42,1456,2,83,358,21,12,0.0,0.0,3.0,0.0
200806,1.3730000000000002,3471,92,832,858,417,223,146,137,51,1.0,2273,69,23,81,2,86,122,3.0,5.0,453,127,18,113,1.0,100,1649,8.0,1.0,11.0,1542,64,2165,2031,36,42,1028,289,1727,39,10.0,15.0,79,10.0,206,519,212,9,3,15,280,576,87,123,0.0,22,362,56,3.0,79,374,0.0,10,239,911,9,0.0,0.0,0.0,332,14,0.0,0.0,24,1.0,0.0,0.0,537,765,1001,1.0,132,9.0,0.0,705,0.0,14.0,3.0,44,74,5.0,158,5,351,37,0.0,10.0,0.0,0.0,0.0,0.0,101,36,8,175,0.0,11,3.0,4.0,10,0.0,6.0,14.0,44,160,17,10.0,30,36,0.0,8.0,9,57,348,1428,60,11.0,156,27,157,23,0.0,0.0,27,1343,21,111,268,13,20,0.0,0.0,5.0,0.0
200807,1.375,3694,132,944,980,417,233,179,187,42,13.0,2319,59,36,52,7,82,104,9.0,7.0,611,104,16,101,3.0,118,1992,15.0,0.0,3.0,1752,39,3331,3188,35,79,1116,375,2075,44,8.0,19.0,173,7.0,240,495,177,49,14,23,379,535,45,117,4.0,5,402,90,10.0,106,604,0.0,6,159,974,16,0.0,2.0,0.0,389,20,0.0,8.0,28,13.0,0.0,0.0,594,516,962,6.0,237,1.0,0.0,675,0.0,13.0,0.0,47,73,5.0,77,17,352,7,0.0,34.0,0.0,0.0,0.0,0.0,108,20,38,208,1.0,7,1.0,5.0,22,6.0,3.0,4.0,31,117,10,16.0,28,50,0.0,6.0,2,87,297,1573,76,17.0,257,52,185,31,0.0,2.0,20,1284,16,107,278,87,21,0.0,0.0,1.0,5.0
200808,1.3769999999999998,2842,92,743,653,351,187,132,97,19,0.0,1638,39,21,60,10,51,68,5.0,0.0,374,95,21,91,1.0,87,1012,3.0,2.0,1.0,995,38,1870,1661,19,32,517,214,1409,39,2.0,5.0,49,5.0,176,344,111,14,7,5,283,450,23,157,4.0,9,313,82,1.0,101,327,1.0,1,81,815,19,0.0,0.0,0.0,273,17,0.0,2.0,28,5.0,4.0,0.0,406,560,688,3.0,126,2.0,0.0,606,0.0,4.0,1.0,37,58,12.0,77,3,299,6,2.0,8.0,0.0,0.0,6.0,0.0,85,7,4,99,0.0,13,4.0,3.0,10,4.0,11.0,0.0,17,92,18,14.0,15,13,0.0,9.0,4,73,293,1002,41,13.0,202,96,130,9,0.0,0.0,20,1039,9,106,185,16,37,0.0,0.0,0.0,0.0
200809,1.379,2458,77,658,558,331,154,195,88,31,6.0,1374,23,23,45,4,67,39,4.0,0.0,352,141,22,52,0.0,96,890,3.0,2.0,0.0,824,41,1581,1377,8,18,485,190,1183,17,3.0,18.0,54,2.0,139,323,178,34,2,7,189,592,40,142,0.0,7,252,47,0.0,148,257,2.0,7,97,692,13,0.0,0.0,0.0,273,13,0.0,0.0,25,9.0,1.0,0.0,434,339,610,0.0,110,2.0,0.0,533,2.0,111.0,0.0,18,49,1.0,87,6,257,23,1.0,3.0,1.0,0.0,0.0,0.0,63,9,16,84,0.0,11,3.0,7.0,7,0.0,3.0,2.0,22,51,4,6.0,8,13,0.0,2.0,3,76,234,1181,34,17.0,315,24,121,20,0.0,5.0,12,1088,7,123,219,9,20,0.0,0.0,2.0,2.0
200810,1.381,3743,102,1023,924,462,263,256,108,45,9.0,2347,62,35,97,12,83,111,6.0,6.0,458,123,34,146,0.0,95,1394,9.0,0.0,2.0,1524,65,2484,2167,24,33,710,236,1609,32,1.0,11.0,57,1.0,151,435,122,37,4,8,285,974,59,195,2.0,5,381,140,0.0,86,426,1.0,7,149,1140,6,3.0,0.0,0.0,373,57,0.0,6.0,5,24.0,0.0,0.0,563,621,1056,3.0,228,2.0,0.0,771,2.0,13.0,3.0,47,37,6.0,103,7,451,14,0.0,1.0,7.0,0.0,1.0,0.0,83,18,20,141,0.0,24,6.0,6.0,13,0.0,4.0,0.0,28,112,33,16.0,19,15,0.0,5.0,11,121,346,1556,26,9.0,398,22,170,25,0.0,0.0,41,1299,13,171,337,28,63,0.0,0.0,3.0,0.0
200811,1.383,3256,100,866,762,468,216,154,275,65,5.0,2310,32,34,70,12,45,69,6.0,5.0,513,111,23,81,0.0,84,1290,4.0,1.0,0.0,1679,183,2215,1964,3,20,695,353,1887,25,8.0,8.0,50,0.0,124,563,94,22,5,5,289,859,60,223,2.0,12,320,107,4.0,130,420,4.0,3,122,955,8,2.0,0.0,0.0,271,18,0.0,0.0,18,8.0,2.0,0.0,508,585,966,2.0,148,8.0,0.0,722,1.0,16.0,1.0,19,48,7.0,115,3,397,7,0.0,5.0,3.0,0.0,0.0,0.0,175,18,15,104,12.0,12,0.0,16.0,14,5.0,6.0,2.0,21,145,23,7.0,13,24,0.0,5.0,22,71,291,1588,29,8.0,281,83,152,64,0.0,1.0,77,1700,9,115,391,40,43,0.0,1.0,2.0,0.0
200812,1.385,3063,77,897,780,481,170,171,153,34,9.0,2315,48,21,65,9,81,58,4.0,4.0,489,106,42,111,0.0,209,1186,13.0,0.0,2.0,1114,33,2440,2208,18,22,636,290,1706,26,2.0,2.0,77,3.0,307,456,130,39,9,6,290,723,40,326,0.0,19,387,80,2.0,119,515,0.0,8,115,787,14,2.0,3.0,0.0,336,24,0.0,14.0,13,19.0,1.0,3.0,509,525,707,6.0,157,0.0,0.0,853,2.0,4.0,2.0,32,36,8.0,106,4,463,15,0.0,18.0,2.0,0.0,0.0,0.0,117,5,15,144,0.0,11,10.0,11.0,13,10.0,3.0,5.0,44,145,16,5.0,13,18,0.0,10.0,13,101,609,1563,34,8.0,270,67,202,14,0.0,0.0,27,1525,45,155,585,37,46,0.0,0.0,6.0,0.0
