MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.494,393,11.0,79,116,11,5.0,15.0,21,2.0,0.0,243,17.0,7.0,3,8.0,9,32,5.0,0.0,111,9,2.0,19,0.0,12,264,2.0,0.0,0.0,410,1.0,357,341,13.0,2,301,83,176,3.0,0.0,4.0,9.0,0.0,134,61,20,0.0,1.0,0.0,52,29,1.0,11,2.0,0.0,26,3.0,0.0,14,78,0.0,2.0,4,97,4.0,0.0,0.0,0.0,32,0.0,0.0,0.0,2.0,9.0,0.0,0.0,31,65,97,2.0,21,0.0,0.0,66,0.0,0.0,0.0,4.0,16,0.0,0.0,2.0,4.0,31,7.0,0.0,0.0,0.0,0.0,5.0,6,1.0,9.0,33,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,15,5.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,81,140,7.0,20.0,5.0,32.0,25,0.0,0.0,0.0,4.0,144,1.0,18,17,9.0,0.0,0.0,0.0,0.0,0.0
200804,1.4948333333333332,280,1.0,58,84,38,8.0,15.0,13,1.0,0.0,278,4.0,7.0,3,2.0,1,10,1.0,0.0,50,6,21.0,5,0.0,2,193,2.0,0.0,2.0,323,9.0,328,308,10.0,2,159,45,114,1.0,4.0,0.0,2.0,0.0,65,32,19,1.0,0.0,0.0,55,21,4.0,4,0.0,1.0,36,4.0,0.0,15,61,0.0,0.0,8,40,0.0,0.0,0.0,0.0,36,2.0,0.0,0.0,1.0,2.0,0.0,0.0,59,42,33,2.0,17,1.0,0.0,47,0.0,0.0,0.0,8.0,5,0.0,0.0,2.0,10.0,48,0.0,0.0,1.0,0.0,0.0,0.0,8,0.0,0.0,19,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,27,7.0,5.0,7.0,3.0,0.0,0.0,4.0,1.0,78,38,3.0,0.0,4.0,5.0,5,1.0,0.0,0.0,2.0,72,0.0,4,19,2.0,0.0,0.0,0.0,2.0,0.0
200805,1.4956666666666667,357,10.0,75,114,28,13.0,16.0,6,14.0,1.0,293,2.0,10.0,11,1.0,5,25,1.0,1.0,94,3,5.0,30,0.0,4,149,18.0,0.0,1.0,337,12.0,267,268,26.0,33,271,61,156,3.0,1.0,1.0,1.0,0.0,156,46,30,0.0,0.0,0.0,81,57,8.0,12,0.0,1.0,34,9.0,1.0,10,23,1.0,6.0,15,73,0.0,0.0,0.0,3.0,52,6.0,0.0,0.0,11.0,9.0,0.0,0.0,28,87,112,0.0,15,3.0,0.0,64,0.0,0.0,1.0,3.0,9,0.0,0.0,8.0,17.0,59,1.0,0.0,11.0,0.0,1.0,0.0,12,2.0,0.0,37,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,11,40.0,1.0,4.0,8.0,0.0,0.0,1.0,1.0,28,225,2.0,1.0,10.0,21.0,54,4.0,0.0,0.0,4.0,114,0.0,10,3,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.4965,349,17.0,81,77,51,5.0,4.0,10,1.0,0.0,348,8.0,5.0,14,2.0,10,17,1.0,0.0,91,11,1.0,15,0.0,4,255,3.0,0.0,3.0,660,5.0,350,338,11.0,7,197,27,172,4.0,1.0,4.0,0.0,0.0,72,53,25,0.0,0.0,0.0,69,37,6.0,2,0.0,0.0,35,21.0,0.0,25,43,11.0,0.0,9,97,0.0,0.0,0.0,0.0,49,6.0,0.0,0.0,2.0,0.0,0.0,0.0,63,101,84,4.0,12,3.0,0.0,140,0.0,1.0,0.0,0.0,7,0.0,1.0,5.0,22.0,33,2.0,0.0,1.0,0.0,0.0,0.0,5,3.0,1.0,47,1.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,2.0,25,15.0,2.0,17.0,9.0,0.0,0.0,2.0,5.0,38,127,1.0,1.0,11.0,10.0,23,2.0,0.0,0.0,11.0,148,4.0,5,5,2.0,1.0,0.0,0.0,0.0,0.0
200807,1.4973333333333334,382,10.0,59,66,31,20.0,15.0,17,1.0,0.0,345,5.0,2.0,4,1.0,7,17,5.0,0.0,85,11,8.0,23,2.0,3,162,2.0,0.0,2.0,403,3.0,275,263,7.0,7,293,53,216,2.0,0.0,3.0,1.0,0.0,100,85,24,2.0,0.0,0.0,53,32,7.0,1,3.0,2.0,43,9.0,0.0,43,44,0.0,1.0,10,48,0.0,0.0,0.0,0.0,48,2.0,0.0,0.0,13.0,0.0,4.0,0.0,82,77,101,1.0,9,4.0,0.0,181,1.0,0.0,0.0,2.0,1,0.0,25.0,6.0,8.0,12,8.0,0.0,0.0,0.0,0.0,0.0,6,27.0,0.0,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,16,3.0,7.0,4.0,4.0,0.0,0.0,1.0,5.0,43,109,11.0,0.0,8.0,10.0,3,4.0,0.0,0.0,0.0,92,0.0,2,9,3.0,0.0,0.0,0.0,0.0,0.0
200808,1.4981666666666666,285,5.0,56,91,58,0.0,2.0,6,8.0,0.0,163,0.0,0.0,4,0.0,16,32,1.0,3.0,62,6,4.0,13,0.0,9,319,0.0,0.0,0.0,539,9.0,280,302,11.0,8,319,35,106,1.0,0.0,2.0,0.0,0.0,24,47,14,4.0,0.0,0.0,71,20,6.0,11,2.0,0.0,15,1.0,0.0,10,9,0.0,2.0,14,49,0.0,0.0,0.0,0.0,31,1.0,1.0,0.0,5.0,1.0,0.0,0.0,37,81,38,0.0,5,0.0,0.0,33,0.0,0.0,0.0,2.0,6,0.0,5.0,0.0,2.0,41,6.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15,13.0,2.0,6.0,4.0,0.0,0.0,0.0,6.0,9,35,5.0,0.0,1.0,8.0,4,0.0,0.0,0.0,1.0,75,0.0,10,7,0.0,0.0,0.0,0.0,0.0,2.0
200809,1.499,276,17.0,71,102,17,6.0,5.0,3,11.0,0.0,208,2.0,1.0,8,1.0,6,13,0.0,0.0,202,7,2.0,22,2.0,11,171,6.0,0.0,0.0,360,20.0,205,213,36.0,3,292,45,168,1.0,0.0,6.0,0.0,0.0,26,49,20,4.0,0.0,0.0,53,63,6.0,88,1.0,0.0,22,4.0,0.0,23,13,1.0,1.0,11,80,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22,43,42,0.0,3,0.0,0.0,58,0.0,1.0,0.0,5.0,5,0.0,4.0,5.0,1.0,32,1.0,0.0,0.0,0.0,0.0,1.0,2,4.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,13,8.0,3.0,7.0,5.0,0.0,0.0,0.0,4.0,33,44,5.0,1.0,0.0,4.0,5,0.0,0.0,0.0,2.0,76,0.0,15,6,4.0,0.0,0.0,0.0,0.0,0.0
200810,1.4998333333333334,412,17.0,115,118,47,5.0,10.0,7,1.0,0.0,360,2.0,4.0,15,1.0,6,35,4.0,2.0,107,13,3.0,67,0.0,4,383,8.0,8.0,0.0,482,16.0,381,357,44.0,8,240,82,193,3.0,0.0,2.0,0.0,0.0,70,120,51,3.0,2.0,0.0,92,71,9.0,85,1.0,0.0,39,2.0,0.0,11,37,0.0,2.0,14,56,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,5.0,0.0,0.0,0.0,50,71,67,0.0,10,0.0,0.0,66,1.0,4.0,0.0,2.0,2,0.0,0.0,5.0,16.0,46,1.0,0.0,2.0,0.0,0.0,0.0,3,5.0,1.0,13,0.0,1.0,0.0,5.0,5.0,0.0,0.0,5.0,8.0,13,1.0,0.0,2.0,5.0,0.0,0.0,1.0,5.0,30,61,0.0,0.0,5.0,0.0,13,0.0,0.0,0.0,2.0,86,0.0,47,3,1.0,1.0,0.0,0.0,0.0,1.0
200811,1.5006666666666666,370,7.0,73,79,51,4.0,3.0,20,9.0,8.0,340,2.0,4.0,38,0.0,22,25,1.0,0.0,91,4,0.0,37,0.0,3,403,2.0,2.0,0.0,451,21.0,361,361,6.0,9,311,62,156,6.0,0.0,0.0,4.0,2.0,137,58,18,13.0,0.0,0.0,85,99,14.0,16,8.0,2.0,27,25.0,1.0,2,67,0.0,17.0,29,75,0.0,0.0,0.0,0.0,36,0.0,2.0,0.0,7.0,0.0,0.0,0.0,54,86,94,3.0,3,3.0,0.0,81,0.0,4.0,0.0,4.0,14,0.0,3.0,3.0,8.0,37,5.0,0.0,1.0,0.0,0.0,0.0,21,1.0,1.0,26,0.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,7.0,14,24.0,8.0,1.0,35.0,0.0,1.0,0.0,8.0,64,64,4.0,2.0,10.0,43.0,12,1.0,0.0,0.0,7.0,194,0.0,12,23,9.0,0.0,0.0,0.0,0.0,0.0
200812,1.5015,515,7.0,91,133,72,4.0,10.0,7,12.0,2.0,448,7.0,7.0,26,5.0,10,31,4.0,1.0,268,11,10.0,57,0.0,15,328,2.0,2.0,2.0,692,17.0,489,461,9.0,34,426,141,230,2.0,0.0,1.0,2.0,0.0,92,131,21,3.0,0.0,1.0,71,51,19.0,34,5.0,3.0,54,30.0,0.0,108,65,0.0,10.0,16,105,0.0,0.0,0.0,0.0,63,1.0,0.0,0.0,14.0,1.0,0.0,0.0,56,102,137,2.0,36,0.0,0.0,207,0.0,3.0,0.0,7.0,7,0.0,10.0,1.0,43.0,62,1.0,0.0,0.0,1.0,0.0,1.0,16,7.0,0.0,15,6.0,0.0,1.0,6.0,2.0,0.0,4.0,0.0,16.0,18,12.0,2.0,7.0,14.0,0.0,0.0,1.0,16.0,66,229,8.0,4.0,16.0,5.0,7,6.0,0.0,0.0,3.0,229,0.0,10,29,8.0,4.0,0.0,0.0,0.0,0.0
