MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_103,event_count_104,event_count_105,event_count_106,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_202,event_count_203
200803,2.244,604,3.0,68,128,21.0,12.0,74.0,10.0,2.0,2.0,223,9.0,5.0,10.0,0.0,13.0,21.0,9.0,0.0,145,24.0,10.0,26.0,0.0,20.0,100,8.0,29.0,10.0,412,0.0,260,261,3.0,4.0,244,188.0,187,5.0,3.0,2.0,13.0,1.0,10,100,10.0,18.0,0.0,3.0,77.0,39.0,276.0,69.0,2.0,7.0,47.0,3.0,0.0,0.0,85,0.0,53.0,10.0,107.0,0.0,0.0,3.0,0.0,30.0,19.0,0.0,5.0,0.0,0.0,105,213,293,9.0,70.0,0.0,0.0,116,0.0,1.0,0.0,5.0,0.0,1.0,10.0,0.0,102,0.0,0.0,5.0,0.0,1.0,2.0,47.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,20.0,186.0,10.0,374.0,0.0,0.0,13.0,0.0,1.0,4.0,11.0,79,49.0,0.0,27.0,20.0,6.0,12.0,0.0,2.0,801,11.0,108.0,21.0,15.0,22.0,1.0,0.0
200804,2.2470000000000003,302,3.0,14,18,12.0,0.0,8.0,0.0,10.0,15.0,98,4.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,12,0.0,0.0,4.0,0.0,1.0,91,0.0,0.0,0.0,188,1.0,81,105,8.0,0.0,120,51.0,108,1.0,0.0,0.0,2.0,0.0,21,56,11.0,2.0,0.0,2.0,15.0,9.0,20.0,10.0,0.0,0.0,9.0,0.0,0.0,15.0,17,0.0,11.0,2.0,22.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,2.0,2.0,0.0,18,32,54,0.0,12.0,6.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,9.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,22,0.0,0.0,4.0,7.0,8.0,0.0,0.0,0.0,185,5.0,8.0,9.0,1.0,0.0,0.0,0.0
200805,2.25,276,0.0,8,14,40.0,1.0,11.0,0.0,0.0,0.0,83,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22,7.0,0.0,0.0,0.0,1.0,41,0.0,0.0,3.0,76,2.0,66,58,0.0,7.0,100,18.0,35,0.0,0.0,0.0,3.0,0.0,19,25,0.0,1.0,0.0,4.0,5.0,1.0,13.0,8.0,0.0,8.0,10.0,14.0,0.0,6.0,3,0.0,4.0,4.0,35.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,21,8,50,0.0,2.0,4.0,0.0,31,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,12,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,42.0,0.0,1.0,3.0,0.0,0.0,7.0,6.0,39,8.0,1.0,2.0,11.0,0.0,5.0,0.0,0.0,124,0.0,12.0,6.0,2.0,4.0,0.0,0.0
200806,2.253,254,0.0,1,3,7.0,0.0,2.0,0.0,0.0,0.0,66,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,21,0.0,0.0,2.0,0.0,3.0,25,0.0,0.0,0.0,87,0.0,46,42,2.0,6.0,52,85.0,34,2.0,0.0,0.0,0.0,2.0,13,14,2.0,1.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,10.0,20.0,0.0,0.0,0.0,4,0.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9,6,35,3.0,2.0,2.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,16,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,55,0.0,8.0,3.0,0.0,0.0,0.0,0.0
200807,2.256,247,0.0,10,18,14.0,1.0,10.0,0.0,0.0,0.0,88,2.0,2.0,1.0,0.0,1.0,3.0,7.0,0.0,16,15.0,0.0,6.0,0.0,0.0,36,0.0,0.0,0.0,88,0.0,59,53,0.0,0.0,117,41.0,62,0.0,0.0,0.0,0.0,1.0,27,59,5.0,0.0,1.0,1.0,11.0,10.0,9.0,9.0,0.0,1.0,23.0,1.0,0.0,39.0,22,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15,8,34,0.0,5.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,20,7.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,92,0.0,30.0,3.0,0.0,0.0,0.0,0.0
200808,2.259,165,0.0,5,9,4.0,0.0,0.0,2.0,0.0,2.0,46,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,3,2.0,0.0,0.0,0.0,0.0,13,0.0,2.0,0.0,29,2.0,39,40,0.0,0.0,17,36.0,31,0.0,0.0,0.0,1.0,0.0,26,12,4.0,1.0,0.0,6.0,4.0,4.0,2.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,3,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,7,5,0.0,10.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12,0.0,1.0,3.0,0.0,6.0,0.0,0.0
200809,2.262,248,0.0,19,17,22.0,0.0,3.0,1.0,0.0,0.0,73,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,13,2.0,0.0,4.0,0.0,1.0,11,0.0,0.0,0.0,40,0.0,58,58,2.0,5.0,222,3.0,24,0.0,0.0,0.0,0.0,0.0,34,120,2.0,0.0,0.0,0.0,9.0,7.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,7.0,13,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,2.0,0.0,15,8,18,0.0,9.0,1.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17,0.0,0.0,0.0,2.0,0.0,0.0,0.0
200810,2.265,296,0.0,8,5,1.0,0.0,6.0,3.0,1.0,0.0,63,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,4.0,0.0,2.0,33,0.0,0.0,0.0,82,0.0,45,42,0.0,0.0,50,12.0,21,0.0,0.0,0.0,0.0,0.0,10,133,9.0,1.0,0.0,0.0,14.0,9.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,5.0,1,0.0,0.0,4.0,21.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9,7,30,1.0,5.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,7,7.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,31,0.0,2.0,0.0,0.0,1.0,0.0,0.0
200811,2.2680000000000002,309,0.0,19,10,28.0,1.0,1.0,1.0,4.0,0.0,66,0.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,22,5.0,0.0,6.0,0.0,0.0,159,0.0,0.0,0.0,188,6.0,88,84,0.0,0.0,25,18.0,24,1.0,0.0,1.0,0.0,1.0,9,148,6.0,1.0,0.0,0.0,9.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,3,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6,7,29,0.0,4.0,10.0,0.0,22,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.0,0.0,9.0,0.0,10.0,1.0,0.0,0.0,26,0.0,5.0,0.0,0.0,0.0,0.0,0.0
200812,2.271,382,2.0,2,14,7.0,0.0,0.0,3.0,0.0,0.0,91,0.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,37,8.0,0.0,2.0,2.0,0.0,52,0.0,0.0,0.0,82,0.0,53,57,2.0,5.0,22,22.0,42,0.0,0.0,0.0,0.0,0.0,41,114,3.0,2.0,0.0,0.0,9.0,24.0,0.0,1.0,0.0,0.0,13.0,4.0,0.0,14.0,2,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14,4,19,0.0,12.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,27,6.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,38,0.0,5.0,1.0,0.0,0.0,0.0,0.0
200901,2.274,819,3.0,12,13,12.0,3.0,4.0,8.0,1.0,0.0,124,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,11,1.0,0.0,0.0,0.0,0.0,18,4.0,0.0,0.0,191,3.0,78,80,1.0,0.0,128,22.0,87,1.0,3.0,3.0,0.0,0.0,34,119,1.0,2.0,0.0,0.0,16.0,24.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,2.0,12,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,25,24,22,4.0,5.0,1.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.0,5,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,40,1.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,52,0.0,0.0,19.0,0.0,3.0,0.0,0.0
200902,2.277,686,1.0,20,21,33.0,0.0,11.0,1.0,0.0,0.0,101,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,26,16.0,0.0,6.0,0.0,12.0,76,0.0,0.0,0.0,189,0.0,169,95,0.0,0.0,126,43.0,52,2.0,0.0,0.0,5.0,0.0,16,50,30.0,2.0,0.0,0.0,12.0,30.0,1.0,2.0,0.0,3.0,13.0,1.0,0.0,8.0,9,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,15,26,98,0.0,11.0,3.0,0.0,32,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.0,9,4.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,6.0,2.0,1.0,0.0,0.0,3.0,10.0,24,62.0,1.0,9.0,2.0,6.0,0.0,0.0,0.0,59,0.0,3.0,21.0,0.0,0.0,0.0,0.0
200903,2.28,584,2.0,13,20,8.0,0.0,1.0,7.0,1.0,0.0,112,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,10,5.0,2.0,1.0,0.0,1.0,80,0.0,0.0,0.0,116,0.0,103,87,0.0,1.0,77,48.0,70,4.0,0.0,3.0,1.0,0.0,7,79,12.0,2.0,0.0,1.0,14.0,28.0,1.0,27.0,0.0,3.0,18.0,4.0,0.0,0.0,3,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12,11,30,0.0,2.0,0.0,0.0,10,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,17,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82,0.0,1.0,1.0,1.0,8.0,0.0,0.0
200904,2.2746666666666666,659,6.0,8,29,23.0,0.0,4.0,2.0,0.0,0.0,79,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,23,1.0,0.0,3.0,2.0,5.0,40,0.0,0.0,0.0,198,0.0,85,73,0.0,0.0,94,39.0,81,0.0,0.0,0.0,1.0,0.0,19,37,7.0,0.0,0.0,0.0,10.0,25.0,0.0,1.0,0.0,3.0,21.0,5.0,0.0,0.0,18,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9,5,29,0.0,11.0,3.0,0.0,22,0.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,44.0,23,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,29,0.0,3.0,1.0,0.0,0.0,0.0,0.0
200905,2.269333333333333,751,0.0,31,15,10.0,0.0,0.0,3.0,3.0,0.0,109,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,67,0.0,0.0,3.0,0.0,0.0,83,1.0,0.0,0.0,163,2.0,95,92,6.0,0.0,130,14.0,81,3.0,0.0,0.0,0.0,0.0,22,41,14.0,0.0,0.0,0.0,7.0,16.0,1.0,2.0,0.0,0.0,10.0,12.0,0.0,6.0,8,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,13,6,19,0.0,6.0,0.0,0.0,23,0.0,0.0,0.0,0.0,1.0,6.0,4.0,5.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,26,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,63,0.0,3.0,0.0,0.0,0.0,0.0,0.0
200906,2.2640000000000002,550,4.0,5,28,6.0,1.0,2.0,3.0,0.0,0.0,104,1.0,0.0,3.0,0.0,1.0,10.0,0.0,0.0,11,9.0,0.0,0.0,0.0,1.0,31,2.0,1.0,0.0,98,0.0,48,43,0.0,0.0,60,13.0,81,0.0,0.0,0.0,0.0,0.0,36,30,11.0,0.0,0.0,0.0,8.0,16.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,6,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,17,9,34,0.0,1.0,1.0,0.0,17,0.0,0.0,5.0,2.0,0.0,1.0,3.0,5.0,3,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,12.0,0.0,0.0,2.0,0.0,3.0,4.0,24.0,14,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,36,0.0,3.0,2.0,0.0,0.0,0.0,0.0
200907,2.2586666666666666,85,2.0,16,24,9.0,7.0,15.0,0.0,0.0,0.0,46,8.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,36,9.0,1.0,2.0,0.0,0.0,28,1.0,1.0,0.0,37,0.0,67,72,1.0,0.0,83,69.0,29,0.0,4.0,0.0,0.0,0.0,20,31,9.0,0.0,0.0,0.0,29.0,25.0,0.0,9.0,0.0,4.0,9.0,0.0,0.0,0.0,3,0.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15,20,133,0.0,6.0,0.0,0.0,15,0.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47,1.0,3.0,2.0,1.0,0.0,0.0,0.0
