MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.153,797,13,102,133,59,27,17,11,5.0,1.0,367,7.0,7,19,2.0,4,22,0.0,0.0,99,56,2.0,14,0.0,2,314,1.0,0.0,6.0,492,18,416,388,20.0,6,350,67,283,4.0,0.0,0.0,5.0,0.0,55,211,32,6.0,8,1.0,95,52,36,13,0.0,1.0,77,6,0.0,20.0,94,0.0,7.0,12,161,0.0,3.0,0.0,0.0,51,6.0,0.0,0.0,4.0,1.0,0.0,0.0,103,114,152,1.0,39,2.0,0.0,146,0.0,1.0,0.0,15.0,2,0.0,9.0,12.0,4.0,94,6.0,0.0,0.0,0.0,0.0,0.0,28,1.0,3.0,30,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,14,31,6.0,0.0,24.0,8.0,0.0,0.0,24.0,20,64,457,16,2.0,40,13,20,5.0,0.0,0.0,8,384,11.0,41,152,2.0,3.0,0.0,0.0,2.0,0.0
200804,2.1600833333333336,1024,23,131,131,77,22,13,14,2.0,0.0,375,18.0,5,22,6.0,19,26,3.0,9.0,128,20,1.0,19,0.0,7,293,40.0,0.0,0.0,623,12,509,506,90.0,16,422,124,305,7.0,0.0,7.0,3.0,6.0,82,178,63,9.0,20,11.0,111,114,44,40,0.0,10.0,139,19,0.0,0.0,111,0.0,3.0,35,135,0.0,1.0,0.0,0.0,54,0.0,0.0,0.0,4.0,4.0,0.0,3.0,64,48,219,1.0,38,6.0,0.0,168,0.0,0.0,0.0,3.0,12,0.0,1.0,2.0,1.0,57,0.0,0.0,6.0,0.0,0.0,0.0,8,2.0,12.0,84,3.0,6.0,2.0,0.0,7.0,0.0,5.0,2.0,25,18,12.0,1.0,9.0,10.0,0.0,0.0,4.0,30,75,625,34,1.0,23,12,55,0.0,0.0,3.0,33,415,14.0,54,123,1.0,5.0,0.0,0.0,0.0,0.0
200805,2.1671666666666667,829,23,83,117,48,35,16,26,15.0,1.0,405,5.0,3,55,3.0,17,21,1.0,0.0,107,51,3.0,15,0.0,24,204,0.0,0.0,0.0,334,17,621,591,9.0,4,393,45,313,6.0,0.0,0.0,0.0,0.0,43,207,64,11.0,3,6.0,87,120,78,36,0.0,15.0,85,12,0.0,9.0,136,0.0,0.0,17,144,8.0,0.0,0.0,0.0,56,0.0,0.0,0.0,2.0,3.0,0.0,0.0,67,103,194,0.0,58,8.0,0.0,112,0.0,0.0,0.0,5.0,3,0.0,0.0,15.0,1.0,71,0.0,0.0,5.0,0.0,0.0,0.0,29,0.0,5.0,25,0.0,4.0,0.0,3.0,8.0,0.0,0.0,9.0,34,14,2.0,9.0,1.0,3.0,0.0,4.0,21.0,10,46,421,7,0.0,62,26,42,2.0,0.0,1.0,34,887,2.0,60,423,5.0,1.0,0.0,0.0,5.0,0.0
200806,2.17425,986,13,84,139,91,32,19,7,1.0,2.0,371,16.0,6,16,0.0,1,20,0.0,0.0,81,35,4.0,17,0.0,4,206,0.0,0.0,0.0,442,13,499,462,0.0,2,340,64,298,6.0,1.0,0.0,11.0,1.0,52,244,97,2.0,10,0.0,93,75,36,39,0.0,3.0,88,6,0.0,25.0,116,5.0,7.0,10,209,5.0,2.0,0.0,0.0,46,12.0,0.0,0.0,3.0,0.0,0.0,0.0,78,112,233,0.0,69,5.0,0.0,125,0.0,5.0,7.0,12.0,5,0.0,7.0,4.0,7.0,60,4.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.0,22,0.0,0.0,1.0,6.0,18.0,3.0,0.0,0.0,43,19,0.0,3.0,2.0,0.0,0.0,6.0,13.0,17,69,340,26,4.0,32,20,15,1.0,0.0,0.0,27,603,6.0,29,245,0.0,0.0,0.0,0.0,0.0,0.0
200807,2.1813333333333333,1066,18,104,145,53,53,33,21,5.0,0.0,471,25.0,8,10,3.0,24,11,0.0,0.0,88,26,1.0,51,0.0,11,366,8.0,0.0,2.0,377,7,707,633,21.0,7,574,43,410,4.0,1.0,1.0,2.0,0.0,42,346,86,1.0,17,0.0,185,62,52,47,8.0,21.0,116,10,0.0,10.0,203,0.0,0.0,14,187,6.0,0.0,0.0,0.0,74,0.0,0.0,1.0,1.0,6.0,0.0,0.0,74,104,245,1.0,23,2.0,0.0,150,0.0,0.0,1.0,12.0,4,0.0,5.0,4.0,13.0,71,8.0,0.0,0.0,2.0,0.0,0.0,9,2.0,2.0,25,0.0,0.0,0.0,2.0,6.0,1.0,16.0,13.0,54,49,4.0,1.0,1.0,8.0,0.0,29.0,4.0,14,57,268,31,0.0,49,122,71,1.0,0.0,0.0,20,553,1.0,44,318,4.0,0.0,0.0,0.0,3.0,0.0
200808,2.188416666666667,842,14,95,91,52,6,10,5,2.0,1.0,387,4.0,5,22,12.0,5,27,2.0,7.0,89,20,2.0,16,3.0,2,254,11.0,3.0,1.0,248,19,470,463,55.0,5,436,66,158,1.0,3.0,0.0,2.0,0.0,80,245,42,8.0,3,0.0,99,57,11,20,3.0,5.0,68,31,0.0,18.0,74,1.0,0.0,17,89,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71,116,148,1.0,68,5.0,0.0,110,0.0,0.0,2.0,5.0,5,0.0,5.0,17.0,0.0,88,1.0,0.0,7.0,1.0,0.0,0.0,30,1.0,0.0,122,0.0,1.0,0.0,2.0,17.0,0.0,6.0,3.0,39,45,28.0,0.0,0.0,4.0,0.0,3.0,8.0,18,35,388,26,1.0,17,86,52,0.0,0.0,0.0,40,500,0.0,34,218,0.0,1.0,0.0,0.0,18.0,0.0
200809,2.1955,727,13,105,85,39,11,16,54,1.0,0.0,258,11.0,1,28,3.0,10,2,0.0,1.0,97,9,1.0,10,0.0,5,159,4.0,0.0,3.0,239,36,422,398,0.0,1,480,21,197,7.0,0.0,9.0,6.0,2.0,31,288,28,0.0,6,2.0,113,40,38,13,0.0,1.0,50,5,0.0,9.0,77,0.0,0.0,12,120,2.0,2.0,0.0,0.0,86,0.0,0.0,0.0,3.0,0.0,0.0,0.0,69,91,142,0.0,24,0.0,0.0,61,0.0,1.0,1.0,3.0,3,0.0,3.0,7.0,7.0,66,1.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,46,0.0,4.0,0.0,0.0,2.0,7.0,3.0,13.0,24,11,18.0,0.0,0.0,1.0,0.0,3.0,2.0,14,26,255,10,0.0,37,18,49,1.0,0.0,0.0,11,319,9.0,46,130,3.0,2.0,0.0,0.0,1.0,0.0
200810,2.202583333333333,1111,39,83,66,54,34,16,20,7.0,0.0,375,23.0,2,11,2.0,31,11,0.0,0.0,127,25,0.0,24,0.0,18,241,0.0,0.0,0.0,408,3,616,597,0.0,8,184,99,271,2.0,0.0,1.0,6.0,0.0,50,467,38,5.0,22,7.0,50,90,27,39,0.0,28.0,118,22,0.0,12.0,97,0.0,1.0,17,145,0.0,0.0,0.0,0.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74,78,246,6.0,40,1.0,0.0,87,8.0,0.0,0.0,15.0,6,0.0,0.0,3.0,15.0,68,0.0,0.0,2.0,0.0,0.0,0.0,7,0.0,5.0,44,0.0,4.0,2.0,3.0,13.0,1.0,0.0,4.0,17,20,7.0,1.0,0.0,0.0,0.0,0.0,16.0,31,124,410,77,11.0,42,47,45,5.0,0.0,0.0,15,572,0.0,65,357,2.0,0.0,0.0,0.0,3.0,0.0
200811,2.2096666666666667,995,31,107,95,51,6,15,28,15.0,0.0,316,19.0,2,12,0.0,7,9,0.0,0.0,82,33,3.0,25,0.0,11,212,0.0,0.0,4.0,285,16,534,482,6.0,3,87,77,270,1.0,2.0,0.0,5.0,0.0,110,341,60,0.0,4,2.0,74,53,24,14,0.0,6.0,55,17,2.0,19.0,68,0.0,0.0,5,131,1.0,0.0,0.0,0.0,39,0.0,0.0,0.0,8.0,7.0,0.0,0.0,71,100,186,1.0,10,0.0,0.0,99,0.0,0.0,1.0,4.0,6,0.0,0.0,2.0,9.0,62,0.0,0.0,0.0,9.0,0.0,0.0,50,0.0,2.0,30,0.0,1.0,0.0,1.0,11.0,0.0,2.0,3.0,16,16,4.0,0.0,1.0,9.0,0.0,2.0,28.0,10,32,387,13,2.0,49,46,65,4.0,0.0,0.0,25,488,10.0,54,316,0.0,2.0,0.0,0.0,6.0,0.0
200812,2.21675,1192,50,87,58,83,20,29,28,9.0,0.0,369,9.0,2,11,0.0,3,5,1.0,3.0,80,25,0.0,26,0.0,7,215,3.0,0.0,0.0,348,15,734,729,1.0,14,117,107,307,5.0,1.0,0.0,5.0,0.0,87,414,52,5.0,9,4.0,69,64,43,35,0.0,6.0,82,3,0.0,8.0,113,3.0,0.0,14,164,0.0,1.0,0.0,0.0,46,7.0,0.0,0.0,6.0,6.0,0.0,0.0,150,72,223,0.0,48,0.0,0.0,103,0.0,0.0,0.0,10.0,1,0.0,1.0,0.0,11.0,54,0.0,0.0,2.0,0.0,0.0,0.0,6,0.0,0.0,25,0.0,1.0,0.0,1.0,10.0,12.0,1.0,5.0,59,27,6.0,3.0,4.0,1.0,0.0,3.0,16.0,46,99,389,44,2.0,73,117,28,1.0,0.0,0.0,10,654,1.0,45,243,11.0,2.0,0.0,0.0,0.0,0.0
