MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.599,169,4.0,19,13,24,1.0,2.0,2.0,0.0,0.0,112,3.0,2.0,10.0,0.0,3.0,17.0,1.0,2.0,22,10,6.0,13,0.0,3.0,309,1.0,0.0,1.0,349,9.0,165,139,9.0,0.0,228,35,80,0.0,0.0,0.0,0.0,0.0,33,27,2,0.0,2.0,1.0,17,7,7.0,1.0,0.0,0.0,15.0,0.0,5.0,5.0,11,0.0,2.0,0.0,29,0.0,0.0,0.0,0.0,20,2.0,0.0,0.0,5.0,0.0,0.0,0.0,35,15,33.0,0.0,4.0,0.0,0.0,56,0.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,38,6.0,1.0,0.0,0.0,1.0,9.0,0.0,2.0,12.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,19,2.0,0.0,5.0,4.0,0.0,0.0,1.0,10,55,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,31,1.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
200804,1.60025,246,6.0,35,77,29,9.0,19.0,10.0,5.0,1.0,144,4.0,7.0,3.0,1.0,1.0,30.0,0.0,4.0,56,23,7.0,7,1.0,3.0,273,9.0,0.0,0.0,1423,9.0,299,247,78.0,2.0,373,77,219,0.0,1.0,5.0,1.0,0.0,78,25,14,5.0,0.0,0.0,44,16,17.0,1.0,2.0,0.0,19.0,4.0,0.0,17.0,19,5.0,9.0,9.0,23,1.0,0.0,0.0,0.0,34,1.0,0.0,0.0,8.0,0.0,0.0,0.0,78,62,66.0,2.0,18.0,1.0,0.0,67,3.0,2.0,0.0,5.0,3.0,5.0,0.0,11.0,31,90.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,20.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,20.0,20,1.0,0.0,72.0,0.0,0.0,0.0,8.0,18,64,1.0,3.0,3.0,6.0,7.0,1.0,1.0,7.0,116,4.0,14.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0
200805,1.6015,132,0.0,34,35,6,12.0,7.0,9.0,1.0,0.0,93,8.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,33,4,0.0,8,0.0,3.0,97,0.0,0.0,0.0,760,0.0,149,131,0.0,0.0,238,30,73,2.0,0.0,1.0,1.0,0.0,20,23,2,4.0,1.0,1.0,15,12,8.0,9.0,2.0,1.0,10.0,1.0,6.0,10.0,19,0.0,1.0,4.0,31,2.0,0.0,0.0,0.0,18,3.0,0.0,0.0,2.0,0.0,0.0,0.0,16,43,40.0,0.0,10.0,0.0,0.0,26,0.0,0.0,0.0,2.0,3.0,0.0,5.0,2.0,16,64.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,8,1.0,0.0,61.0,0.0,0.0,2.0,2.0,10,70,3.0,0.0,4.0,3.0,5.0,0.0,0.0,2.0,39,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
200806,1.60275,122,8.0,19,26,27,2.0,4.0,0.0,0.0,0.0,76,0.0,4.0,2.0,0.0,5.0,3.0,1.0,0.0,50,3,1.0,6,0.0,0.0,34,0.0,0.0,0.0,226,1.0,91,84,0.0,1.0,70,22,57,2.0,0.0,0.0,1.0,0.0,18,14,2,4.0,0.0,2.0,8,6,4.0,10.0,0.0,1.0,10.0,8.0,0.0,0.0,17,0.0,0.0,3.0,13,5.0,0.0,0.0,0.0,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28,9,34.0,0.0,2.0,0.0,0.0,24,0.0,2.0,0.0,4.0,0.0,12.0,2.0,5.0,13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5,1.0,0.0,6.0,0.0,0.0,1.0,0.0,7,28,0.0,0.0,3.0,4.0,30.0,1.0,0.0,3.0,40,1.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0
200807,1.604,77,0.0,13,10,5,18.0,2.0,6.0,0.0,0.0,73,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,10,3,4.0,2,0.0,0.0,50,0.0,0.0,0.0,73,2.0,73,61,0.0,1.0,75,6,47,3.0,0.0,1.0,0.0,0.0,11,8,1,0.0,0.0,0.0,11,16,2.0,5.0,1.0,0.0,9.0,0.0,0.0,2.0,18,0.0,0.0,7.0,13,1.0,2.0,0.0,0.0,11,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5,21,27.0,0.0,8.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0.0,3.0,0.0,0.0,0.0,1.0,3.0,23,29,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.60525,68,3.0,16,9,7,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11,5,1.0,2,0.0,7.0,74,0.0,0.0,0.0,89,0.0,79,84,0.0,0.0,41,12,43,0.0,0.0,0.0,1.0,0.0,4,3,1,0.0,0.0,0.0,12,5,1.0,10.0,0.0,0.0,8.0,0.0,0.0,1.0,4,0.0,1.0,3.0,36,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18,8,21.0,0.0,1.0,0.0,0.0,27,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,30,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,20,0.0,7.0,0.0,0.0,0.0,0.0,1.0,12,15,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,21,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.6065,49,0.0,16,12,3,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,26,6,2.0,1,0.0,0.0,33,0.0,0.0,0.0,84,0.0,91,82,3.0,0.0,57,8,25,0.0,0.0,8.0,1.0,0.0,27,9,5,5.0,0.0,0.0,7,5,5.0,3.0,0.0,0.0,14.0,0.0,0.0,2.0,12,0.0,2.0,0.0,16,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,4.0,0.0,0.0,0.0,6,10,13.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18,18,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,19,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.60775,63,0.0,19,12,7,0.0,4.0,5.0,4.0,0.0,146,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,21,3,0.0,6,0.0,0.0,51,0.0,0.0,0.0,81,0.0,71,71,0.0,0.0,32,5,45,2.0,0.0,0.0,0.0,0.0,20,13,3,3.0,0.0,0.0,7,6,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,11,3.0,0.0,0.0,1.0,0.0,0.0,0.0,14,7,28.0,0.0,6.0,0.0,0.0,23,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.0,1.0,0.0,2.0,11.0,14,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
200811,1.609,104,1.0,15,22,24,0.0,0.0,1.0,4.0,0.0,223,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,26,4,0.0,5,0.0,3.0,74,0.0,0.0,0.0,186,2.0,86,79,82.0,0.0,49,14,47,0.0,0.0,0.0,0.0,1.0,25,32,4,0.0,1.0,0.0,10,13,0.0,9.0,0.0,1.0,12.0,4.0,0.0,0.0,14,0.0,0.0,12.0,14,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,10,6.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,51,1.0,0.0,0.0,2.0,6.0,1.0,0.0,2.0,32,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.6102500000000002,91,2.0,19,16,14,1.0,2.0,10.0,0.0,0.0,76,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13,3,0.0,13,0.0,0.0,133,1.0,0.0,0.0,102,0.0,73,58,0.0,1.0,62,26,84,2.0,0.0,0.0,0.0,0.0,129,46,2,0.0,4.0,0.0,6,15,2.0,3.0,0.0,0.0,9.0,0.0,0.0,5.0,9,0.0,1.0,8.0,9,0.0,0.0,2.0,0.0,7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21,13,24.0,0.0,2.0,0.0,0.0,36,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,11,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,3.0,0.0,0.0,0.0,0.0,5.0,1.0,6,32,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,19,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
