MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.924,158,3.0,28,54,19,2.0,5.0,14,9.0,0.0,87,5.0,3.0,13.0,0.0,6.0,14.0,0.0,0.0,81,7.0,4.0,8,0.0,7.0,111,0.0,0.0,0.0,156,4.0,191,205,2.0,5.0,107,23,116,1.0,1.0,2.0,2.0,0.0,82,20,4,1.0,0.0,2.0,25,17,0.0,1.0,0.0,0.0,16.0,2.0,0.0,0.0,15,1.0,0.0,3.0,63,3.0,0.0,0.0,0.0,18,3.0,0.0,1.0,4.0,0.0,0.0,0.0,16,69,40,0.0,19,3.0,0.0,31,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,11,0.0,6.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,7,74,0.0,0.0,9.0,0.0,7.0,0.0,0.0,1.0,44,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.9246666666666667,182,5.0,29,108,27,3.0,10.0,9,8.0,0.0,120,2.0,1.0,3.0,1.0,6.0,7.0,0.0,2.0,36,18.0,4.0,5,0.0,5.0,421,0.0,0.0,0.0,285,0.0,174,178,21.0,2.0,137,42,140,0.0,1.0,13.0,2.0,0.0,71,37,16,3.0,0.0,0.0,27,29,2.0,0.0,0.0,0.0,14.0,3.0,0.0,3.0,21,2.0,0.0,0.0,29,0.0,1.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49,39,30,0.0,11,2.0,0.0,34,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,11,42,0.0,0.0,13.0,2.0,17.0,0.0,0.0,0.0,43,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
200805,1.9253333333333336,168,1.0,23,32,16,0.0,2.0,7,5.0,0.0,66,0.0,4.0,1.0,10.0,3.0,2.0,0.0,0.0,23,9.0,3.0,4,0.0,4.0,89,0.0,0.0,5.0,102,0.0,111,103,3.0,2.0,79,22,97,3.0,0.0,0.0,0.0,0.0,52,17,6,2.0,0.0,0.0,11,22,2.0,0.0,0.0,0.0,15.0,1.0,1.0,8.0,15,0.0,0.0,2.0,13,0.0,0.0,0.0,0.0,23,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40,28,36,0.0,15,1.0,0.0,20,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2,0.0,7.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,18,45,2.0,0.0,2.0,0.0,7.0,0.0,0.0,4.0,28,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200806,1.926,171,0.0,26,44,7,0.0,6.0,12,5.0,0.0,95,5.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,32,10.0,0.0,9,0.0,2.0,64,0.0,0.0,0.0,86,2.0,111,104,0.0,4.0,35,24,97,3.0,1.0,5.0,0.0,0.0,40,11,7,1.0,0.0,1.0,22,23,0.0,1.0,0.0,0.0,9.0,1.0,0.0,3.0,15,0.0,0.0,2.0,20,1.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10,10,0.0,15,3.0,0.0,19,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10,1.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,2.0,20,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,16,55,1.0,0.0,3.0,2.0,3.0,0.0,0.0,8.0,21,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.9266666666666667,152,1.0,17,33,12,2.0,2.0,6,0.0,0.0,100,2.0,0.0,9.0,1.0,1.0,3.0,2.0,0.0,21,19.0,1.0,5,0.0,3.0,93,2.0,0.0,0.0,87,3.0,126,125,2.0,11.0,33,24,128,3.0,0.0,6.0,2.0,0.0,56,6,12,17.0,0.0,0.0,20,45,6.0,2.0,0.0,0.0,18.0,12.0,0.0,1.0,36,2.0,0.0,2.0,24,0.0,0.0,0.0,0.0,14,8.0,0.0,0.0,1.0,4.0,0.0,0.0,16,43,32,1.0,11,2.0,0.0,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,11,66,0.0,1.0,7.0,2.0,5.0,1.0,0.0,0.0,34,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.9273333333333331,65,0.0,4,25,7,0.0,7.0,3,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11,18.0,0.0,8,0.0,1.0,17,0.0,0.0,0.0,64,12.0,73,67,2.0,1.0,17,11,62,3.0,0.0,1.0,0.0,0.0,47,18,5,0.0,2.0,0.0,10,12,1.0,0.0,1.0,6.0,3.0,0.0,0.0,2.0,4,0.0,0.0,6.0,11,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,14,0.0,12,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,35,9.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.9280000000000002,95,3.0,18,21,5,0.0,2.0,1,0.0,0.0,61,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3,7.0,1.0,5,0.0,2.0,45,0.0,0.0,0.0,42,33.0,73,64,0.0,0.0,33,25,35,2.0,0.0,0.0,0.0,4.0,20,9,1,2.0,0.0,0.0,9,13,1.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,4,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,7,0.0,4,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6,26,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,13,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0
200810,1.9286666666666668,134,0.0,22,30,12,2.0,3.0,14,1.0,0.0,105,0.0,2.0,6.0,0.0,0.0,12.0,0.0,0.0,18,8.0,3.0,5,0.0,1.0,69,0.0,0.0,0.0,135,14.0,164,155,0.0,4.0,89,24,83,1.0,0.0,0.0,0.0,0.0,65,8,15,2.0,0.0,0.0,11,10,1.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,7,0.0,0.0,8.0,35,0.0,0.0,0.0,0.0,14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16,27,25,2.0,9,0.0,0.0,22,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10,43,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,20,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
200811,1.9293333333333331,115,1.0,21,26,11,0.0,2.0,6,1.0,0.0,49,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,26,21.0,3.0,8,0.0,5.0,106,4.0,0.0,0.0,185,18.0,186,151,6.0,2.0,59,11,86,1.0,0.0,0.0,0.0,0.0,30,23,7,8.0,0.0,1.0,28,14,2.0,5.0,0.0,1.0,12.0,2.0,0.0,5.0,15,0.0,0.0,4.0,16,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14,7,18,0.0,4,0.0,0.0,10,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,39,1.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,10,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.93,114,0.0,30,17,23,1.0,4.0,15,0.0,2.0,87,0.0,2.0,1.0,0.0,0.0,18.0,0.0,0.0,29,17.0,1.0,2,0.0,1.0,95,0.0,0.0,0.0,283,2.0,162,155,3.0,5.0,94,22,83,2.0,1.0,2.0,0.0,0.0,67,23,9,0.0,0.0,0.0,8,16,1.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,15,0.0,0.0,3.0,10,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23,20,17,1.0,5,0.0,0.0,14,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1,33,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,39,0.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0
