MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.695,264,4.0,39,27,10,14.0,2.0,6.0,0.0,0.0,112,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,8,3,0.0,2.0,0.0,0.0,90,0.0,0.0,4.0,124,7.0,147,137,5.0,4.0,97,8,58,1.0,0.0,0.0,2.0,0.0,19,37,29,6.0,0.0,0.0,26,3,9.0,4.0,0.0,0.0,8,5.0,0.0,1.0,19,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34,25,33,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,26,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,11,68,4.0,10.0,2.0,9.0,3,4.0,0.0,2.0,1.0,51,5.0,7.0,12,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.6969166666666666,394,0.0,6,18,21,0.0,2.0,9.0,0.0,0.0,106,0.0,3.0,2.0,0.0,2.0,4.0,0.0,1.0,38,6,2.0,0.0,1.0,6.0,89,0.0,0.0,0.0,199,18.0,132,133,0.0,1.0,85,12,110,2.0,0.0,1.0,0.0,0.0,58,47,28,7.0,0.0,0.0,11,23,7.0,3.0,0.0,2.0,16,0.0,0.0,3.0,24,0.0,6.0,2.0,18,2.0,0.0,0.0,0.0,22,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24,10,43,0.0,20.0,0.0,0.0,30,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,7,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,8.0,9,1.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,40,78,1.0,8.0,1.0,0.0,15,2.0,0.0,0.0,0.0,28,0.0,4.0,24,0.0,0.0,0.0,0.0,0.0,0.0
200805,1.6988333333333334,671,0.0,26,46,36,4.0,3.0,9.0,1.0,0.0,198,1.0,36.0,4.0,0.0,2.0,1.0,0.0,0.0,25,9,11.0,11.0,0.0,1.0,57,2.0,0.0,0.0,151,28.0,224,199,0.0,1.0,85,6,99,3.0,0.0,0.0,2.0,0.0,37,55,15,4.0,0.0,0.0,25,22,4.0,32.0,0.0,4.0,16,3.0,0.0,1.0,10,2.0,0.0,15.0,43,0.0,0.0,0.0,0.0,49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19,33,39,0.0,15.0,3.0,0.0,21,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,17,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,2.0,6.0,0.0,44.0,0.0,5.0,24,52,15.0,12.0,5.0,2.0,9,1.0,0.0,0.0,6.0,46,0.0,13.0,4,0.0,3.0,0.0,0.0,0.0,0.0
200806,1.7007500000000002,519,2.0,13,15,12,4.0,2.0,1.0,2.0,0.0,140,0.0,1.0,1.0,0.0,2.0,23.0,3.0,1.0,27,8,1.0,5.0,0.0,6.0,88,3.0,0.0,0.0,321,0.0,147,151,7.0,3.0,93,9,86,0.0,0.0,0.0,2.0,0.0,19,26,15,1.0,0.0,0.0,5,21,1.0,5.0,0.0,0.0,10,0.0,0.0,1.0,6,1.0,0.0,0.0,32,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,26,20,0.0,3.0,1.0,0.0,21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,11,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,38,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22,39,6.0,26.0,1.0,2.0,1,0.0,0.0,0.0,3.0,37,0.0,0.0,4,0.0,1.0,0.0,0.0,0.0,0.0
200807,1.7026666666666668,461,2.0,19,22,16,6.0,0.0,3.0,1.0,0.0,99,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,26,9,0.0,2.0,0.0,0.0,83,0.0,0.0,0.0,145,12.0,141,136,0.0,0.0,57,24,49,2.0,0.0,0.0,0.0,0.0,42,15,12,0.0,0.0,0.0,9,34,2.0,6.0,0.0,0.0,13,2.0,0.0,0.0,5,0.0,0.0,2.0,56,0.0,1.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,9,33,0.0,10.0,0.0,0.0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,3,82,4.0,0.0,11.0,0.0,8,0.0,0.0,0.0,7.0,66,0.0,2.0,17,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.7045833333333331,338,1.0,7,25,9,1.0,0.0,10.0,0.0,0.0,63,8.0,1.0,1.0,0.0,2.0,7.0,2.0,1.0,84,12,0.0,1.0,0.0,0.0,38,0.0,0.0,0.0,85,8.0,64,66,0.0,2.0,39,2,62,1.0,0.0,0.0,1.0,0.0,40,24,10,1.0,0.0,0.0,5,14,1.0,0.0,0.0,0.0,7,0.0,0.0,0.0,6,2.0,0.0,1.0,17,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7,5,15,0.0,2.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,3.0,0.0,6.0,1.0,9,1.0,0.0,0.0,3.0,27,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.7065,298,1.0,9,17,14,0.0,4.0,7.0,0.0,0.0,76,0.0,0.0,1.0,0.0,1.0,17.0,4.0,0.0,39,5,0.0,1.0,0.0,2.0,117,0.0,0.0,0.0,202,6.0,144,133,0.0,2.0,152,10,68,0.0,0.0,2.0,0.0,0.0,40,66,4,0.0,0.0,0.0,17,26,4.0,11.0,0.0,0.0,13,3.0,0.0,5.0,6,0.0,4.0,0.0,13,0.0,0.0,1.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,45,0.0,6.0,0.0,0.0,30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,17,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,5,49,4.0,6.0,4.0,0.0,2,0.0,0.0,0.0,0.0,47,0.0,1.0,10,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.708416666666667,588,1.0,18,23,12,4.0,0.0,0.0,0.0,0.0,133,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,99,7,0.0,6.0,0.0,2.0,103,0.0,0.0,0.0,272,1.0,112,99,4.0,2.0,67,22,117,1.0,0.0,0.0,0.0,0.0,31,118,18,0.0,0.0,0.0,9,42,0.0,7.0,0.0,0.0,14,3.0,0.0,14.0,4,0.0,0.0,2.0,35,0.0,0.0,0.0,0.0,29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17,29,27,0.0,6.0,3.0,0.0,27,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,66,4.0,1.0,8.0,4.0,25,0.0,0.0,0.0,1.0,22,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0
200811,1.7103333333333337,636,2.0,25,24,26,1.0,7.0,4.0,0.0,0.0,143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0.0,0.0,0.0,1.0,80,0.0,0.0,0.0,250,0.0,90,86,0.0,0.0,49,18,72,5.0,0.0,0.0,3.0,0.0,39,115,17,0.0,0.0,0.0,10,30,0.0,4.0,0.0,0.0,22,2.0,0.0,5.0,12,0.0,0.0,3.0,38,0.0,0.0,0.0,0.0,22,3.0,0.0,0.0,4.0,0.0,0.0,0.0,31,10,49,0.0,13.0,0.0,0.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15,37,8.0,0.0,8.0,2.0,10,0.0,0.0,0.0,0.0,22,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.71225,803,8.0,25,24,14,1.0,4.0,8.0,0.0,0.0,147,2.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,16,7,0.0,0.0,3.0,2.0,43,0.0,0.0,0.0,292,0.0,96,94,0.0,0.0,33,6,81,3.0,0.0,0.0,9.0,0.0,11,126,20,2.0,0.0,0.0,6,22,2.0,34.0,1.0,0.0,13,2.0,0.0,4.0,5,0.0,0.0,7.0,154,0.0,0.0,0.0,0.0,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30,27,30,6.0,3.0,0.0,0.0,13,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,20.0,7,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,22,31,3.0,0.0,3.0,0.0,4,0.0,0.0,0.0,0.0,48,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0
