MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.858,76,3.0,13,29,10.0,9.0,6.0,1.0,0.0,0.0,67,2.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,19.0,7.0,0.0,4.0,0.0,3.0,42,0.0,0.0,0.0,43,6.0,96,43,0.0,1.0,23,10.0,26,1.0,0.0,0.0,0.0,0.0,4.0,19,3.0,2.0,0.0,1.0,28,18.0,6.0,5.0,0.0,0.0,13.0,1.0,0.0,6.0,12,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,8.0,30,0.0,5.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,86,0.0,1.0,10.0,5.0,11.0,0.0,0.0,1.0,42,3.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
200804,1.85375,93,3.0,31,11,10.0,12.0,0.0,0.0,2.0,0.0,58,0.0,1.0,4.0,1.0,0.0,6.0,0.0,0.0,16.0,5.0,1.0,1.0,0.0,7.0,52,2.0,0.0,0.0,30,1.0,89,50,0.0,0.0,16,7.0,21,0.0,0.0,0.0,1.0,0.0,10.0,18,12.0,0.0,0.0,0.0,22,4.0,0.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,19,0.0,0.0,5.0,100,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,20,0.0,3.0,3.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,59,3.0,0.0,4.0,1.0,13.0,0.0,0.0,1.0,51,0.0,0.0,42.0,0.0,3.0,0.0,0.0,0.0,0.0
200805,1.8495,93,1.0,16,35,16.0,17.0,3.0,3.0,21.0,0.0,131,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0,3.0,1.0,4.0,0.0,1.0,19,0.0,0.0,0.0,89,2.0,156,105,2.0,5.0,21,5.0,53,0.0,0.0,2.0,0.0,0.0,1.0,7,11.0,0.0,0.0,0.0,16,16.0,0.0,8.0,0.0,0.0,14.0,3.0,0.0,2.0,18,0.0,0.0,7.0,81,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,8.0,32,0.0,7.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,1.0,0.0,8.0,0.0,0.0,8.0,7.0,55,3.0,0.0,5.0,2.0,6.0,0.0,0.0,1.0,52,0.0,16.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0
200806,1.84525,78,4.0,17,23,10.0,19.0,7.0,5.0,4.0,0.0,58,3.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,3.0,0.0,2.0,46,0.0,0.0,0.0,47,3.0,153,106,6.0,2.0,51,9.0,39,0.0,0.0,0.0,2.0,0.0,9.0,24,8.0,0.0,2.0,0.0,17,5.0,2.0,9.0,0.0,0.0,13.0,3.0,0.0,0.0,7,0.0,0.0,3.0,79,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,23.0,29,0.0,13.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,11.0,57,1.0,0.0,8.0,2.0,10.0,0.0,0.0,1.0,50,2.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
200807,1.841,124,4.0,18,28,21.0,14.0,10.0,3.0,1.0,0.0,88,16.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,19.0,6.0,0.0,1.0,0.0,2.0,38,0.0,0.0,0.0,32,2.0,132,64,0.0,0.0,80,6.0,52,0.0,0.0,0.0,1.0,6.0,14.0,22,7.0,1.0,1.0,1.0,26,10.0,0.0,6.0,0.0,1.0,20.0,1.0,0.0,2.0,25,0.0,0.0,3.0,45,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,17.0,14.0,59,0.0,8.0,2.0,0.0,29.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,16.0,74,6.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,44,0.0,5.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0
200808,1.83675,57,4.0,6,15,3.0,4.0,6.0,5.0,0.0,0.0,46,0.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,19.0,6.0,3.0,2.0,0.0,2.0,25,0.0,0.0,0.0,29,0.0,73,31,1.0,0.0,22,4.0,45,0.0,0.0,0.0,1.0,0.0,1.0,11,0.0,1.0,0.0,0.0,10,9.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,4.0,12,0.0,0.0,3.0,27,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,4.0,30,0.0,4.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,33,5.0,0.0,6.0,2.0,1.0,0.0,0.0,2.0,30,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,1.8325,81,1.0,16,16,13.0,12.0,4.0,2.0,0.0,0.0,40,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,9.0,4.0,0.0,7.0,0.0,2.0,30,0.0,1.0,0.0,38,1.0,54,19,0.0,0.0,42,7.0,39,0.0,0.0,0.0,1.0,0.0,12.0,30,5.0,0.0,0.0,0.0,23,13.0,0.0,9.0,0.0,1.0,18.0,2.0,0.0,0.0,7,0.0,0.0,4.0,30,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,27,0.0,1.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,38,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,26,0.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
200810,1.82825,140,6.0,22,34,9.0,17.0,6.0,3.0,3.0,0.0,67,1.0,0.0,4.0,0.0,3.0,3.0,1.0,1.0,28.0,4.0,0.0,5.0,0.0,1.0,24,0.0,0.0,0.0,42,1.0,76,38,0.0,0.0,18,2.0,54,1.0,0.0,0.0,3.0,0.0,8.0,51,8.0,0.0,0.0,0.0,22,15.0,1.0,7.0,0.0,1.0,14.0,1.0,0.0,0.0,21,0.0,0.0,3.0,25,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,14.0,43,3.0,3.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,28.0,70,4.0,0.0,9.0,1.0,5.0,1.0,0.0,0.0,50,0.0,7.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0
200811,1.824,71,0.0,1,17,5.0,1.0,16.0,3.0,1.0,0.0,14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,6,0.0,25,20,0.0,0.0,4,0.0,16,0.0,0.0,0.0,0.0,0.0,23.0,38,15.0,8.0,0.0,0.0,3,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,5.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,14,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.81975,54,1.0,7,11,1.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,4.0,5.0,0.0,1.0,89,0.0,0.0,0.0,27,3.0,77,84,0.0,0.0,14,6.0,27,0.0,0.0,0.0,0.0,0.0,7.0,36,22.0,7.0,0.0,0.0,5,2.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,5,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
