MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.495,323,10,61,82,27,0.0,11,6,3.0,0.0,182,6,10.0,8,1.0,5,18,7.0,1.0,66,6,13.0,11,2.0,4,197,0.0,0.0,0.0,241,11.0,251,214,3.0,27,120,29,128,6.0,0.0,15.0,5.0,1.0,106,65,28,0.0,0.0,0.0,43,73,6.0,6,2.0,0.0,39,12,0.0,7,31,0.0,2.0,6,87,0.0,1.0,0.0,0.0,37,3.0,0.0,0.0,1.0,0.0,1.0,0.0,56,91,76,1.0,15,5.0,0.0,98,0.0,0.0,2.0,5.0,6.0,0.0,2.0,7,3.0,24,3.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,18,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,9,2.0,0.0,4.0,10.0,0.0,0.0,0.0,6,24,58,3.0,9.0,12,5.0,17,0.0,0.0,0.0,5.0,89,2.0,5,9,4.0,0.0,0.0,0.0,0.0,1.0
200804,1.4950833333333335,489,3,85,95,32,6.0,3,16,1.0,2.0,244,2,1.0,8,1.0,10,19,0.0,1.0,55,26,7.0,13,0.0,13,212,2.0,0.0,0.0,211,6.0,251,232,2.0,32,115,36,149,1.0,0.0,0.0,1.0,0.0,75,75,22,0.0,0.0,0.0,65,71,0.0,16,0.0,7.0,32,3,0.0,25,43,0.0,0.0,4,71,0.0,4.0,0.0,0.0,27,2.0,0.0,0.0,3.0,1.0,0.0,0.0,63,84,61,1.0,12,0.0,0.0,110,0.0,1.0,0.0,5.0,6.0,0.0,0.0,7,0.0,38,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,18,2.0,0.0,7.0,14.0,0.0,0.0,1.0,1,35,70,3.0,0.0,3,2.0,15,0.0,0.0,0.0,3.0,47,4.0,16,20,0.0,0.0,0.0,0.0,0.0,0.0
200805,1.4951666666666668,344,11,75,69,34,1.0,5,16,2.0,2.0,177,2,8.0,15,0.0,3,8,0.0,0.0,51,17,0.0,19,0.0,11,147,5.0,0.0,0.0,186,3.0,232,196,13.0,3,176,19,111,5.0,1.0,1.0,0.0,0.0,48,94,43,2.0,0.0,0.0,67,80,3.0,28,1.0,1.0,41,5,0.0,5,40,0.0,2.0,4,83,0.0,0.0,0.0,0.0,44,2.0,4.0,0.0,3.0,1.0,0.0,0.0,72,58,88,0.0,16,2.0,0.0,82,0.0,0.0,0.0,5.0,8.0,0.0,1.0,12,0.0,16,0.0,0.0,0.0,0.0,2.0,0.0,4,0.0,1.0,30,3.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8,26,70,16.0,0.0,5,2.0,12,0.0,0.0,0.0,2.0,73,2.0,11,15,3.0,4.0,0.0,0.0,0.0,0.0
200806,1.49525,321,7,78,67,26,29.0,4,5,3.0,0.0,223,17,0.0,7,9.0,2,4,1.0,0.0,69,26,5.0,15,0.0,6,102,0.0,0.0,0.0,171,8.0,277,256,8.0,12,91,20,143,4.0,0.0,0.0,0.0,0.0,16,88,42,5.0,0.0,0.0,55,69,2.0,15,1.0,7.0,50,13,0.0,23,31,0.0,2.0,7,86,0.0,2.0,0.0,0.0,26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50,55,59,2.0,7,0.0,0.0,159,0.0,0.0,0.0,0.0,4.0,0.0,24.0,15,1.0,17,1.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,9,0.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,7,2.0,0.0,5.0,4.0,0.0,0.0,1.0,15,50,94,13.0,0.0,5,0.0,28,0.0,0.0,0.0,1.0,62,0.0,14,18,2.0,5.0,0.0,0.0,0.0,0.0
200807,1.4953333333333334,503,12,102,104,57,27.0,14,5,2.0,0.0,296,25,7.0,15,2.0,8,9,1.0,0.0,73,8,1.0,16,0.0,6,304,2.0,0.0,0.0,469,15.0,763,744,49.0,21,492,71,169,1.0,4.0,9.0,39.0,1.0,26,94,48,6.0,0.0,3.0,105,96,4.0,26,0.0,2.0,75,4,2.0,16,68,0.0,0.0,12,77,2.0,0.0,0.0,0.0,52,9.0,0.0,0.0,4.0,1.0,0.0,0.0,58,51,142,0.0,36,6.0,0.0,85,0.0,0.0,0.0,2.0,5.0,0.0,2.0,13,3.0,64,1.0,0.0,2.0,1.0,0.0,0.0,11,7.0,2.0,34,0.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,4.0,38,28.0,6.0,5.0,40.0,0.0,0.0,0.0,9,112,196,2.0,0.0,42,5.0,16,0.0,0.0,0.0,5.0,110,5.0,5,12,0.0,4.0,0.0,0.0,0.0,0.0
200808,1.4954166666666668,384,5,82,60,19,5.0,13,9,2.0,0.0,209,10,1.0,19,0.0,10,25,0.0,2.0,55,11,8.0,13,0.0,10,189,2.0,0.0,2.0,145,13.0,281,260,3.0,5,170,38,151,1.0,0.0,1.0,6.0,3.0,96,51,25,0.0,1.0,1.0,46,85,1.0,29,0.0,0.0,43,32,0.0,9,43,0.0,0.0,8,75,0.0,0.0,0.0,0.0,23,3.0,0.0,0.0,5.0,2.0,0.0,0.0,37,21,71,0.0,13,2.0,0.0,88,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9,1.0,28,1.0,0.0,0.0,1.0,0.0,0.0,10,5.0,0.0,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8,1.0,3.0,1.0,11.0,0.0,0.0,0.0,4,52,68,3.0,0.0,3,3.0,25,2.0,0.0,0.0,10.0,86,2.0,17,9,0.0,1.0,0.0,0.0,0.0,0.0
200809,1.4955,342,11,57,43,32,7.0,5,11,2.0,0.0,145,5,3.0,10,0.0,1,2,0.0,0.0,49,10,1.0,25,0.0,5,107,0.0,0.0,0.0,149,6.0,176,173,0.0,4,119,12,107,1.0,0.0,7.0,1.0,0.0,32,49,21,9.0,0.0,0.0,57,80,3.0,10,0.0,1.0,29,4,0.0,8,19,0.0,0.0,13,59,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26,24,48,0.0,6,0.0,0.0,45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,3.0,1.0,0.0,6.0,0.0,0.0,0.0,4,30,60,0.0,0.0,1,1.0,3,0.0,0.0,0.0,2.0,31,1.0,9,6,4.0,1.0,0.0,0.0,0.0,0.0
200810,1.4955833333333333,430,14,87,146,38,9.0,6,11,3.0,0.0,204,4,4.0,27,2.0,5,2,0.0,0.0,57,37,1.0,25,0.0,6,192,0.0,0.0,0.0,236,6.0,254,234,10.0,8,154,53,196,0.0,0.0,6.0,2.0,1.0,67,135,31,1.0,0.0,1.0,67,141,1.0,52,0.0,0.0,54,9,0.0,10,46,1.0,0.0,39,88,1.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,2.0,2.0,0.0,53,63,74,0.0,32,0.0,0.0,109,0.0,1.0,1.0,1.0,22.0,0.0,0.0,12,0.0,37,3.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,13,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,23,6.0,7.0,1.0,13.0,0.0,0.0,0.0,3,23,110,7.0,0.0,9,0.0,10,1.0,0.0,0.0,4.0,85,0.0,13,11,3.0,0.0,0.0,0.0,0.0,0.0
200811,1.4956666666666667,450,28,70,102,31,12.0,15,14,26.0,0.0,288,5,2.0,25,0.0,4,7,0.0,0.0,61,9,1.0,19,0.0,4,119,0.0,0.0,0.0,194,13.0,259,243,13.0,3,100,31,163,1.0,0.0,1.0,6.0,2.0,103,94,26,0.0,1.0,1.0,59,102,2.0,22,0.0,4.0,60,5,0.0,46,38,0.0,0.0,13,64,12.0,0.0,0.0,0.0,43,1.0,0.0,0.0,4.0,0.0,1.0,0.0,57,84,81,0.0,18,2.0,0.0,105,0.0,0.0,1.0,5.0,3.0,0.0,2.0,9,0.0,25,3.0,0.0,0.0,0.0,0.0,0.0,8,0.0,1.0,12,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,17,3.0,4.0,2.0,2.0,0.0,0.0,2.0,3,29,100,2.0,2.0,6,0.0,19,0.0,0.0,6.0,9.0,51,0.0,10,25,5.0,0.0,0.0,0.0,0.0,2.0
200812,1.49575,426,10,95,70,89,14.0,11,9,2.0,0.0,244,1,4.0,21,0.0,9,13,0.0,0.0,69,27,1.0,16,0.0,16,152,5.0,0.0,0.0,147,20.0,282,271,2.0,11,100,38,147,6.0,0.0,0.0,5.0,0.0,57,158,31,7.0,4.0,0.0,75,123,10.0,19,1.0,3.0,71,10,0.0,9,79,0.0,7.0,10,78,1.0,0.0,2.0,0.0,26,6.0,0.0,0.0,4.0,6.0,0.0,0.0,52,74,90,2.0,16,0.0,0.0,98,0.0,2.0,2.0,0.0,8.0,0.0,2.0,3,3.0,35,4.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,17,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,9.0,20,2.0,1.0,3.0,7.0,0.0,2.0,1.0,4,46,84,11.0,2.0,7,0.0,14,1.0,0.0,0.0,0.0,57,0.0,6,12,8.0,4.0,0.0,0.0,0.0,0.0
