,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,AM,200803,10,313
1,AM,200804,10,141
2,AM,200805,10,100
3,AM,200806,10,48
4,AM,200807,10,96
5,AM,200808,10,105
6,AM,200809,10,95
7,AM,200810,10,124
8,AM,200811,10,121
9,AM,200812,10,151
10,AM,200901,10,413
11,AM,200902,10,370
12,AM,200903,10,403
13,AM,200904,10,600
14,AM,200905,10,369
15,AM,200906,10,301
16,AM,200907,10,231
17,AM,200908,10,369
18,AM,200909,10,595
19,AM,200910,10,778
20,AM,200911,10,428
21,AM,200912,10,607
22,AM,201001,10,651
23,AM,201002,10,625
24,AM,201003,10,183
25,AM,201004,10,561
26,AM,201005,10,294
27,AM,201006,10,238
28,AM,201007,10,399
29,AM,201008,10,774
30,AM,201009,10,817
31,AM,201010,10,922
32,AM,201011,10,1027
33,AM,201012,10,959
34,AM,201101,10,766
35,AM,201102,10,819
36,AM,201103,10,898
37,AM,201104,10,1068
38,AM,201105,10,814
39,AM,201106,10,1024
40,AM,201107,10,926
41,AM,201108,10,713
42,AM,201109,10,927
43,AM,201110,10,755
44,AM,201111,10,973
45,AM,201112,10,781
46,AM,201201,10,935
47,AM,201202,10,1214
48,AM,201203,10,1201
49,AM,201204,10,1265
50,AM,201205,10,1276
51,AM,201206,10,1152
52,AM,201207,10,941
53,AM,201208,10,699
54,AM,201209,10,977
55,AM,201210,10,950
56,AM,201211,10,864
57,AM,201212,10,777
58,AM,201301,10,828
59,AM,201302,10,1353
60,AM,201303,10,883
61,AM,201304,10,607
62,AM,201305,10,866
63,AM,201306,10,1097
64,AM,201307,10,1203
65,AM,201308,10,988
66,AM,201309,10,1759
67,AM,201310,10,1589
68,AM,201311,10,1490
69,AM,201312,10,1123
70,AM,201401,10,778
71,AM,201402,10,1130
72,AM,201403,10,1356
73,AM,201404,10,1580
74,AM,201405,10,1140
75,AM,201406,10,1097
76,AM,201407,10,1033
77,AM,201408,10,1111
78,AM,201409,10,1107
79,AM,201410,10,1191
80,AM,201411,10,936
81,AM,201412,10,933
82,AM,201501,10,1199
83,AM,201502,10,1151
84,AM,201503,10,1313
85,AM,201504,10,2573
86,AM,201505,10,1154
87,AM,201506,10,1275
88,AM,201507,10,1068
89,AM,201508,10,729
90,AM,201509,10,1277
91,AM,201510,10,1105
92,AM,201511,10,1124
93,AM,201512,10,1181
94,AM,201601,10,779
95,AM,201602,10,987
96,AM,201603,10,1042
97,AM,201604,10,2747
98,AM,201605,10,1388
99,AM,201606,10,1687
100,AM,201607,10,1333
101,AM,201608,10,989
102,AM,201609,10,1045
103,AM,201610,10,1058
104,AM,201611,10,1038
105,AM,201612,10,941
106,AM,201701,10,1036
107,AM,201702,10,1168
108,AM,201703,10,1217
109,AM,201704,10,1438
110,AM,201705,10,1185
111,AM,201706,10,929
112,AM,201707,10,807
113,AM,201708,10,618
114,AM,201709,10,775
115,AM,201710,10,804
116,AM,201711,10,862
117,AM,201712,10,762
118,AM,201801,10,748
119,AM,201802,10,1016
120,AM,201803,10,936
121,AM,201804,10,1285
122,AM,201805,10,1184
123,AM,201806,10,861
124,AM,201807,10,935
125,AM,201808,10,691
126,AM,201809,10,907
127,AM,201810,10,927
128,AM,201811,10,852
129,AM,201812,10,907
130,AM,201901,10,836
131,AM,201902,10,910
132,AM,201903,10,991
133,AM,201904,10,1134
134,AM,201905,10,1006
135,AM,201906,10,734
136,AM,201907,10,810
137,AM,201908,10,629
138,AM,201909,10,986
139,AM,201910,10,1084
140,AM,201911,10,927
141,AM,201912,10,924
142,AM,202001,10,728
143,AM,202002,10,875
144,AM,202003,10,801
145,AM,202004,10,851
146,AM,202005,10,785
147,AM,202006,10,792
148,AM,202007,10,915
149,AM,202008,10,587
150,AM,202009,10,1156
151,AM,200803,11,2
152,AM,200804,11,4
153,AM,200810,11,1
154,AM,200811,11,5
155,AM,200812,11,2
156,AM,200901,11,11
157,AM,200902,11,1
158,AM,200903,11,7
159,AM,200904,11,8
160,AM,200905,11,13
161,AM,200906,11,3
162,AM,200907,11,5
163,AM,200908,11,9
164,AM,200909,11,14
