,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,BU,200803,10,109
1,BU,200804,10,155
2,BU,200805,10,158
3,BU,200806,10,159
4,BU,200807,10,217
5,BU,200808,10,121
6,BU,200809,10,120
7,BU,200810,10,145
8,BU,200811,10,159
9,BU,200812,10,189
10,BU,200901,10,707
11,BU,200902,10,674
12,BU,200903,10,497
13,BU,200904,10,544
14,BU,200905,10,504
15,BU,200906,10,315
16,BU,200907,10,306
17,BU,200908,10,594
18,BU,200909,10,691
19,BU,200910,10,573
20,BU,200911,10,525
21,BU,200912,10,524
22,BU,201001,10,794
23,BU,201002,10,659
24,BU,201003,10,160
25,BU,201004,10,299
26,BU,201005,10,222
27,BU,201006,10,223
28,BU,201007,10,339
29,BU,201008,10,602
30,BU,201009,10,537
31,BU,201010,10,520
32,BU,201011,10,568
33,BU,201012,10,494
34,BU,201101,10,450
35,BU,201102,10,460
36,BU,201103,10,448
37,BU,201104,10,485
38,BU,201105,10,474
39,BU,201106,10,580
40,BU,201107,10,822
41,BU,201108,10,465
42,BU,201109,10,745
43,BU,201110,10,654
44,BU,201111,10,613
45,BU,201112,10,532
46,BU,201201,10,698
47,BU,201202,10,753
48,BU,201203,10,693
49,BU,201204,10,618
50,BU,201205,10,764
51,BU,201206,10,654
52,BU,201207,10,868
53,BU,201208,10,532
54,BU,201209,10,578
55,BU,201210,10,666
56,BU,201211,10,626
57,BU,201212,10,447
58,BU,201301,10,753
59,BU,201302,10,1210
60,BU,201303,10,740
61,BU,201304,10,236
62,BU,201305,10,256
63,BU,201306,10,591
64,BU,201307,10,1077
65,BU,201308,10,781
66,BU,201309,10,1285
67,BU,201310,10,1170
68,BU,201311,10,905
69,BU,201312,10,782
70,BU,201401,10,789
71,BU,201402,10,661
72,BU,201403,10,809
73,BU,201404,10,802
74,BU,201405,10,721
75,BU,201406,10,880
76,BU,201407,10,739
77,BU,201408,10,705
78,BU,201409,10,763
79,BU,201410,10,872
80,BU,201411,10,702
81,BU,201412,10,773
82,BU,201501,10,875
83,BU,201502,10,790
84,BU,201503,10,668
85,BU,201504,10,620
86,BU,201505,10,692
87,BU,201506,10,682
88,BU,201507,10,634
89,BU,201508,10,632
90,BU,201509,10,822
91,BU,201510,10,909
92,BU,201511,10,808
93,BU,201512,10,685
94,BU,201601,10,747
95,BU,201602,10,1084
96,BU,201603,10,776
97,BU,201604,10,772
98,BU,201605,10,795
99,BU,201606,10,641
100,BU,201607,10,704
101,BU,201608,10,640
102,BU,201609,10,735
103,BU,201610,10,755
104,BU,201611,10,847
105,BU,201612,10,702
106,BU,201701,10,631
107,BU,201702,10,498
108,BU,201703,10,683
109,BU,201704,10,438
110,BU,201705,10,541
111,BU,201706,10,550
112,BU,201707,10,641
113,BU,201708,10,674
114,BU,201709,10,514
115,BU,201710,10,790
116,BU,201711,10,627
117,BU,201712,10,530
118,BU,201801,10,797
119,BU,201802,10,772
120,BU,201803,10,885
121,BU,201804,10,691
122,BU,201805,10,789
123,BU,201806,10,629
124,BU,201807,10,552
125,BU,201808,10,373
126,BU,201809,10,364
127,BU,201810,10,693
128,BU,201811,10,439
129,BU,201812,10,308
130,BU,201901,10,389
131,BU,201902,10,369
132,BU,201903,10,372
133,BU,201904,10,364
134,BU,201905,10,489
135,BU,201906,10,359
136,BU,201907,10,473
137,BU,201908,10,377
138,BU,201909,10,396
139,BU,201910,10,551
140,BU,201911,10,330
141,BU,201912,10,259
142,BU,202001,10,258
143,BU,202002,10,257
144,BU,202003,10,311
145,BU,202004,10,230
146,BU,202005,10,233
147,BU,202006,10,229
148,BU,202007,10,279
149,BU,202008,10,203
150,BU,202009,10,252
151,BU,200806,11,1
152,BU,200810,11,1
153,BU,200811,11,2
154,BU,200812,11,3
155,BU,200901,11,5
156,BU,200902,11,9
157,BU,200903,11,7
158,BU,200904,11,5
159,BU,200905,11,6
160,BU,200907,11,2
161,BU,200908,11,11
162,BU,200909,11,9
163,BU,200910,11,13
164,BU,200911,11,9
165,BU,200912,11,19
166,BU,201001,11,27
167,BU,201002,11,11
168,BU,201003,11,5
169,BU,201004,11,3
170,BU,201005,11,4
171,BU,201006,11,6
172,BU,201007,11,10
173,BU,201008,11,10
174,BU,201009,11,16
175,BU,201010,11,8
176,BU,201012,11,3
177,BU,201101,11,6
178,BU,201102,11,5
179,BU,201103,11,3
180,BU,201104,11,5
181,BU,201105,11,10
182,BU,201106,11,10
183,BU,201107,11,20
184,BU,201108,11,12
185,BU,201109,11,22
186,BU,201110,11,6
187,BU,201111,11,9
188,BU,201112,11,9
189,BU,201201,11,2
190,BU,201202,11,2
191,BU,201203,11,8
192,BU,201204,11,9
193,BU,201205,11,15
194,BU,201206,11,26
195,BU,201207,11,36
196,BU,201208,11,12
197,BU,201209,11,7
198,BU,201210,11,6
199,BU,201211,11,9
200,BU,201301,11,27
201,BU,201302,11,18
202,BU,201303,11,14
203,BU,201304,11,6
204,BU,201305,11,5
205,BU,201306,11,16
206,BU,201307,11,34
207,BU,201308,11,12
208,BU,201309,11,5
209,BU,201310,11,33
210,BU,201311,11,12
211,BU,201312,11,5
212,BU,201401,11,25
213,BU,201402,11,8
214,BU,201403,11,13
215,BU,201404,11,31
216,BU,201405,11,12
217,BU,201406,11,24
218,BU,201407,11,20
219,BU,201408,11,10
220,BU,201409,11,11
221,BU,201410,11,12
222,BU,201411,11,2
223,BU,201412,11,19
224,BU,201501,11,13
225,BU,201502,11,13
226,BU,201503,11,13
227,BU,201504,11,10
228,BU,201505,11,12
229,BU,201506,11,22
230,BU,201507,11,6
231,BU,201508,11,14
232,BU,201509,11,21
233,BU,201510,11,11
234,BU,201511,11,19
235,BU,201512,11,6
236,BU,201601,11,34
237,BU,201602,11,28
238,BU,201603,11,16
239,BU,201604,11,14
240,BU,201605,11,17
241,BU,201606,11,12
242,BU,201607,11,12
243,BU,201609,11,10
244,BU,201610,11,10
245,BU,201611,11,7
246,BU,201612,11,8
247,BU,201701,11,6
248,BU,201702,11,9
249,BU,201703,11,7
250,BU,201704,11,16
251,BU,201705,11,2
252,BU,201706,11,11
253,BU,201707,11,11
254,BU,201708,11,5
255,BU,201709,11,5
256,BU,201710,11,5
257,BU,201711,11,6
258,BU,201712,11,5
259,BU,201801,11,13
260,BU,201802,11,4
261,BU,201803,11,13
262,BU,201804,11,14
263,BU,201805,11,7
264,BU,201806,11,8
265,BU,201807,11,12
266,BU,201808,11,10
267,BU,201809,11,4
268,BU,201810,11,15
269,BU,201811,11,6
270,BU,201812,11,3
271,BU,201901,11,1
272,BU,201902,11,17
273,BU,201903,11,3
274,BU,201904,11,3
275,BU,201905,11,5
276,BU,201906,11,5
277,BU,201907,11,4
278,BU,201908,11,2
279,BU,201909,11,14
280,BU,201910,11,18
281,BU,201911,11,4
282,BU,201912,11,9
283,BU,202001,11,3
284,BU,202002,11,14
285,BU,202003,11,8
286,BU,202004,11,1
287,BU,202007,11,6
288,BU,202009,11,4
289,BU,200803,12,20
290,BU,200804,12,14
291,BU,200805,12,10
292,BU,200806,12,19
293,BU,200807,12,40
294,BU,200808,12,13
295,BU,200809,12,5
296,BU,200810,12,11
297,BU,200811,12,16
298,BU,200812,12,14
299,BU,200901,12,77
300,BU,200902,12,66
301,BU,200903,12,60
302,BU,200904,12,54
303,BU,200905,12,46
304,BU,200906,12,32
305,BU,200907,12,38
306,BU,200908,12,69
307,BU,200909,12,76
308,BU,200910,12,62
309,BU,200911,12,47
310,BU,200912,12,77
311,BU,201001,12,109
312,BU,201002,12,86
313,BU,201003,12,15
314,BU,201004,12,33
315,BU,201005,12,32
316,BU,201006,12,46
317,BU,201007,12,38
318,BU,201008,12,78
319,BU,201009,12,85
320,BU,201010,12,98
321,BU,201011,12,55
322,BU,201012,12,45
323,BU,201101,12,62
324,BU,201102,12,39
325,BU,201103,12,77
326,BU,201104,12,37
327,BU,201105,12,75
328,BU,201106,12,60
329,BU,201107,12,105
330,BU,201108,12,45
331,BU,201109,12,87
332,BU,201110,12,60
333,BU,201111,12,63
334,BU,201112,12,53
335,BU,201201,12,67
336,BU,201202,12,69
337,BU,201203,12,51
338,BU,201204,12,41
339,BU,201205,12,64
340,BU,201206,12,58
341,BU,201207,12,91
342,BU,201208,12,33
343,BU,201209,12,160
344,BU,201210,12,51
345,BU,201211,12,61
346,BU,201212,12,40
347,BU,201301,12,77
348,BU,201302,12,101
349,BU,201303,12,83
350,BU,201304,12,21
351,BU,201305,12,26
352,BU,201306,12,90
353,BU,201307,12,173
354,BU,201308,12,58
355,BU,201309,12,92
356,BU,201310,12,107
357,BU,201311,12,163
358,BU,201312,12,118
359,BU,201401,12,81
360,BU,201402,12,112
361,BU,201403,12,143
362,BU,201404,12,129
363,BU,201405,12,106
364,BU,201406,12,161
365,BU,201407,12,103
366,BU,201408,12,95
367,BU,201409,12,76
368,BU,201410,12,141
369,BU,201411,12,98
370,BU,201412,12,88
371,BU,201501,12,111
372,BU,201502,12,111
373,BU,201503,12,98
374,BU,201504,12,93
375,BU,201505,12,116
376,BU,201506,12,89
377,BU,201507,12,104
378,BU,201508,12,90
379,BU,201509,12,179
380,BU,201510,12,191
381,BU,201511,12,78
382,BU,201512,12,92
383,BU,201601,12,61
384,BU,201602,12,165
385,BU,201603,12,107
386,BU,201604,12,84
387,BU,201605,12,119
388,BU,201606,12,92
389,BU,201607,12,104
390,BU,201608,12,98
391,BU,201609,12,97
392,BU,201610,12,145
393,BU,201611,12,141
394,BU,201612,12,83
395,BU,201701,12,83
396,BU,201702,12,49
397,BU,201703,12,111
398,BU,201704,12,77
399,BU,201705,12,84
400,BU,201706,12,48
401,BU,201707,12,39
402,BU,201708,12,47
403,BU,201709,12,106
404,BU,201710,12,79
405,BU,201711,12,61
406,BU,201712,12,33
407,BU,201801,12,100
408,BU,201802,12,134
409,BU,201803,12,115
410,BU,201804,12,87
411,BU,201805,12,130
412,BU,201806,12,90
413,BU,201807,12,76
414,BU,201808,12,19
415,BU,201809,12,29
416,BU,201810,12,97
417,BU,201811,12,46
418,BU,201812,12,36
419,BU,201901,12,42
420,BU,201902,12,47
421,BU,201903,12,62
422,BU,201904,12,47
423,BU,201905,12,46
424,BU,201906,12,32
425,BU,201907,12,52
426,BU,201908,12,45
427,BU,201909,12,70
428,BU,201910,12,98
429,BU,201911,12,29
430,BU,201912,12,22
431,BU,202001,12,30
432,BU,202002,12,38
433,BU,202003,12,45
434,BU,202004,12,28
435,BU,202005,12,24
436,BU,202006,12,38
437,BU,202007,12,67
438,BU,202008,12,24
439,BU,202009,12,25
440,BU,200803,13,34
441,BU,200804,13,44
442,BU,200805,13,21
443,BU,200806,13,17
444,BU,200807,13,56
445,BU,200808,13,8
446,BU,200809,13,10
447,BU,200810,13,30
448,BU,200811,13,32
449,BU,200812,13,33
450,BU,200901,13,177
451,BU,200902,13,144
452,BU,200903,13,110
453,BU,200904,13,110
454,BU,200905,13,103
455,BU,200906,13,56
456,BU,200907,13,55
457,BU,200908,13,72
458,BU,200909,13,138
459,BU,200910,13,137
460,BU,200911,13,114
461,BU,200912,13,121
462,BU,201001,13,213
463,BU,201002,13,199
464,BU,201003,13,38
465,BU,201004,13,59
466,BU,201005,13,41
467,BU,201006,13,73
468,BU,201007,13,121
469,BU,201008,13,162
470,BU,201009,13,243
471,BU,201010,13,187
472,BU,201011,13,116
473,BU,201012,13,184
474,BU,201101,13,138
475,BU,201102,13,126
476,BU,201103,13,120
477,BU,201104,13,120
478,BU,201105,13,136
479,BU,201106,13,158
480,BU,201107,13,277
481,BU,201108,13,129
482,BU,201109,13,228
483,BU,201110,13,142
484,BU,201111,13,197
485,BU,201112,13,162
486,BU,201201,13,162
487,BU,201202,13,151
488,BU,201203,13,161
489,BU,201204,13,165
490,BU,201205,13,208
491,BU,201206,13,146
492,BU,201207,13,274
493,BU,201208,13,176
494,BU,201209,13,164
495,BU,201210,13,170
496,BU,201211,13,185
497,BU,201212,13,80
498,BU,201301,13,213
499,BU,201302,13,286
500,BU,201303,13,131
501,BU,201304,13,15
502,BU,201305,13,29
503,BU,201306,13,118
504,BU,201307,13,304
505,BU,201308,13,155
506,BU,201309,13,166
507,BU,201310,13,280
508,BU,201311,13,195
509,BU,201312,13,125
510,BU,201401,13,88
511,BU,201402,13,114
512,BU,201403,13,124
513,BU,201404,13,126
514,BU,201405,13,98
515,BU,201406,13,156
516,BU,201407,13,158
517,BU,201408,13,103
518,BU,201409,13,170
519,BU,201410,13,147
520,BU,201411,13,93
521,BU,201412,13,123
522,BU,201501,13,146
523,BU,201502,13,199
524,BU,201503,13,152
525,BU,201504,13,108
526,BU,201505,13,135
527,BU,201506,13,139
528,BU,201507,13,144
529,BU,201508,13,102
530,BU,201509,13,176
531,BU,201510,13,117
532,BU,201511,13,145
533,BU,201512,13,132
534,BU,201601,13,129
535,BU,201602,13,233
536,BU,201603,13,181
537,BU,201604,13,132
538,BU,201605,13,224
539,BU,201606,13,141
540,BU,201607,13,122
541,BU,201608,13,106
542,BU,201609,13,176
543,BU,201610,13,142
544,BU,201611,13,206
