,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,CF,200803,10,37
1,CF,200804,10,30
2,CF,200805,10,26
3,CF,200806,10,59
4,CF,200807,10,50
5,CF,200808,10,31
6,CF,200809,10,18
7,CF,200810,10,55
8,CF,200811,10,41
9,CF,200812,10,29
10,CF,200901,10,58
11,CF,200902,10,32
12,CF,200903,10,42
13,CF,200904,10,56
14,CF,200905,10,42
15,CF,200906,10,50
16,CF,200907,10,114
17,CF,200908,10,46
18,CF,200909,10,84
19,CF,200910,10,85
20,CF,200911,10,130
21,CF,200912,10,60
22,CF,201001,10,62
23,CF,201002,10,67
24,CF,201003,10,28
25,CF,201004,10,62
26,CF,201005,10,37
27,CF,201006,10,52
28,CF,201007,10,48
29,CF,201008,10,64
30,CF,201009,10,71
31,CF,201010,10,70
32,CF,201011,10,75
33,CF,201012,10,58
34,CF,201101,10,60
35,CF,201102,10,33
36,CF,201103,10,70
37,CF,201104,10,42
38,CF,201105,10,57
39,CF,201106,10,55
40,CF,201107,10,47
41,CF,201108,10,56
42,CF,201109,10,54
43,CF,201110,10,43
44,CF,201111,10,56
45,CF,201112,10,104
46,CF,201201,10,58
47,CF,201202,10,54
48,CF,201203,10,211
49,CF,201204,10,58
50,CF,201205,10,69
51,CF,201206,10,57
52,CF,201207,10,60
53,CF,201208,10,64
54,CF,201209,10,62
55,CF,201210,10,59
56,CF,201211,10,345
57,CF,201212,10,227
58,CF,201301,10,141
59,CF,201302,10,133
60,CF,201303,10,237
61,CF,201304,10,85
62,CF,201305,10,96
63,CF,201306,10,112
64,CF,201307,10,190
65,CF,201308,10,320
66,CF,201309,10,178
67,CF,201310,10,232
68,CF,201311,10,378
69,CF,201312,10,180
70,CF,201401,10,161
71,CF,201402,10,163
72,CF,201403,10,208
73,CF,201404,10,159
74,CF,201405,10,143
75,CF,201406,10,146
76,CF,201407,10,212
77,CF,201408,10,232
78,CF,201409,10,155
79,CF,201410,10,249
80,CF,201411,10,224
81,CF,201412,10,190
82,CF,201501,10,259
83,CF,201502,10,201
84,CF,201503,10,285
85,CF,201504,10,211
86,CF,201505,10,229
87,CF,201506,10,204
88,CF,201507,10,211
89,CF,201508,10,432
90,CF,201509,10,272
91,CF,201510,10,328
92,CF,201511,10,257
93,CF,201512,10,236
94,CF,201601,10,223
95,CF,201602,10,297
96,CF,201603,10,262
97,CF,201604,10,306
98,CF,201605,10,412
99,CF,201606,10,337
100,CF,201607,10,271
101,CF,201608,10,350
102,CF,201609,10,397
103,CF,201610,10,310
104,CF,201611,10,320
105,CF,201612,10,365
106,CF,201701,10,252
107,CF,201702,10,244
108,CF,201703,10,373
109,CF,201704,10,244
110,CF,201705,10,342
111,CF,201706,10,293
112,CF,201707,10,240
113,CF,201708,10,210
114,CF,201709,10,242
115,CF,201710,10,242
116,CF,201711,10,272
117,CF,201712,10,299
118,CF,201801,10,290
119,CF,201802,10,257
120,CF,201803,10,335
121,CF,201804,10,236
122,CF,201805,10,452
123,CF,201806,10,298
124,CF,201807,10,261
125,CF,201808,10,336
126,CF,201809,10,258
127,CF,201810,10,373
128,CF,201811,10,254
129,CF,201812,10,434
130,CF,201901,10,572
131,CF,201902,10,166
132,CF,201903,10,260
133,CF,201904,10,244
134,CF,201905,10,276
135,CF,201906,10,210
136,CF,201907,10,238
137,CF,201908,10,276
138,CF,201909,10,206
139,CF,201910,10,197
140,CF,201911,10,268
141,CF,201912,10,188
142,CF,202001,10,175
143,CF,202002,10,153
144,CF,202003,10,176
145,CF,202004,10,139
146,CF,202005,10,193
147,CF,202006,10,282
148,CF,202007,10,172
149,CF,202008,10,102
150,CF,202009,10,151
151,CF,200803,11,1
152,CF,200804,11,1
153,CF,200805,11,2
154,CF,200806,11,1
155,CF,200807,11,1
156,CF,200809,11,3
157,CF,200811,11,4
158,CF,200901,11,6
159,CF,200902,11,2
160,CF,200903,11,1
161,CF,200910,11,10
162,CF,200911,11,9
163,CF,200912,11,5
164,CF,201001,11,4
165,CF,201002,11,3
166,CF,201004,11,2
167,CF,201005,11,2
168,CF,201010,11,2
169,CF,201011,11,1
170,CF,201108,11,1
171,CF,201109,11,1
172,CF,201111,11,2
173,CF,201112,11,5
174,CF,201201,11,1
175,CF,201204,11,3
176,CF,201205,11,3
177,CF,201207,11,1
178,CF,201209,11,1
179,CF,201211,11,3
180,CF,201212,11,5
181,CF,201303,11,6
182,CF,201304,11,2
183,CF,201306,11,5
184,CF,201307,11,12
185,CF,201308,11,1
186,CF,201309,11,4
187,CF,201310,11,6
188,CF,201311,11,5
189,CF,201401,11,2
190,CF,201402,11,1
191,CF,201403,11,7
192,CF,201404,11,2
193,CF,201405,11,1
194,CF,201406,11,3
195,CF,201408,11,1
196,CF,201409,11,5
197,CF,201411,11,1
198,CF,201412,11,9
199,CF,201501,11,10
200,CF,201502,11,4
201,CF,201503,11,10
202,CF,201505,11,3
203,CF,201506,11,2
204,CF,201507,11,2
205,CF,201508,11,9
206,CF,201509,11,19
207,CF,201510,11,5
208,CF,201511,11,7
209,CF,201512,11,2
210,CF,201601,11,3
211,CF,201602,11,12
212,CF,201603,11,9
213,CF,201604,11,2
214,CF,201605,11,19
215,CF,201606,11,2
216,CF,201607,11,6
217,CF,201608,11,11
218,CF,201609,11,1
219,CF,201610,11,11
220,CF,201611,11,4
221,CF,201612,11,15
222,CF,201703,11,3
223,CF,201704,11,1
224,CF,201705,11,7
225,CF,201707,11,8
226,CF,201708,11,3
227,CF,201709,11,2
228,CF,201711,11,7
229,CF,201712,11,4
230,CF,201801,11,7
231,CF,201802,11,14
232,CF,201803,11,11
233,CF,201804,11,2
234,CF,201805,11,9
235,CF,201806,11,11
236,CF,201807,11,3
237,CF,201808,11,11
238,CF,201809,11,7
239,CF,201810,11,5
240,CF,201811,11,9
241,CF,201812,11,5
242,CF,201901,11,4
243,CF,201903,11,12
244,CF,201904,11,4
245,CF,201905,11,3
246,CF,201906,11,4
247,CF,201907,11,8
248,CF,201908,11,15
249,CF,201909,11,4
250,CF,201910,11,11
251,CF,201911,11,2
252,CF,201912,11,2
253,CF,202001,11,3
254,CF,202002,11,2
255,CF,202003,11,3
256,CF,202004,11,4
257,CF,202005,11,2
258,CF,202006,11,3
259,CF,202007,11,9
260,CF,202009,11,17
261,CF,200803,12,11
262,CF,200804,12,9
263,CF,200805,12,6
264,CF,200806,12,10
265,CF,200807,12,9
266,CF,200808,12,9
267,CF,200809,12,7
268,CF,200810,12,24
269,CF,200811,12,20
270,CF,200812,12,6
271,CF,200901,12,9
272,CF,200902,12,4
273,CF,200903,12,7
274,CF,200904,12,16
275,CF,200905,12,2
276,CF,200906,12,8
277,CF,200907,12,27
278,CF,200908,12,8
279,CF,200909,12,12
280,CF,200910,12,8
281,CF,200911,12,36
282,CF,200912,12,13
283,CF,201001,12,6
284,CF,201002,12,9
285,CF,201003,12,9
286,CF,201004,12,7
287,CF,201005,12,7
288,CF,201006,12,26
289,CF,201007,12,2
290,CF,201008,12,8
291,CF,201009,12,10
292,CF,201010,12,12
293,CF,201011,12,6
294,CF,201012,12,5
295,CF,201101,12,10
296,CF,201102,12,5
297,CF,201103,12,8
298,CF,201104,12,9
299,CF,201105,12,10
300,CF,201106,12,5
301,CF,201107,12,11
302,CF,201108,12,16
303,CF,201109,12,11
304,CF,201110,12,15
305,CF,201111,12,13
306,CF,201112,12,42
307,CF,201201,12,15
308,CF,201202,12,7
309,CF,201203,12,26
310,CF,201204,12,5
311,CF,201205,12,12
312,CF,201206,12,12
313,CF,201207,12,8
314,CF,201208,12,15
315,CF,201209,12,5
316,CF,201210,12,15
317,CF,201211,12,104
318,CF,201212,12,62
319,CF,201301,12,25
320,CF,201302,12,17
321,CF,201303,12,84
322,CF,201304,12,14
323,CF,201305,12,23
324,CF,201306,12,38
325,CF,201307,12,62
326,CF,201308,12,41
327,CF,201309,12,36
328,CF,201310,12,46
329,CF,201311,12,54
330,CF,201312,12,24
331,CF,201401,12,29
332,CF,201402,12,22
333,CF,201403,12,33
334,CF,201404,12,35
335,CF,201405,12,38
336,CF,201406,12,11
337,CF,201407,12,22
