,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,DJ,200803,10,10
1,DJ,200804,10,45
2,DJ,200805,10,46
3,DJ,200806,10,87
4,DJ,200807,10,58
5,DJ,200808,10,29
6,DJ,200809,10,50
7,DJ,200810,10,37
8,DJ,200811,10,46
9,DJ,200812,10,38
10,DJ,200901,10,67
11,DJ,200902,10,54
12,DJ,200903,10,33
13,DJ,200904,10,28
14,DJ,200905,10,36
15,DJ,200906,10,42
16,DJ,200907,10,31
17,DJ,200908,10,40
18,DJ,200909,10,35
19,DJ,200910,10,38
20,DJ,200911,10,44
21,DJ,200912,10,33
22,DJ,201001,10,38
23,DJ,201002,10,34
24,DJ,201003,10,11
25,DJ,201004,10,23
26,DJ,201005,10,17
27,DJ,201006,10,6
28,DJ,201007,10,25
29,DJ,201008,10,27
30,DJ,201009,10,32
31,DJ,201010,10,15
32,DJ,201011,10,21
33,DJ,201012,10,55
34,DJ,201101,10,63
35,DJ,201102,10,138
36,DJ,201103,10,56
37,DJ,201104,10,117
38,DJ,201105,10,63
39,DJ,201106,10,49
40,DJ,201107,10,81
41,DJ,201108,10,77
42,DJ,201109,10,25
43,DJ,201110,10,36
44,DJ,201111,10,38
45,DJ,201112,10,41
46,DJ,201201,10,28
47,DJ,201202,10,40
48,DJ,201203,10,61
49,DJ,201204,10,55
50,DJ,201205,10,26
51,DJ,201206,10,34
52,DJ,201207,10,28
53,DJ,201208,10,39
54,DJ,201209,10,28
55,DJ,201210,10,26
56,DJ,201211,10,37
57,DJ,201212,10,32
58,DJ,201301,10,21
59,DJ,201302,10,35
60,DJ,201303,10,16
61,DJ,201304,10,7
62,DJ,201305,10,10
63,DJ,201306,10,24
64,DJ,201307,10,60
65,DJ,201308,10,86
66,DJ,201309,10,69
67,DJ,201310,10,67
68,DJ,201311,10,68
69,DJ,201312,10,66
70,DJ,201401,10,30
71,DJ,201402,10,60
72,DJ,201403,10,49
73,DJ,201404,10,67
74,DJ,201405,10,92
75,DJ,201406,10,90
76,DJ,201407,10,37
77,DJ,201408,10,57
78,DJ,201409,10,42
79,DJ,201410,10,59
80,DJ,201411,10,73
81,DJ,201412,10,132
82,DJ,201501,10,50
83,DJ,201502,10,61
84,DJ,201503,10,173
85,DJ,201504,10,219
86,DJ,201505,10,191
87,DJ,201506,10,98
88,DJ,201507,10,104
89,DJ,201508,10,84
90,DJ,201509,10,87
91,DJ,201510,10,144
92,DJ,201511,10,171
93,DJ,201512,10,113
94,DJ,201601,10,164
95,DJ,201602,10,186
96,DJ,201603,10,149
97,DJ,201604,10,179
98,DJ,201605,10,125
99,DJ,201606,10,109
100,DJ,201607,10,111
101,DJ,201608,10,82
102,DJ,201609,10,78
103,DJ,201610,10,237
104,DJ,201611,10,100
105,DJ,201612,10,114
106,DJ,201701,10,123
107,DJ,201702,10,166
108,DJ,201703,10,110
109,DJ,201704,10,134
110,DJ,201705,10,104
111,DJ,201706,10,106
112,DJ,201707,10,131
113,DJ,201708,10,83
114,DJ,201709,10,114
115,DJ,201710,10,145
116,DJ,201711,10,167
117,DJ,201712,10,123
118,DJ,201801,10,114
119,DJ,201802,10,114
120,DJ,201803,10,166
121,DJ,201804,10,193
122,DJ,201805,10,112
123,DJ,201806,10,101
124,DJ,201807,10,191
125,DJ,201808,10,166
126,DJ,201809,10,114
127,DJ,201810,10,105
128,DJ,201811,10,108
129,DJ,201812,10,136
130,DJ,201901,10,92
131,DJ,201902,10,75
132,DJ,201903,10,95
133,DJ,201904,10,86
134,DJ,201905,10,109
135,DJ,201906,10,76
136,DJ,201907,10,104
137,DJ,201908,10,52
138,DJ,201909,10,66
139,DJ,201910,10,82
140,DJ,201911,10,89
141,DJ,201912,10,92
142,DJ,202001,10,81
143,DJ,202002,10,68
144,DJ,202003,10,44
145,DJ,202004,10,69
146,DJ,202005,10,67
147,DJ,202006,10,92
148,DJ,202007,10,97
149,DJ,202008,10,61
150,DJ,202009,10,39
151,DJ,200804,11,4
152,DJ,200808,11,3
153,DJ,200810,11,1
154,DJ,200812,11,1
155,DJ,200903,11,2
156,DJ,200904,11,1
157,DJ,200905,11,2
158,DJ,201001,11,1
159,DJ,201003,11,1
160,DJ,201009,11,2
161,DJ,201011,11,2
162,DJ,201102,11,4
163,DJ,201103,11,2
164,DJ,201106,11,1
165,DJ,201107,11,1
166,DJ,201210,11,1
167,DJ,201302,11,5
168,DJ,201308,11,1
169,DJ,201311,11,1
