,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,GT,200803,10,101
1,GT,200804,10,76
2,GT,200805,10,80
3,GT,200806,10,142
4,GT,200807,10,74
5,GT,200808,10,61
6,GT,200809,10,63
7,GT,200810,10,128
8,GT,200811,10,90
9,GT,200812,10,154
10,GT,200901,10,431
11,GT,200902,10,397
12,GT,200903,10,387
13,GT,200904,10,371
14,GT,200905,10,440
15,GT,200906,10,309
16,GT,200907,10,116
17,GT,200908,10,66
18,GT,200909,10,120
19,GT,200910,10,105
20,GT,200911,10,90
21,GT,200912,10,74
22,GT,201001,10,97
23,GT,201002,10,85
24,GT,201003,10,45
25,GT,201004,10,40
26,GT,201005,10,54
27,GT,201006,10,61
28,GT,201007,10,31
29,GT,201008,10,62
30,GT,201009,10,197
31,GT,201010,10,176
32,GT,201011,10,81
33,GT,201012,10,104
34,GT,201101,10,66
35,GT,201102,10,71
36,GT,201103,10,123
37,GT,201104,10,119
38,GT,201105,10,136
39,GT,201106,10,57
40,GT,201107,10,72
41,GT,201108,10,143
42,GT,201109,10,138
43,GT,201110,10,61
44,GT,201111,10,109
45,GT,201112,10,54
46,GT,201201,10,97
47,GT,201202,10,141
48,GT,201203,10,122
49,GT,201204,10,127
50,GT,201205,10,173
51,GT,201206,10,55
52,GT,201207,10,96
53,GT,201208,10,123
54,GT,201209,10,137
55,GT,201210,10,142
56,GT,201211,10,209
57,GT,201212,10,427
58,GT,201301,10,88
59,GT,201302,10,114
60,GT,201303,10,156
61,GT,201304,10,69
62,GT,201305,10,159
63,GT,201306,10,89
64,GT,201307,10,148
65,GT,201308,10,199
66,GT,201309,10,276
67,GT,201310,10,166
68,GT,201311,10,122
69,GT,201312,10,85
70,GT,201401,10,108
71,GT,201402,10,181
72,GT,201403,10,217
73,GT,201404,10,182
74,GT,201405,10,228
75,GT,201406,10,226
76,GT,201407,10,398
77,GT,201408,10,209
78,GT,201409,10,241
79,GT,201410,10,143
80,GT,201411,10,179
81,GT,201412,10,85
82,GT,201501,10,141
83,GT,201502,10,133
84,GT,201503,10,270
85,GT,201504,10,224
86,GT,201505,10,228
87,GT,201506,10,237
88,GT,201507,10,303
89,GT,201508,10,441
90,GT,201509,10,452
91,GT,201510,10,351
92,GT,201511,10,234
93,GT,201512,10,221
94,GT,201601,10,285
95,GT,201602,10,210
96,GT,201603,10,319
97,GT,201604,10,269
98,GT,201605,10,269
99,GT,201606,10,250
100,GT,201607,10,228
101,GT,201608,10,184
102,GT,201609,10,209
103,GT,201610,10,174
104,GT,201611,10,188
105,GT,201612,10,248
106,GT,201701,10,205
107,GT,201702,10,232
108,GT,201703,10,418
109,GT,201704,10,270
110,GT,201705,10,193
111,GT,201706,10,158
112,GT,201707,10,207
113,GT,201708,10,267
114,GT,201709,10,393
115,GT,201710,10,195
116,GT,201711,10,188
117,GT,201712,10,280
118,GT,201801,10,174
119,GT,201802,10,272
120,GT,201803,10,252
121,GT,201804,10,231
122,GT,201805,10,252
123,GT,201806,10,697
124,GT,201807,10,285
125,GT,201808,10,261
126,GT,201809,10,452
127,GT,201810,10,540
128,GT,201811,10,234
129,GT,201812,10,583
130,GT,201901,10,396
131,GT,201902,10,239
132,GT,201903,10,322
133,GT,201904,10,306
134,GT,201905,10,337
135,GT,201906,10,427
136,GT,201907,10,470
137,GT,201908,10,388
138,GT,201909,10,198
139,GT,201910,10,137
140,GT,201911,10,186
141,GT,201912,10,204
142,GT,202001,10,257
143,GT,202002,10,138
144,GT,202003,10,165
145,GT,202004,10,206
146,GT,202005,10,149
147,GT,202006,10,152
148,GT,202007,10,66
149,GT,202008,10,105
150,GT,202009,10,127
151,GT,200803,11,1
152,GT,200804,11,1
153,GT,200805,11,1
154,GT,200806,11,4
155,GT,200808,11,4
156,GT,200809,11,2
157,GT,200810,11,1
158,GT,200903,11,1
159,GT,200905,11,4
160,GT,200909,11,9
161,GT,200910,11,1
162,GT,200912,11,4
163,GT,201001,11,1
164,GT,201002,11,9
165,GT,201010,11,3
166,GT,201011,11,1
167,GT,201012,11,2
168,GT,201101,11,1
169,GT,201103,11,2
170,GT,201107,11,1
171,GT,201108,11,6
172,GT,201112,11,1
173,GT,201201,11,6
174,GT,201202,11,3
175,GT,201203,11,1
