,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,MA,200803,10,12
1,MA,200804,10,11
2,MA,200805,10,4
3,MA,200806,10,7
4,MA,200807,10,14
5,MA,200808,10,15
6,MA,200809,10,4
7,MA,200810,10,19
8,MA,200811,10,24
9,MA,200812,10,42
10,MA,200901,10,183
11,MA,200902,10,369
12,MA,200903,10,616
13,MA,200904,10,189
14,MA,200905,10,133
15,MA,200906,10,97
16,MA,200907,10,46
17,MA,200908,10,79
18,MA,200909,10,124
19,MA,200910,10,122
20,MA,200911,10,51
21,MA,200912,10,99
22,MA,201001,10,58
23,MA,201002,10,44
24,MA,201003,10,18
25,MA,201004,10,28
26,MA,201005,10,32
27,MA,201006,10,9
28,MA,201007,10,21
29,MA,201008,10,24
30,MA,201009,10,11
31,MA,201010,10,38
32,MA,201011,10,152
33,MA,201012,10,28
34,MA,201101,10,29
35,MA,201102,10,52
36,MA,201103,10,70
37,MA,201104,10,18
38,MA,201105,10,27
39,MA,201106,10,40
40,MA,201107,10,19
41,MA,201108,10,18
42,MA,201109,10,26
43,MA,201110,10,10
44,MA,201111,10,20
45,MA,201112,10,17
46,MA,201201,10,49
47,MA,201202,10,67
48,MA,201203,10,53
49,MA,201204,10,30
50,MA,201205,10,50
51,MA,201206,10,67
52,MA,201207,10,144
53,MA,201208,10,84
54,MA,201209,10,59
55,MA,201210,10,26
56,MA,201211,10,27
57,MA,201212,10,32
58,MA,201301,10,34
59,MA,201302,10,25
60,MA,201303,10,49
61,MA,201304,10,13
62,MA,201305,10,29
63,MA,201306,10,44
64,MA,201307,10,61
65,MA,201308,10,73
66,MA,201309,10,96
67,MA,201310,10,198
68,MA,201311,10,76
69,MA,201312,10,110
70,MA,201401,10,80
71,MA,201402,10,95
72,MA,201403,10,90
73,MA,201404,10,80
74,MA,201405,10,50
75,MA,201406,10,78
76,MA,201407,10,67
77,MA,201408,10,53
78,MA,201409,10,34
79,MA,201410,10,125
80,MA,201411,10,96
81,MA,201412,10,47
82,MA,201501,10,58
83,MA,201502,10,60
84,MA,201503,10,101
85,MA,201504,10,75
86,MA,201505,10,85
87,MA,201506,10,108
88,MA,201507,10,115
89,MA,201508,10,110
90,MA,201509,10,84
91,MA,201510,10,118
92,MA,201511,10,75
93,MA,201512,10,73
94,MA,201601,10,60
95,MA,201602,10,50
96,MA,201603,10,181
97,MA,201604,10,120
98,MA,201605,10,76
99,MA,201606,10,154
100,MA,201607,10,135
101,MA,201608,10,63
102,MA,201609,10,101
103,MA,201610,10,94
104,MA,201611,10,146
105,MA,201612,10,121
106,MA,201701,10,150
107,MA,201702,10,96
108,MA,201703,10,140
109,MA,201704,10,80
110,MA,201705,10,92
111,MA,201706,10,64
112,MA,201707,10,35
113,MA,201708,10,77
114,MA,201709,10,82
115,MA,201710,10,210
116,MA,201711,10,314
117,MA,201712,10,109
118,MA,201801,10,160
119,MA,201802,10,62
120,MA,201803,10,102
121,MA,201804,10,106
122,MA,201805,10,76
123,MA,201806,10,65
124,MA,201807,10,54
125,MA,201808,10,74
126,MA,201809,10,100
127,MA,201810,10,83
128,MA,201811,10,147
129,MA,201812,10,109
130,MA,201901,10,77
131,MA,201902,10,55
132,MA,201903,10,78
133,MA,201904,10,90
134,MA,201905,10,46
135,MA,201906,10,55
136,MA,201907,10,63
137,MA,201908,10,165
138,MA,201909,10,157
139,MA,201910,10,70
140,MA,201911,10,50
141,MA,201912,10,53
142,MA,202001,10,40
143,MA,202002,10,61
144,MA,202003,10,61
145,MA,202004,10,130
146,MA,202005,10,265
147,MA,202006,10,64
148,MA,202007,10,160
149,MA,202008,10,61
150,MA,202009,10,70
151,MA,200804,11,1
152,MA,200807,11,4
153,MA,200902,11,2
154,MA,200903,11,31
155,MA,200904,11,1
156,MA,200905,11,1
157,MA,200907,11,2
158,MA,200908,11,6
159,MA,200909,11,5
160,MA,200910,11,6
161,MA,200912,11,4
162,MA,201004,11,3
163,MA,201008,11,1
164,MA,201009,11,3
165,MA,201012,11,1
166,MA,201103,11,1
167,MA,201105,11,2
168,MA,201201,11,1
169,MA,201208,11,1
170,MA,201308,11,1
171,MA,201309,11,1
172,MA,201310,11,1
173,MA,201405,11,2
174,MA,201409,11,2
175,MA,201410,11,1
176,MA,201503,11,3
177,MA,201507,11,3
178,MA,201511,11,2
179,MA,201603,11,3
180,MA,201604,11,7
181,MA,201609,11,1
182,MA,201610,11,18
183,MA,201611,11,3
184,MA,201701,11,1
185,MA,201703,11,2
186,MA,201710,11,5
187,MA,201711,11,3
188,MA,201804,11,5
189,MA,201805,11,1
190,MA,201806,11,2
191,MA,201808,11,1
192,MA,201810,11,3
193,MA,201812,11,2
194,MA,201905,11,1
195,MA,201908,11,3
196,MA,201911,11,1
197,MA,201912,11,2
198,MA,202003,11,1
199,MA,202004,11,1
200,MA,202005,11,5
201,MA,202007,11,1
202,MA,202008,11,1
203,MA,200804,12,1
204,MA,200805,12,4
205,MA,200806,12,1
206,MA,200807,12,3
207,MA,200810,12,5
208,MA,200811,12,4
209,MA,200812,12,3
210,MA,200901,12,31
211,MA,200902,12,73
212,MA,200903,12,177
213,MA,200904,12,20
214,MA,200905,12,20
215,MA,200906,12,31
216,MA,200907,12,15
217,MA,200908,12,16
218,MA,200909,12,13
219,MA,200910,12,21
220,MA,200911,12,18
221,MA,200912,12,18
222,MA,201001,12,20
223,MA,201002,12,17
224,MA,201004,12,7
225,MA,201005,12,6
226,MA,201006,12,1
227,MA,201007,12,8
228,MA,201008,12,12
229,MA,201009,12,6
230,MA,201010,12,5
231,MA,201011,12,36
232,MA,201012,12,9
233,MA,201102,12,9
234,MA,201103,12,2
235,MA,201104,12,7
236,MA,201105,12,3
237,MA,201106,12,11
238,MA,201107,12,1
239,MA,201108,12,3
240,MA,201109,12,5
241,MA,201111,12,3
242,MA,201112,12,8
243,MA,201201,12,15
244,MA,201202,12,2
245,MA,201203,12,5
246,MA,201204,12,3
247,MA,201205,12,4
248,MA,201206,12,1
249,MA,201207,12,6
250,MA,201208,12,15
251,MA,201209,12,2
252,MA,201210,12,5
253,MA,201211,12,2
254,MA,201212,12,5
255,MA,201301,12,9
256,MA,201302,12,2
257,MA,201303,12,6
258,MA,201305,12,1
259,MA,201306,12,2
260,MA,201307,12,9
261,MA,201308,12,2
262,MA,201309,12,4
263,MA,201310,12,30
264,MA,201311,12,7
265,MA,201312,12,22
266,MA,201401,12,9
267,MA,201402,12,4
268,MA,201403,12,9
269,MA,201404,12,7
270,MA,201405,12,9
271,MA,201406,12,9
272,MA,201407,12,7
273,MA,201408,12,17
274,MA,201409,12,6
275,MA,201410,12,14
276,MA,201411,12,32
277,MA,201412,12,4
278,MA,201501,12,16
279,MA,201502,12,11
280,MA,201503,12,11
281,MA,201504,12,11
282,MA,201505,12,39
283,MA,201506,12,21
284,MA,201507,12,29
285,MA,201508,12,16
286,MA,201509,12,11
287,MA,201510,12,18
288,MA,201511,12,7
289,MA,201512,12,6
290,MA,201601,12,7
291,MA,201602,12,10
292,MA,201603,12,10
293,MA,201604,12,26
294,MA,201605,12,7
295,MA,201606,12,15
296,MA,201607,12,16
297,MA,201608,12,13
298,MA,201609,12,10
299,MA,201610,12,33
300,MA,201611,12,27
301,MA,201612,12,40
302,MA,201701,12,28
303,MA,201702,12,8
304,MA,201703,12,26
305,MA,201704,12,15
306,MA,201705,12,10
307,MA,201706,12,13
308,MA,201707,12,10
309,MA,201708,12,5
310,MA,201709,12,13
311,MA,201710,12,58
312,MA,201711,12,79
313,MA,201712,12,7
314,MA,201801,12,10
315,MA,201802,12,19
316,MA,201803,12,3
317,MA,201804,12,7
318,MA,201805,12,21
319,MA,201806,12,14
320,MA,201807,12,12
321,MA,201808,12,11
322,MA,201809,12,10
323,MA,201810,12,19
324,MA,201811,12,12
325,MA,201812,12,16
326,MA,201901,12,7
327,MA,201902,12,8
328,MA,201903,12,10
329,MA,201904,12,11
330,MA,201905,12,8
331,MA,201906,12,4
332,MA,201907,12,4
333,MA,201908,12,36
334,MA,201909,12,19
335,MA,201910,12,8
336,MA,201911,12,11
337,MA,201912,12,1
338,MA,202001,12,2
339,MA,202002,12,6
340,MA,202003,12,12
341,MA,202004,12,36
342,MA,202005,12,65
343,MA,202006,12,11
344,MA,202007,12,27
345,MA,202008,12,19
346,MA,202009,12,1
347,MA,200803,13,6
348,MA,200804,13,1
349,MA,200805,13,4
350,MA,200807,13,1
351,MA,200808,13,9
352,MA,200810,13,2
353,MA,200811,13,4
354,MA,200812,13,6
355,MA,200901,13,24
356,MA,200902,13,58
357,MA,200903,13,163
358,MA,200904,13,30
359,MA,200905,13,41
360,MA,200906,13,32
361,MA,200907,13,5
362,MA,200908,13,29
363,MA,200909,13,16
364,MA,200910,13,17
365,MA,200911,13,7
366,MA,200912,13,19
367,MA,201001,13,4
368,MA,201002,13,15
369,MA,201004,13,6
370,MA,201005,13,4
371,MA,201006,13,2
372,MA,201007,13,5
373,MA,201008,13,16
374,MA,201009,13,14
375,MA,201010,13,5
376,MA,201011,13,48
377,MA,201012,13,10
378,MA,201101,13,7
379,MA,201102,13,12
380,MA,201103,13,20
381,MA,201104,13,6
382,MA,201105,13,7
383,MA,201106,13,14
384,MA,201107,13,4
385,MA,201108,13,7
386,MA,201109,13,7
387,MA,201110,13,6
388,MA,201111,13,8
389,MA,201112,13,2
390,MA,201201,13,25
391,MA,201202,13,17
392,MA,201203,13,8
393,MA,201204,13,11
394,MA,201205,13,11
395,MA,201206,13,3
396,MA,201207,13,28
397,MA,201208,13,7
398,MA,201209,13,14
399,MA,201210,13,1
400,MA,201211,13,3
401,MA,201212,13,4
402,MA,201301,13,7
403,MA,201302,13,2
404,MA,201303,13,5
405,MA,201304,13,12
406,MA,201305,13,1
407,MA,201306,13,8
408,MA,201307,13,8
409,MA,201308,13,17
410,MA,201309,13,27
411,MA,201310,13,54
412,MA,201311,13,23
413,MA,201312,13,42
414,MA,201401,13,19
415,MA,201402,13,14
416,MA,201403,13,39
417,MA,201404,13,8
418,MA,201405,13,11
419,MA,201406,13,1
420,MA,201407,13,10
421,MA,201408,13,3
422,MA,201409,13,7
423,MA,201410,13,16
424,MA,201411,13,8
425,MA,201412,13,6
426,MA,201501,13,20
427,MA,201502,13,7
428,MA,201503,13,24
429,MA,201504,13,9
430,MA,201505,13,55
431,MA,201506,13,9
432,MA,201507,13,34
433,MA,201508,13,67
434,MA,201509,13,21
435,MA,201510,13,16
436,MA,201511,13,19
437,MA,201512,13,14
438,MA,201601,13,19
439,MA,201602,13,15
440,MA,201603,13,18
441,MA,201604,13,8
442,MA,201605,13,11
443,MA,201606,13,17
