MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.927,233,15.0,63,81,21,11,8,12,2.0,1.0,132,0.0,4.0,4.0,3.0,15.0,9,6.0,2.0,41,3,0.0,18,0.0,2.0,258,1.0,0.0,4.0,329,6.0,391,385,13.0,7.0,284,44,154,2.0,1.0,1.0,5.0,2.0,47,58,21,0.0,6.0,4.0,36,31,6.0,16.0,0.0,2.0,38,1.0,0.0,3.0,51,1.0,7.0,6,21,0.0,0.0,0.0,0.0,31,2.0,0.0,0.0,3.0,3.0,0.0,0.0,33,117,123,3.0,8,13.0,0.0,58,0.0,6.0,0.0,4.0,20.0,3.0,0.0,6.0,52,8.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,48,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,24,19.0,0.0,13.0,2.0,0.0,0.0,1.0,7.0,19,103,6.0,0.0,7.0,5.0,17,12.0,0.0,0.0,3.0,70,0.0,5,25,7.0,0.0,0.0,0.0,0.0,0.0
200804,1.9276666666666664,199,8.0,50,40,5,4,8,14,1.0,1.0,86,3.0,3.0,10.0,0.0,11.0,22,2.0,0.0,41,11,0.0,11,0.0,12.0,180,0.0,0.0,10.0,488,18.0,383,371,24.0,4.0,317,18,133,0.0,0.0,3.0,4.0,4.0,113,43,11,8.0,8.0,1.0,40,49,3.0,0.0,0.0,4.0,62,10.0,0.0,4.0,25,0.0,0.0,6,50,1.0,0.0,0.0,0.0,18,7.0,0.0,0.0,7.0,0.0,0.0,0.0,42,23,74,1.0,10,1.0,0.0,35,0.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,17,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13,6.0,0.0,11.0,4.0,0.0,1.0,2.0,0.0,20,129,8.0,1.0,23.0,7.0,52,2.0,0.0,3.0,5.0,94,2.0,4,12,12.0,0.0,0.0,0.0,0.0,0.0
200805,1.9283333333333328,275,1.0,62,96,18,10,6,21,0.0,1.0,131,1.0,1.0,8.0,0.0,2.0,6,2.0,1.0,53,9,4.0,14,0.0,5.0,192,0.0,0.0,4.0,305,0.0,334,297,10.0,4.0,234,39,204,3.0,0.0,2.0,3.0,0.0,224,56,30,2.0,8.0,0.0,26,30,3.0,7.0,1.0,7.0,49,10.0,0.0,6.0,42,1.0,1.0,7,33,1.0,0.0,0.0,0.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,35,62,0.0,10,0.0,0.0,29,0.0,1.0,0.0,1.0,11.0,0.0,1.0,5.0,8,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,15,1.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,18,158,6.0,0.0,8.0,3.0,3,3.0,0.0,2.0,13.0,118,0.0,18,28,3.0,14.0,0.0,0.0,0.0,2.0
200806,1.929,285,6.0,43,59,14,5,14,6,0.0,0.0,186,5.0,1.0,4.0,0.0,14.0,7,3.0,0.0,46,13,5.0,7,1.0,8.0,334,0.0,0.0,0.0,318,6.0,507,497,18.0,12.0,232,90,111,5.0,0.0,8.0,4.0,0.0,135,33,5,0.0,9.0,1.0,28,29,3.0,6.0,0.0,0.0,43,1.0,0.0,3.0,69,0.0,2.0,2,51,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,30,75,0.0,3,26.0,1.0,48,0.0,2.0,1.0,2.0,8.0,2.0,1.0,0.0,31,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,12,4.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,30,125,2.0,3.0,4.0,5.0,27,4.0,0.0,0.0,3.0,63,0.0,12,8,24.0,1.0,0.0,0.0,0.0,0.0
200807,1.9296666666666664,257,6.0,29,61,19,4,9,4,0.0,0.0,143,1.0,3.0,6.0,2.0,11.0,23,4.0,2.0,32,11,1.0,3,0.0,6.0,702,11.0,0.0,1.0,391,12.0,608,607,6.0,4.0,360,50,134,2.0,0.0,0.0,2.0,0.0,71,39,6,0.0,0.0,2.0,24,31,4.0,4.0,0.0,1.0,30,2.0,0.0,6.0,116,0.0,0.0,18,46,3.0,0.0,0.0,0.0,21,10.0,0.0,0.0,2.0,1.0,0.0,0.0,26,44,25,0.0,5,24.0,0.0,37,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,32,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,16,28.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,15,100,7.0,0.0,4.0,0.0,22,0.0,0.0,0.0,3.0,99,11.0,13,67,1.0,0.0,0.0,0.0,0.0,0.0
200808,1.9303333333333328,182,2.0,31,37,26,6,10,9,2.0,0.0,97,3.0,3.0,11.0,1.0,4.0,21,0.0,1.0,77,6,1.0,16,0.0,7.0,85,5.0,0.0,3.0,218,6.0,218,201,10.0,22.0,305,78,130,2.0,0.0,12.0,0.0,6.0,123,46,20,3.0,2.0,0.0,43,18,1.0,14.0,0.0,4.0,32,0.0,0.0,3.0,40,0.0,0.0,4,22,2.0,0.0,2.0,0.0,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,20,56,5.0,6,1.0,0.0,31,0.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,23,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10,90,6.0,0.0,7.0,0.0,5,13.0,0.0,0.0,0.0,46,10.0,4,9,0.0,0.0,0.0,1.0,1.0,0.0
200809,1.931,123,1.0,21,20,11,5,13,3,8.0,0.0,79,1.0,1.0,1.0,0.0,3.0,3,1.0,1.0,37,3,0.0,6,0.0,0.0,35,0.0,0.0,0.0,142,9.0,113,107,0.0,4.0,150,22,105,3.0,0.0,2.0,2.0,1.0,79,35,18,6.0,0.0,1.0,16,27,1.0,5.0,0.0,0.0,6,3.0,0.0,5.0,10,0.0,2.0,3,12,1.0,0.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31,22,25,0.0,5,0.0,0.0,26,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,16,25,0.0,0.0,2.0,2.0,2,0.0,0.0,2.0,6.0,34,0.0,7,9,4.0,4.0,0.0,0.0,0.0,0.0
200810,1.9316666666666664,243,2.0,54,60,19,4,30,8,2.0,0.0,130,12.0,1.0,12.0,0.0,3.0,9,4.0,0.0,54,25,0.0,1,0.0,7.0,102,2.0,0.0,2.0,254,16.0,326,302,22.0,5.0,120,97,162,2.0,6.0,0.0,0.0,1.0,166,51,31,0.0,0.0,0.0,39,25,5.0,1.0,0.0,0.0,13,2.0,0.0,5.0,38,0.0,3.0,2,61,2.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,38,41,61,2.0,7,6.0,0.0,49,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6,0.0,1.0,0.0,3.0,9.0,0.0,0.0,1.0,2.0,6,6.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,17,135,1.0,2.0,10.0,2.0,45,8.0,0.0,0.0,3.0,80,1.0,15,7,7.0,4.0,0.0,0.0,0.0,0.0
200811,1.9323333333333328,236,4.0,42,56,14,1,17,12,3.0,1.0,116,1.0,0.0,10.0,0.0,7.0,14,21.0,1.0,51,14,3.0,3,0.0,1.0,179,0.0,0.0,0.0,407,8.0,358,339,56.0,1.0,203,90,182,4.0,0.0,12.0,0.0,0.0,154,31,34,0.0,5.0,0.0,43,40,2.0,4.0,0.0,5.0,15,4.0,1.0,1.0,29,0.0,2.0,11,30,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,1.0,4.0,0.0,0.0,56,37,43,2.0,9,0.0,0.0,49,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4,8.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,18,69,4.0,0.0,11.0,0.0,21,0.0,0.0,0.0,3.0,63,6.0,13,30,4.0,4.0,0.0,0.0,0.0,0.0
200812,1.933,220,3.0,37,70,15,6,5,7,4.0,0.0,169,0.0,18.0,8.0,0.0,27.0,27,9.0,4.0,46,16,0.0,16,0.0,7.0,241,0.0,0.0,0.0,381,85.0,431,404,1.0,6.0,148,51,166,1.0,3.0,6.0,0.0,0.0,190,67,12,0.0,2.0,0.0,62,21,3.0,26.0,0.0,0.0,77,14.0,0.0,3.0,18,3.0,6.0,14,28,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,116,49,5.0,11,0.0,0.0,38,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,55,7.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,17.0,127,0.0,4.0,0.0,24.0,5.0,0.0,0.0,2.0,2.0,28,26.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13,103,0.0,0.0,20.0,3.0,3,5.0,0.0,6.0,11.0,137,3.0,17,21,18.0,12.0,0.0,0.0,0.0,1.0
