MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.051,105,1.0,18,28.0,4.0,6.0,9.0,6.0,1.0,0.0,66,0.0,2.0,3.0,0.0,0.0,14.0,1.0,0.0,46.0,12.0,6.0,2.0,0.0,3.0,239,1.0,0.0,7.0,257,0.0,220,233,61.0,24.0,133,22.0,73,2.0,0.0,2.0,0.0,0.0,88.0,14,2.0,1.0,0.0,0.0,20,9,6.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,20,0.0,2.0,3.0,10.0,0.0,2.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,18,25,0.0,2.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,10.0,0.0,0.0,3.0,6.0,4,4.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200804,2.05125,44,0.0,11,9.0,2.0,3.0,0.0,3.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,3.0,1.0,0.0,0.0,21,0.0,0.0,0.0,60,0.0,46,37,0.0,3.0,24,5.0,28,0.0,0.0,0.0,0.0,0.0,11.0,11,8.0,0.0,0.0,0.0,16,3,0.0,5.0,0.0,0.0,3.0,0.0,3.0,1.0,6,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5,6.0,0.0,0.0,0.0,0.0,12,6,16,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,13,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,24,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
200805,2.0515000000000003,49,4.0,13,7.0,1.0,0.0,0.0,7.0,8.0,0.0,71,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,32,0.0,0.0,0.0,42,0.0,50,40,4.0,0.0,38,8.0,19,1.0,0.0,0.0,0.0,0.0,27.0,10,0.0,0.0,0.0,0.0,64,9,0.0,5.0,0.0,0.0,6.0,4.0,0.0,0.0,2,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6,1.0,0.0,0.0,2.0,0.0,3,16,43,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,32,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,45,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
200806,2.05175,64,7.0,4,14.0,0.0,1.0,0.0,2.0,1.0,0.0,49,2.0,3.0,2.0,3.0,15.0,7.0,4.0,3.0,14.0,5.0,1.0,4.0,0.0,1.0,21,0.0,0.0,3.0,95,3.0,64,60,9.0,14.0,86,12.0,24,5.0,0.0,0.0,0.0,0.0,12.0,9,2.0,0.0,0.0,0.0,3,11,0.0,5.0,0.0,2.0,13.0,0.0,0.0,0.0,2,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1.0,5,8,10,1.0,20.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,20,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,12,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
200807,2.052,37,0.0,18,17.0,2.0,1.0,2.0,4.0,0.0,0.0,35,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,3.0,0.0,1.0,26,0.0,1.0,0.0,44,0.0,58,47,6.0,9.0,68,13.0,27,0.0,0.0,0.0,2.0,3.0,9.0,6,2.0,2.0,0.0,0.0,12,8,5.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,3,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,3,12,13,0.0,21.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,28,1.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200808,2.0522500000000004,43,0.0,13,8.0,3.0,1.0,3.0,0.0,0.0,0.0,18,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,14,0.0,0.0,0.0,52,2.0,50,52,1.0,0.0,7,7.0,11,0.0,0.0,0.0,0.0,0.0,24.0,15,2.0,0.0,1.0,0.0,16,6,1.0,2.0,0.0,0.0,11.0,1.0,3.0,1.0,2,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,8,2.0,0.0,0.0,3.0,0.0,12,13,42,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,41,1.0,0.0,6.0,0.0,10.0,0.0,0.0,1.0,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200809,2.0525,58,0.0,9,12.0,3.0,0.0,0.0,0.0,3.0,0.0,18,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,8,6.0,27,26,0.0,6.0,7,6.0,14,0.0,0.0,0.0,0.0,0.0,2.0,4,0.0,0.0,2.0,0.0,15,9,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,9,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,8,10,12,0.0,14.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,79,0.0,0.0,9.0,0.0,17.0,0.0,0.0,0.0,18,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200810,2.05275,38,1.0,3,14.0,1.0,2.0,0.0,1.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,14,0.0,19,22,0.0,0.0,13,4.0,10,0.0,0.0,0.0,0.0,0.0,5.0,1,2.0,0.0,0.0,0.0,4,3,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,13,1,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200811,2.0530000000000004,50,5.0,10,24.0,5.0,4.0,0.0,1.0,1.0,0.0,26,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,19,3.0,87,84,1.0,0.0,3,4.0,31,0.0,0.0,2.0,0.0,0.0,10.0,8,5.0,0.0,0.0,0.0,9,4,10.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,4,0.0,9.0,7.0,10.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,13,7,33,0.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
200812,2.05325,112,0.0,10,14.0,2.0,2.0,4.0,3.0,0.0,0.0,77,0.0,6.0,2.0,0.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,2.0,48,1.0,0.0,0.0,65,5.0,45,44,0.0,4.0,40,4.0,68,0.0,1.0,0.0,0.0,0.0,11.0,12,0.0,0.0,0.0,0.0,11,19,0.0,3.0,5.0,0.0,9.0,0.0,0.0,3.0,9,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,1.0,0.0,7,16,20,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,5.0,22,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,53,0.0,2.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0
