MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.7080000000000002,109,0.0,20,34,9,1.0,3.0,13,2.0,0.0,79,1.0,4.0,3.0,3.0,2.0,4.0,0.0,0.0,43,10,0.0,3.0,0.0,3.0,190,0.0,0.0,0.0,128,3.0,144,115,4.0,3.0,82,9,105,0.0,0.0,30.0,0.0,0.0,64,22,21,2.0,0.0,0.0,16,12,1.0,4.0,0.0,3.0,14,2.0,0.0,15.0,5,0.0,1.0,0.0,18,0.0,0.0,0.0,0.0,6,2.0,0.0,0.0,6.0,0.0,0.0,0.0,18,11,19,5.0,5,0.0,0.0,33,0.0,0.0,3.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,1.0,0.0,0.0,3.0,6,60,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26,0.0,6.0,12,2.0,1.0,0.0,0.0,0.0,0.0
200804,1.7100833333333334,155,0.0,14,44,17,0.0,3.0,2,4.0,0.0,61,0.0,3.0,3.0,2.0,3.0,6.0,0.0,0.0,17,25,1.0,0.0,0.0,3.0,90,0.0,0.0,0.0,170,0.0,113,106,1.0,3.0,93,19,55,0.0,0.0,0.0,0.0,1.0,31,21,6,0.0,0.0,0.0,4,39,0.0,0.0,0.0,1.0,4,1.0,0.0,34.0,5,0.0,0.0,4.0,22,0.0,0.0,2.0,0.0,14,3.0,0.0,1.0,4.0,0.0,0.0,0.0,15,19,16,1.0,3,2.0,0.0,17,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,43.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3,19,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,60,0.0,3.0,45,0.0,0.0,0.0,0.0,0.0,0.0
200805,1.7121666666666668,158,0.0,10,21,4,0.0,4.0,13,1.0,0.0,29,3.0,2.0,5.0,1.0,1.0,8.0,1.0,0.0,22,10,0.0,5.0,0.0,6.0,91,0.0,0.0,0.0,134,0.0,98,84,5.0,0.0,62,15,50,0.0,0.0,4.0,0.0,0.0,20,28,6,7.0,0.0,0.0,6,41,7.0,3.0,3.0,0.0,13,2.0,0.0,7.0,9,0.0,2.0,6.0,24,2.0,0.0,0.0,0.0,8,3.0,0.0,0.0,8.0,0.0,0.0,0.0,19,18,28,0.0,4,0.0,0.0,15,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,10,2.0,3.0,0.0,0.0,11.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,13,17,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
200806,1.7142500000000005,159,1.0,19,17,2,0.0,5.0,8,0.0,0.0,53,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,16,6,5.0,7.0,0.0,1.0,38,0.0,0.0,0.0,127,0.0,83,75,0.0,0.0,78,1,64,3.0,0.0,3.0,0.0,0.0,26,18,5,2.0,0.0,0.0,20,20,8.0,2.0,0.0,0.0,11,2.0,0.0,2.0,13,0.0,4.0,2.0,26,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,6,5,0.0,4,0.0,0.0,15,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7,0.0,2.0,0.0,0.0,9.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,8,20,0.0,2.0,1.0,2.0,1.0,8.0,0.0,0.0,22,1.0,4.0,3,2.0,0.0,0.0,0.0,0.0,0.0
200807,1.7163333333333337,217,0.0,40,56,14,16.0,7.0,7,0.0,0.0,99,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,22,8,11.0,7.0,0.0,5.0,130,0.0,0.0,0.0,92,2.0,106,103,0.0,1.0,91,29,97,2.0,4.0,0.0,0.0,0.0,94,28,8,0.0,0.0,0.0,20,86,2.0,0.0,0.0,0.0,42,7.0,0.0,4.0,34,0.0,0.0,9.0,41,1.0,0.0,0.0,0.0,20,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28,43,40,0.0,5,1.0,0.0,36,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,6.0,2.0,16.0,1.0,0.0,4.0,3.0,2.0,21,67,4.0,0.0,2.0,3.0,0.0,5.0,0.0,4.0,48,2.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0
200808,1.7184166666666667,121,0.0,13,8,1,0.0,4.0,8,3.0,0.0,29,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,15,2,0.0,1.0,0.0,0.0,56,0.0,0.0,0.0,45,0.0,81,76,0.0,0.0,36,8,31,0.0,0.0,0.0,0.0,0.0,26,8,5,0.0,2.0,0.0,16,23,0.0,7.0,0.0,0.0,7,0.0,0.0,3.0,8,0.0,0.0,0.0,11,0.0,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,9,0.0,3,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,4,37,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,16,9.0,6.0,2,0.0,0.0,0.0,1.0,2.0,1.0
200809,1.7205,120,0.0,5,10,4,0.0,8.0,8,1.0,0.0,47,5.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,14,6,1.0,5.0,0.0,0.0,59,0.0,0.0,0.0,65,0.0,67,64,8.0,2.0,46,37,53,1.0,0.0,0.0,0.0,0.0,22,10,11,7.0,0.0,1.0,9,10,1.0,3.0,0.0,0.0,5,8.0,0.0,0.0,12,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,6,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5,25,23,0.0,7,0.0,0.0,16,1.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5,24,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,37,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.7225833333333336,145,1.0,11,30,12,0.0,3.0,1,0.0,0.0,70,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,41,7,1.0,4.0,0.0,1.0,55,0.0,0.0,0.0,169,6.0,78,63,2.0,0.0,41,20,66,0.0,0.0,5.0,0.0,0.0,40,24,13,2.0,0.0,0.0,6,17,0.0,6.0,4.0,0.0,7,2.0,0.0,2.0,6,0.0,0.0,1.0,34,2.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,13,17,0.0,2,0.0,0.0,16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,3,23,3.0,3.0,2.0,0.0,4.0,1.0,0.0,5.0,29,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0
200811,1.7246666666666668,159,2.0,16,32,3,3.0,6.0,11,0.0,0.0,33,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18,3,0.0,2.0,0.0,11.0,43,0.0,0.0,0.0,116,0.0,119,119,1.0,1.0,89,11,46,1.0,1.0,4.0,0.0,0.0,38,7,9,0.0,0.0,0.0,9,59,1.0,0.0,0.0,0.0,16,3.0,0.0,13.0,24,0.0,2.0,11.0,19,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,3.0,2.0,0.0,0.0,23,8,34,0.0,4,0.0,1.0,20,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,8,66,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
200812,1.72675,189,3.0,14,33,4,1.0,0.0,7,6.0,0.0,63,0.0,0.0,2.0,0.0,1.0,4.0,4.0,2.0,25,8,1.0,3.0,0.0,0.0,104,2.0,0.0,0.0,140,12.0,138,118,0.0,4.0,113,16,68,1.0,0.0,3.0,2.0,0.0,56,39,20,0.0,0.0,1.0,21,28,10.0,2.0,0.0,0.0,3,3.0,0.0,5.0,16,0.0,4.0,9.0,22,4.0,0.0,0.0,0.0,13,1.0,0.0,0.0,3.0,0.0,0.0,0.0,17,15,23,0.0,2,0.0,0.0,30,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,20,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,8.0,3.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,4,25,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,35,2.0,9.0,12,0.0,1.0,0.0,0.0,0.0,0.0
