MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_126,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_135,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,2.175,4100,145,1035,991,387,148,223,372,78,5.0,2841,67,70,81,40,357,318,68,5,747,298,33,94,8.0,102,2109,30,6.0,11.0,2870,218,3447,3123,16,51,2159,721,2133,41,48,53,29,5.0,611,673,569,82,11.0,13.0,521,555,117,125,4.0,21,806,62,9.0,171,619,1.0,23,95,777,7.0,4.0,13.0,0.0,610,88,3.0,0.0,178,57,6.0,1.0,960,1301,1425,7,363,17,0.0,1053,0.0,26,7.0,51,88,0.0,4,129,48,516,92,2.0,53.0,6.0,0.0,0.0,2.0,141,58,334,1719,38.0,8,16.0,351,77,10.0,26.0,23,113,217,63,7.0,122,42,0.0,1.0,357,185,630,1364,63,374,300,53,244,16,0.0,0.0,28,1994,129,212,571,31,34,0.0,0.0,6.0,1.0
200804,2.1758333333333333,3921,142,813,887,332,100,188,265,78,7.0,2671,52,52,105,29,189,343,14,7,763,304,72,134,2.0,92,3043,39,2.0,5.0,4320,163,4654,4259,115,46,2871,558,2242,61,33,50,76,6.0,750,692,545,73,23.0,4.0,369,614,139,170,16.0,8,618,75,10.0,68,538,1.0,15,140,667,10.0,8.0,0.0,0.0,591,13,0.0,1.0,138,45,9.0,0.0,753,1122,1269,34,290,6,0.0,930,3.0,5,5.0,54,92,0.0,6,111,22,407,172,0.0,92.0,2.0,0.0,0.0,0.0,89,13,263,1393,6.0,10,22.0,100,25,3.0,12.0,28,35,228,75,7.0,424,42,0.0,5.0,249,125,553,1429,23,190,145,68,164,15,0.0,2.0,33,1278,75,142,294,36,17,0.0,0.0,3.0,0.0
200805,2.1766666666666667,4968,72,919,1274,338,155,91,299,492,4.0,2859,43,57,231,19,113,240,17,7,803,320,44,449,0.0,92,3423,43,3.0,8.0,3616,152,5332,4779,114,82,3045,702,2079,32,13,50,56,12.0,595,1008,472,28,2.0,14.0,1592,790,152,1524,14.0,20,449,31,4.0,97,489,0.0,64,231,1035,6.0,11.0,1.0,0.0,436,34,0.0,0.0,122,6,4.0,0.0,490,826,841,6,224,8,1.0,772,1.0,5,3.0,18,86,0.0,30,69,52,437,201,0.0,13.0,5.0,0.0,0.0,0.0,90,8,71,638,0.0,9,12.0,44,41,1.0,26.0,18,104,208,64,12.0,317,109,1.0,34.0,154,183,348,657,72,108,96,60,165,11,0.0,0.0,20,1319,35,176,182,22,19,0.0,0.0,2.0,0.0
200806,2.1775,3103,78,541,724,295,87,89,150,79,9.0,2115,28,35,50,6,75,177,6,6,726,277,48,143,0.0,60,2367,66,1.0,4.0,2593,68,3502,3214,116,57,2206,631,1439,12,12,37,35,1.0,763,602,431,35,8.0,16.0,566,491,39,270,17.0,10,432,56,1.0,40,459,5.0,20,123,791,1.0,1.0,1.0,0.0,320,37,3.0,1.0,34,15,9.0,2.0,445,538,627,2,135,36,6.0,579,2.0,7,1.0,30,48,0.0,33,76,31,311,42,0.0,9.0,0.0,0.0,0.0,0.0,23,2,77,377,2.0,8,19.0,79,27,11.0,5.0,22,49,161,30,9.0,84,80,0.0,8.0,103,110,362,905,47,89,75,27,108,10,0.0,0.0,23,840,82,123,197,27,9,0.0,0.0,3.0,0.0
200807,2.178333333333333,2673,93,574,574,243,107,140,171,46,2.0,1683,35,36,47,7,91,165,4,7,555,219,26,103,3.0,59,1822,70,2.0,15.0,2609,105,3150,2888,42,50,1621,376,1261,18,9,21,21,7.0,766,546,437,40,8.0,14.0,336,433,41,135,46.0,7,388,83,2.0,55,411,3.0,31,136,655,9.0,1.0,2.0,0.0,247,14,5.0,3.0,45,21,9.0,1.0,430,503,675,10,136,6,0.0,628,2.0,12,6.0,24,45,0.0,14,25,362,316,21,0.0,7.0,6.0,0.0,0.0,0.0,46,21,49,291,13.0,9,4.0,30,45,5.0,8.0,17,39,106,19,7.0,69,52,0.0,2.0,70,81,347,1067,15,32,124,46,226,30,0.0,2.0,17,914,25,138,259,24,13,0.0,0.0,1.0,0.0
200808,2.1791666666666667,2377,77,567,499,240,76,68,146,51,3.0,1322,24,72,34,13,54,95,8,6,422,182,22,71,0.0,54,1338,39,0.0,5.0,2253,216,2538,2218,54,24,1093,465,1224,10,12,52,30,2.0,411,400,423,31,12.0,2.0,224,331,70,109,6.0,9,259,34,4.0,60,322,5.0,7,61,509,0.0,2.0,0.0,0.0,205,13,0.0,0.0,41,6,6.0,0.0,320,484,508,4,146,5,0.0,478,1.0,5,1.0,12,45,0.0,12,46,80,255,20,0.0,39.0,0.0,0.0,1.0,0.0,55,1,122,344,7.0,7,2.0,18,35,6.0,26.0,8,13,94,48,6.0,19,11,0.0,13.0,42,76,319,899,48,108,76,41,138,30,0.0,4.0,25,936,14,96,221,28,26,0.0,0.0,21.0,0.0
200809,2.18,2614,53,502,668,227,53,95,222,49,11.0,1460,25,15,50,3,38,113,14,9,416,180,16,88,5.0,46,1333,21,0.0,14.0,2147,63,2448,2212,37,125,1390,376,1126,14,2,37,52,0.0,463,599,883,19,5.0,10.0,328,441,37,254,0.0,8,242,36,7.0,114,253,5.0,5,68,905,1.0,0.0,1.0,0.0,254,27,0.0,0.0,12,15,5.0,0.0,298,780,555,1,185,8,0.0,496,7.0,3,0.0,21,39,0.0,3,32,21,269,12,0.0,2.0,8.0,0.0,0.0,0.0,50,2,25,95,0.0,4,2.0,17,48,8.0,7.0,43,25,102,27,5.0,70,27,0.0,43.0,24,58,445,910,27,14,56,49,131,18,0.0,0.0,23,598,13,99,88,21,18,0.0,0.0,3.0,1.0
200810,2.180833333333333,3176,96,771,801,280,119,99,247,64,13.0,2132,43,52,93,14,64,216,6,6,714,300,15,185,4.0,101,2069,70,0.0,8.0,3170,85,3401,3210,72,76,1817,968,1468,13,8,19,72,6.0,716,692,978,19,0.0,1.0,526,528,38,281,23.0,19,353,54,0.0,139,518,1.0,16,103,875,6.0,1.0,2.0,0.0,413,19,0.0,3.0,29,21,1.0,0.0,479,918,852,4,251,59,1.0,772,16.0,17,3.0,36,67,0.0,3,42,57,361,12,0.0,17.0,5.0,0.0,0.0,0.0,68,4,25,279,3.0,10,6.0,23,35,0.0,8.0,10,16,152,56,13.0,57,28,0.0,18.0,50,125,452,1017,30,22,120,237,224,22,0.0,0.0,26,855,22,104,111,41,33,0.0,0.0,0.0,0.0
200811,2.181666666666666,3320,109,674,820,267,127,128,162,45,3.0,1951,30,66,67,13,75,217,6,5,605,328,33,151,0.0,67,2054,45,8.0,8.0,3129,104,3165,2919,81,48,1883,829,1423,26,5,64,38,2.0,842,701,675,28,6.0,1.0,450,511,71,214,12.0,13,449,56,7.0,63,392,9.0,29,91,689,7.0,6.0,2.0,0.0,334,10,3.0,0.0,136,16,4.0,0.0,536,568,750,2,266,11,2.0,686,0.0,11,0.0,23,95,0.0,5,39,7,307,9,0.0,19.0,2.0,0.0,0.0,0.0,75,9,30,347,16.0,49,7.0,50,45,3.0,9.0,11,24,98,96,4.0,15,96,0.0,8.0,62,112,302,1037,18,33,111,81,234,8,0.0,1.0,64,924,33,81,123,16,12,3.0,0.0,0.0,11.0
200812,2.1825,3581,78,725,906,401,126,74,349,42,18.0,2300,46,61,88,13,90,219,29,4,669,299,39,269,3.0,89,1972,49,1.0,13.0,2811,230,3953,3581,54,48,1636,631,1733,25,3,48,38,7.0,1084,769,644,149,7.0,6.0,542,599,86,225,21.0,10,371,61,7.0,84,527,9.0,14,119,743,7.0,2.0,0.0,0.0,506,18,0.0,2.0,87,36,0.0,0.0,518,712,912,5,346,23,0.0,786,2.0,8,10.0,44,46,0.0,7,66,15,431,22,0.0,4.0,3.0,0.0,0.0,0.0,83,6,54,271,3.0,14,7.0,13,57,2.0,2.0,12,38,152,50,15.0,56,103,0.0,18.0,48,52,355,1469,10,38,93,78,134,19,0.0,0.0,48,1085,24,136,158,67,37,0.0,2.0,4.0,3.0
