MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_201,event_count_202,event_count_203
200803,2.3,136,5.0,22,14,7,3.0,0.0,3.0,3.0,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,5.0,10.0,0.0,4.0,58,0.0,0.0,0.0,49,0.0,84,87,0.0,2.0,134,5,59,1.0,0.0,0.0,0.0,1.0,3.0,104,9.0,0.0,2.0,0.0,26,33,1.0,4.0,0.0,2.0,7,1.0,0.0,0.0,20,0.0,1.0,0.0,23,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,18,13,42,0.0,6.0,0.0,0.0,17,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,71,0.0,2.0,3.0,10.0,12.0,0.0,0.0,0.0,24,0.0,2.0,5,0.0,0.0,0.0,0.0,0.0
200804,2.2958333333333334,350,4.0,83,62,30,0.0,1.0,4.0,2.0,0.0,244,7.0,7.0,15.0,21.0,16.0,8.0,0.0,1.0,40,4.0,8.0,31.0,0.0,5.0,79,0.0,0.0,0.0,87,0.0,174,156,2.0,0.0,246,5,127,3.0,2.0,0.0,0.0,0.0,15.0,184,16.0,0.0,6.0,0.0,117,26,2.0,72.0,7.0,5.0,9,10.0,0.0,25.0,10,0.0,10.0,9.0,48,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,76,97,0.0,4.0,0.0,0.0,58,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,44,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,131,0.0,0.0,0.0,37.0,4.0,1.0,2.0,0.0,6.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,42.0,12,55,5.0,17.0,16.0,2.0,12.0,1.0,0.0,5.0,195,17.0,9.0,82,1.0,0.0,0.0,0.0,0.0
200805,2.2916666666666665,182,5.0,35,11,8,5.0,3.0,3.0,1.0,0.0,84,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,14,1.0,0.0,14.0,0.0,0.0,30,0.0,0.0,0.0,71,0.0,101,103,0.0,0.0,217,15,100,4.0,0.0,0.0,1.0,0.0,11.0,130,2.0,2.0,0.0,0.0,16,9,13.0,9.0,0.0,1.0,40,2.0,0.0,6.0,26,0.0,0.0,5.0,17,0.0,0.0,0.0,0.0,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,30,51,0.0,3.0,0.0,0.0,102,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,17,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,21,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2,49,1.0,8.0,1.0,44.0,2.0,0.0,0.0,0.0,23,0.0,1.0,5,0.0,1.0,0.0,0.0,0.0
200806,2.2875,117,1.0,8,19,3,2.0,2.0,2.0,0.0,0.0,48,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1,4.0,2.0,3.0,0.0,0.0,1,0.0,0.0,0.0,28,0.0,32,33,2.0,0.0,116,6,27,0.0,0.0,2.0,0.0,0.0,3.0,71,2.0,0.0,0.0,0.0,5,9,2.0,5.0,2.0,0.0,4,8.0,0.0,0.0,7,0.0,1.0,2.0,12,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,29,0.0,1.0,0.0,0.0,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1,18,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,13,1.0,6.0,3,0.0,2.0,0.0,0.0,0.0
200807,2.283333333333333,137,7.0,22,19,1,0.0,8.0,4.0,1.0,0.0,69,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18,2.0,0.0,3.0,0.0,0.0,24,2.0,0.0,0.0,39,0.0,80,74,0.0,1.0,166,23,32,6.0,0.0,0.0,0.0,0.0,7.0,103,0.0,4.0,14.0,0.0,57,14,27.0,18.0,8.0,9.0,16,5.0,0.0,2.0,17,0.0,5.0,1.0,26,0.0,1.0,0.0,0.0,30,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12,6,40,0.0,10.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,55,1.0,3.0,7.0,2.0,18.0,0.0,0.0,0.0,59,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
200808,2.279166666666667,200,0.0,30,22,8,0.0,1.0,1.0,0.0,0.0,46,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,15,0.0,0.0,6.0,0.0,1.0,38,0.0,0.0,0.0,42,2.0,88,87,0.0,0.0,184,4,18,2.0,0.0,0.0,0.0,0.0,11.0,102,0.0,0.0,0.0,0.0,72,14,2.0,45.0,2.0,0.0,10,2.0,0.0,3.0,3,0.0,0.0,7.0,42,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,0.0,2.0,0.0,0.0,13,16,25,0.0,1.0,1.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,21,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,18.0,2.0,2.0,0.0,1.0,1.0,1.0,20.0,5,22,12.0,0.0,4.0,23.0,5.0,0.0,0.0,1.0,57,0.0,53.0,16,0.0,0.0,0.0,0.0,0.0
200809,2.275,328,1.0,55,37,13,0.0,4.0,2.0,3.0,0.0,167,1.0,7.0,65.0,1.0,0.0,5.0,0.0,0.0,16,2.0,1.0,78.0,0.0,2.0,103,0.0,0.0,0.0,131,27.0,194,161,2.0,1.0,198,7,42,0.0,0.0,0.0,0.0,1.0,10.0,210,8.0,0.0,0.0,0.0,119,32,2.0,125.0,0.0,22.0,18,0.0,1.0,2.0,11,0.0,12.0,2.0,13,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7,25,53,0.0,4.0,0.0,0.0,9,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,1.0,0.0,11.0,0.0,21.0,26,17,14.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,85,0.0,32.0,4,0.0,7.0,0.0,0.0,0.0
200810,2.270833333333333,198,0.0,10,14,10,0.0,0.0,2.0,0.0,0.0,94,0.0,2.0,18.0,0.0,4.0,0.0,0.0,0.0,14,1.0,3.0,9.0,0.0,4.0,61,0.0,0.0,0.0,69,2.0,117,105,1.0,0.0,31,2,51,0.0,1.0,0.0,0.0,0.0,26.0,127,7.0,4.0,1.0,0.0,76,29,8.0,27.0,4.0,2.0,9,0.0,0.0,4.0,8,0.0,1.0,2.0,11,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14,21,24,0.0,8.0,0.0,0.0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7,40,3.0,0.0,16.0,0.0,6.0,0.0,0.0,1.0,27,0.0,5.0,5,0.0,0.0,0.0,0.0,0.0
200811,2.2666666666666666,281,1.0,35,38,16,3.0,1.0,9.0,9.0,0.0,91,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,12,2.0,0.0,14.0,0.0,0.0,55,0.0,0.0,0.0,53,15.0,180,174,0.0,0.0,31,1,76,1.0,2.0,3.0,0.0,2.0,39.0,151,3.0,0.0,0.0,0.0,61,15,37.0,124.0,3.0,3.0,42,0.0,0.0,0.0,7,0.0,2.0,16.0,104,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7,14,97,2.0,8.0,0.0,0.0,24,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,12.0,10,153,0.0,0.0,8.0,3.0,35.0,0.0,0.0,2.0,67,3.0,6.0,22,0.0,0.0,0.0,0.0,0.0
200812,2.2625,126,0.0,12,21,4,0.0,0.0,3.0,0.0,0.0,26,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,8,5.0,0.0,12.0,0.0,0.0,19,0.0,0.0,0.0,32,1.0,56,47,0.0,1.0,23,5,30,1.0,1.0,0.0,0.0,2.0,6.0,102,2.0,0.0,3.0,0.0,16,35,2.0,14.0,3.0,0.0,23,1.0,0.0,0.0,11,0.0,2.0,2.0,14,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14,3,13,0.0,5.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,43,10.0,0.0,4.0,8.0,22.0,0.0,1.0,8.0,31,0.0,4.0,5,0.0,0.0,0.0,0.0,0.0
