MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.859,585,9,97,152,57,22,14,5,1,0.0,353,8,3,5,0.0,26,28,7.0,4.0,80,27,3.0,11,0.0,4,218,0.0,1.0,1.0,270,6,417,405,1.0,2,182,75,279,0.0,4.0,2.0,2.0,0.0,80,69,53,0.0,2.0,0.0,44,56,18,15,5.0,0.0,98,9,0.0,0.0,55,0.0,0.0,10,98,1.0,0.0,0.0,0.0,70,0.0,0.0,0.0,8.0,7.0,0.0,0.0,82,110,125,3.0,13,0.0,0.0,105,0.0,3.0,0.0,10.0,0.0,0.0,1.0,1.0,82,0.0,0.0,0.0,0.0,0.0,0.0,14,3.0,7.0,67,0.0,4.0,0.0,1.0,6.0,0.0,2.0,11.0,2.0,21,11.0,0.0,9.0,4.0,0.0,0.0,11.0,20,89,244,13,5.0,8,7,10,3,0.0,0.0,5,142,1.0,14,37,10.0,3.0,0.0,0.0,0.0,0.0
200804,1.8588333333333331,621,6,138,174,78,12,16,11,1,1.0,436,5,4,10,1.0,22,26,4.0,0.0,89,49,2.0,22,0.0,20,272,0.0,0.0,1.0,303,8,503,461,8.0,7,212,53,200,1.0,0.0,2.0,10.0,0.0,72,115,80,16.0,5.0,3.0,67,73,4,25,6.0,0.0,84,22,0.0,7.0,100,2.0,1.0,11,165,0.0,1.0,1.0,0.0,104,12.0,0.0,0.0,8.0,0.0,0.0,0.0,93,143,268,1.0,29,7.0,0.0,138,1.0,0.0,0.0,9.0,16.0,2.0,0.0,0.0,51,6.0,0.0,0.0,0.0,0.0,0.0,18,0.0,10.0,85,0.0,1.0,0.0,3.0,9.0,0.0,3.0,4.0,6.0,40,12.0,0.0,5.0,8.0,0.0,0.0,8.0,30,252,581,11,11.0,32,12,40,7,0.0,4.0,3,222,5.0,9,68,7.0,0.0,0.0,0.0,0.0,0.0
200805,1.8586666666666667,554,6,82,113,76,11,5,33,7,0.0,345,8,6,4,2.0,11,31,0.0,3.0,116,68,9.0,20,0.0,29,194,10.0,0.0,0.0,274,22,414,396,6.0,1,187,54,260,2.0,4.0,4.0,0.0,1.0,99,124,54,3.0,5.0,1.0,65,89,6,43,2.0,4.0,60,15,1.0,2.0,57,0.0,4.0,57,87,0.0,1.0,0.0,0.0,98,11.0,0.0,0.0,9.0,8.0,1.0,0.0,76,88,136,0.0,17,14.0,0.0,104,0.0,0.0,0.0,13.0,8.0,10.0,5.0,1.0,58,4.0,0.0,0.0,0.0,0.0,0.0,14,0.0,10.0,116,5.0,5.0,1.0,5.0,4.0,2.0,6.0,4.0,7.0,36,10.0,0.0,0.0,1.0,0.0,1.0,6.0,24,68,299,29,22.0,10,4,42,14,0.0,0.0,6,154,11.0,14,34,8.0,3.0,0.0,0.0,0.0,2.0
200806,1.8585,732,17,109,149,107,15,16,28,14,0.0,363,14,4,10,3.0,6,21,6.0,1.0,81,42,10.0,20,0.0,11,384,0.0,0.0,0.0,314,16,575,572,5.0,5,203,46,224,4.0,2.0,2.0,4.0,0.0,124,81,72,20.0,0.0,0.0,37,79,15,60,0.0,1.0,88,12,0.0,16.0,84,3.0,0.0,11,166,0.0,0.0,0.0,0.0,130,1.0,0.0,0.0,6.0,5.0,0.0,0.0,85,129,208,11.0,39,6.0,0.0,107,0.0,0.0,0.0,9.0,18.0,1.0,7.0,1.0,59,5.0,0.0,2.0,1.0,0.0,0.0,18,5.0,14.0,88,0.0,7.0,2.0,8.0,31.0,0.0,2.0,11.0,35.0,69,6.0,3.0,0.0,5.0,0.0,2.0,13.0,29,114,401,16,14.0,36,7,32,6,0.0,0.0,26,312,7.0,3,45,13.0,8.0,0.0,0.0,0.0,0.0
200807,1.8583333333333332,634,24,171,181,77,33,14,14,27,1.0,288,15,22,4,7.0,44,36,2.0,0.0,87,47,1.0,10,0.0,7,295,1.0,0.0,1.0,368,24,427,391,18.0,3,198,86,256,1.0,0.0,1.0,17.0,3.0,119,73,46,25.0,0.0,1.0,57,125,5,4,0.0,7.0,97,17,2.0,11.0,68,6.0,0.0,10,141,17.0,0.0,0.0,0.0,113,1.0,0.0,1.0,0.0,1.0,0.0,0.0,94,84,258,2.0,22,11.0,0.0,199,0.0,1.0,0.0,19.0,0.0,0.0,8.0,15.0,68,2.0,0.0,3.0,0.0,0.0,0.0,60,1.0,0.0,27,0.0,2.0,0.0,8.0,8.0,0.0,6.0,1.0,5.0,43,2.0,1.0,2.0,3.0,0.0,2.0,12.0,21,127,680,9,0.0,22,3,39,16,0.0,0.0,40,385,0.0,21,32,44.0,1.0,0.0,0.0,0.0,0.0
200808,1.8581666666666667,563,5,83,107,42,15,31,49,5,4.0,300,4,2,17,3.0,11,20,4.0,1.0,48,20,2.0,10,0.0,10,192,0.0,0.0,1.0,322,28,441,407,0.0,8,121,27,180,12.0,2.0,2.0,3.0,2.0,64,45,67,0.0,4.0,1.0,40,95,3,20,1.0,0.0,39,36,0.0,14.0,80,0.0,1.0,13,81,2.0,5.0,2.0,0.0,76,0.0,0.0,0.0,10.0,6.0,0.0,0.0,82,59,162,0.0,31,9.0,0.0,121,0.0,0.0,0.0,2.0,15.0,1.0,9.0,0.0,64,0.0,0.0,2.0,1.0,0.0,0.0,9,1.0,3.0,38,0.0,0.0,4.0,5.0,5.0,2.0,2.0,0.0,6.0,25,8.0,1.0,2.0,12.0,0.0,0.0,14.0,22,77,355,10,4.0,29,1,17,10,0.0,0.0,12,209,0.0,14,53,3.0,0.0,0.0,0.0,0.0,0.0
200809,1.858,570,32,119,140,91,21,28,16,10,0.0,293,20,1,5,3.0,8,20,2.0,0.0,74,16,3.0,2,7.0,12,203,6.0,1.0,0.0,218,39,554,509,2.0,12,140,61,227,3.0,3.0,0.0,5.0,6.0,55,81,56,10.0,0.0,2.0,63,61,5,24,0.0,4.0,58,15,5.0,21.0,74,0.0,0.0,11,120,2.0,2.0,0.0,0.0,88,13.0,0.0,0.0,7.0,5.0,0.0,0.0,85,79,149,0.0,30,4.0,0.0,138,0.0,3.0,0.0,4.0,10.0,2.0,9.0,5.0,40,3.0,0.0,1.0,6.0,0.0,0.0,12,0.0,4.0,58,0.0,1.0,3.0,3.0,10.0,1.0,1.0,6.0,0.0,34,0.0,0.0,4.0,1.0,0.0,3.0,1.0,33,84,346,13,1.0,13,22,29,35,0.0,0.0,2,154,0.0,17,46,4.0,0.0,0.0,0.0,0.0,0.0
200810,1.8578333333333328,694,20,174,176,97,30,21,50,9,2.0,371,6,7,11,4.0,16,38,4.0,0.0,113,14,2.0,25,2.0,8,414,3.0,2.0,1.0,428,14,726,688,22.0,35,206,62,384,5.0,0.0,2.0,15.0,8.0,261,107,71,34.0,1.0,1.0,53,119,11,36,6.0,0.0,83,21,1.0,20.0,70,0.0,2.0,18,129,1.0,0.0,0.0,0.0,100,2.0,0.0,0.0,12.0,3.0,1.0,0.0,95,75,196,0.0,15,2.0,0.0,145,0.0,1.0,0.0,11.0,5.0,6.0,4.0,0.0,62,7.0,0.0,0.0,0.0,0.0,0.0,45,0.0,7.0,30,4.0,0.0,0.0,4.0,26.0,4.0,18.0,4.0,9.0,27,5.0,2.0,3.0,15.0,0.0,4.0,63.0,30,74,403,5,11.0,19,16,27,14,0.0,0.0,36,271,7.0,24,54,37.0,6.0,0.0,0.0,0.0,0.0
200811,1.8576666666666664,937,4,162,228,122,9,17,42,38,0.0,471,7,15,30,13.0,13,20,0.0,3.0,115,20,4.0,11,0.0,6,432,2.0,0.0,0.0,426,21,808,811,5.0,3,187,98,414,12.0,2.0,0.0,23.0,2.0,111,72,36,14.0,1.0,4.0,98,154,23,27,2.0,1.0,48,22,1.0,18.0,98,0.0,4.0,9,189,4.0,0.0,0.0,0.0,74,0.0,0.0,0.0,9.0,3.0,0.0,0.0,133,166,278,0.0,56,16.0,0.0,162,0.0,1.0,0.0,11.0,4.0,2.0,4.0,0.0,100,4.0,0.0,3.0,2.0,0.0,0.0,92,0.0,11.0,35,0.0,1.0,2.0,3.0,64.0,11.0,22.0,5.0,3.0,48,18.0,1.0,1.0,3.0,0.0,2.0,30.0,31,100,491,10,4.0,4,9,27,57,0.0,0.0,166,507,7.0,16,117,60.0,6.0,0.0,0.0,2.0,0.0
200812,1.8575,744,7,205,208,96,17,14,75,30,1.0,416,4,6,15,5.0,26,29,8.0,4.0,128,42,4.0,45,2.0,3,373,0.0,0.0,18.0,467,27,799,679,7.0,28,315,150,484,7.0,5.0,3.0,4.0,0.0,98,125,57,29.0,1.0,1.0,107,117,33,53,4.0,0.0,88,53,0.0,10.0,124,0.0,9.0,38,165,1.0,2.0,5.0,0.0,124,5.0,0.0,4.0,9.0,10.0,1.0,0.0,115,114,173,0.0,55,2.0,0.0,123,0.0,2.0,1.0,6.0,12.0,1.0,4.0,4.0,66,5.0,0.0,9.0,2.0,0.0,0.0,40,12.0,9.0,100,0.0,3.0,4.0,0.0,25.0,3.0,2.0,9.0,20.0,19,10.0,6.0,10.0,3.0,0.0,0.0,1.0,62,57,389,47,0.0,16,11,19,12,0.0,0.0,14,283,6.0,12,60,25.0,16.0,0.0,0.0,0.0,0.0
