MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
200803,1.365,163,11.0,34,31,11.0,3.0,4.0,12,17.0,0.0,79,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,32,4,1.0,9,0.0,3.0,44,0.0,0.0,0.0,75,9.0,103,102,0.0,11,55,48,73,0.0,0.0,0.0,0.0,0.0,26,32,4,0.0,0.0,0.0,9,52,5.0,17.0,0.0,4.0,9,3.0,0.0,10,32,0.0,0.0,1,41,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,19,21,1.0,9,0.0,0.0,35,0.0,0.0,0.0,5.0,0.0,0.0,5.0,11.0,13,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,2.0,2.0,0.0,7.0,18,47,0.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,2.0,58,0.0,5,11,0.0,1.0,0.0,0.0,2.0,0.0
200804,1.3669166666666666,145,6.0,15,28,11.0,0.0,4.0,8,0.0,0.0,67,2.0,1.0,15.0,3.0,5.0,6.0,0.0,3.0,45,14,6.0,5,0.0,7.0,160,0.0,0.0,1.0,106,22.0,111,109,10.0,8,74,42,76,3.0,2.0,0.0,4.0,0.0,38,54,17,18.0,0.0,0.0,24,34,0.0,5.0,1.0,1.0,26,0.0,0.0,12,10,0.0,0.0,8,40,0.0,0.0,0.0,0.0,11,1.0,0.0,4.0,1.0,0.0,0.0,0.0,22,28,12,0.0,4,1.0,0.0,34,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,27,49,2.0,0.0,14.0,0.0,6.0,3.0,0.0,3.0,1.0,56,0.0,3,5,2.0,1.0,0.0,0.0,0.0,0.0
200805,1.3688333333333331,215,0.0,25,50,16.0,5.0,1.0,3,0.0,0.0,92,3.0,0.0,18.0,0.0,3.0,18.0,5.0,0.0,43,6,6.0,34,0.0,8.0,131,0.0,0.0,0.0,165,9.0,165,139,20.0,13,108,44,65,0.0,0.0,0.0,0.0,0.0,96,21,3,21.0,0.0,2.0,33,39,3.0,4.0,1.0,6.0,14,2.0,0.0,2,20,2.0,0.0,8,42,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25,14,33,0.0,6,0.0,0.0,27,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,10,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,1.0,0.0,6.0,4.0,0.0,0.0,4.0,21,62,3.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,107,1.0,4,6,3.0,0.0,0.0,0.0,0.0,0.0
200806,1.37075,163,6.0,19,38,13.0,4.0,3.0,9,0.0,0.0,70,0.0,4.0,2.0,0.0,3.0,9.0,1.0,0.0,36,13,3.0,12,2.0,15.0,65,2.0,0.0,0.0,137,3.0,117,121,0.0,20,91,20,87,0.0,0.0,0.0,1.0,0.0,18,33,74,1.0,0.0,0.0,35,67,4.0,2.0,0.0,0.0,14,16.0,0.0,20,19,0.0,3.0,2,28,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,36,28,0.0,4,4.0,0.0,46,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,9,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,12,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,1.0,0.0,2.0,0.0,0.0,3.0,12,50,9.0,0.0,6.0,1.0,7.0,2.0,0.0,0.0,2.0,63,1.0,7,4,1.0,1.0,3.0,0.0,0.0,2.0
200807,1.3726666666666667,103,1.0,46,30,17.0,3.0,2.0,4,5.0,0.0,64,0.0,1.0,5.0,0.0,6.0,2.0,1.0,0.0,16,11,0.0,5,0.0,1.0,38,0.0,0.0,0.0,89,4.0,110,94,0.0,8,56,10,43,1.0,0.0,0.0,0.0,0.0,35,19,20,0.0,0.0,0.0,12,28,1.0,11.0,0.0,2.0,16,1.0,0.0,3,20,0.0,0.0,5,43,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,56,12,16,0.0,7,0.0,0.0,20,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,12,27,5.0,0.0,2.0,8.0,9.0,0.0,0.0,0.0,1.0,62,1.0,2,24,1.0,2.0,0.0,0.0,0.0,0.0
200808,1.3745833333333333,162,3.0,48,30,6.0,3.0,10.0,6,0.0,0.0,101,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,78,13,0.0,18,0.0,17.0,78,1.0,0.0,0.0,63,11.0,93,85,1.0,1,53,15,66,0.0,0.0,3.0,2.0,0.0,114,15,20,0.0,1.0,0.0,17,25,3.0,3.0,0.0,0.0,18,1.0,0.0,4,16,0.0,0.0,1,30,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,15,19,0.0,2,2.0,0.0,16,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12,23,2.0,0.0,8.0,1.0,6.0,0.0,0.0,0.0,1.0,47,1.0,6,4,2.0,1.0,0.0,0.0,0.0,0.0
200809,1.3765,119,5.0,22,20,0.0,2.0,4.0,2,1.0,0.0,42,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,44,4,0.0,6,0.0,8.0,139,1.0,0.0,0.0,231,10.0,67,59,2.0,5,74,9,57,1.0,1.0,2.0,1.0,0.0,26,31,5,7.0,0.0,0.0,9,75,0.0,5.0,0.0,0.0,16,2.0,0.0,1,7,0.0,0.0,6,36,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,16,27,1.0,6,0.0,0.0,43,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,11,15,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,56,2.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
200810,1.3784166666666668,199,7.0,27,44,16.0,3.0,8.0,5,3.0,2.0,77,0.0,0.0,1.0,1.0,1.0,6.0,2.0,0.0,30,8,2.0,24,0.0,1.0,109,2.0,0.0,0.0,150,14.0,127,108,7.0,16,50,51,127,2.0,1.0,3.0,0.0,0.0,30,25,2,0.0,1.0,0.0,42,67,0.0,12.0,0.0,0.0,32,8.0,0.0,8,9,0.0,0.0,20,42,0.0,0.0,0.0,0.0,9,2.0,0.0,0.0,0.0,1.0,0.0,0.0,16,31,30,0.0,1,0.0,0.0,32,0.0,0.0,0.0,1.0,2.0,0.0,7.0,9.0,8,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,19,35,2.0,0.0,7.0,4.0,13.0,0.0,0.0,0.0,5.0,64,0.0,5,2,0.0,2.0,0.0,0.0,0.0,0.0
200811,1.3803333333333334,179,18.0,18,40,15.0,0.0,3.0,13,0.0,0.0,94,1.0,0.0,3.0,0.0,8.0,0.0,2.0,0.0,33,11,2.0,10,0.0,0.0,67,0.0,0.0,1.0,82,5.0,91,65,6.0,1,56,27,82,0.0,0.0,1.0,2.0,0.0,72,47,8,0.0,0.0,0.0,40,60,2.0,3.0,2.0,1.0,8,0.0,0.0,4,15,0.0,0.0,5,34,0.0,0.0,0.0,0.0,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11,18,12,0.0,5,0.0,0.0,43,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,15,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10,25,0.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,6.0,48,0.0,6,16,0.0,1.0,0.0,0.0,0.0,0.0
200812,1.38225,176,0.0,19,27,13.0,1.0,0.0,11,3.0,0.0,109,0.0,3.0,0.0,2.0,7.0,1.0,4.0,0.0,64,5,0.0,9,0.0,3.0,99,0.0,0.0,0.0,164,0.0,250,128,8.0,6,68,14,105,1.0,0.0,0.0,4.0,0.0,289,35,15,0.0,0.0,0.0,52,49,6.0,27.0,0.0,0.0,39,2.0,0.0,10,22,0.0,0.0,16,70,0.0,0.0,0.0,0.0,21,2.0,0.0,0.0,0.0,5.0,1.0,0.0,37,31,14,0.0,1,0.0,1.0,61,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,15,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,0.0,5.0,35,51,0.0,0.0,5.0,5.0,10.0,1.0,0.0,3.0,1.0,65,0.0,2,5,3.0,3.0,0.0,0.0,0.0,0.0
