MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_94,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_107,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_132,event_count_133,event_count_134,event_count_136,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_165,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_184,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_196,event_count_201,event_count_202,event_count_203
201603,2.7460000000000004,583,17,119,154,59,22,10,47,10.0,0.0,340,6.0,4.0,7,9.0,30,40.0,16.0,1.0,95,21,3.0,14,0.0,11,426,0.0,0.0,2.0,489,0.0,774,724,15.0,1,169,18,373,16,7.0,1.0,2.0,3.0,31,104,28,13.0,0.0,0.0,96,52,9,36.0,0.0,3.0,71,7,2.0,8,65,10.0,0.0,52,247,3.0,0.0,0.0,0.0,94,0.0,0.0,0.0,6.0,6.0,0.0,0.0,161,208,228,2.0,18,4.0,0.0,195,0.0,0.0,0.0,4,16,4.0,2,5.0,37,1.0,0.0,3.0,0.0,0.0,0.0,43,0.0,4.0,118,25.0,14.0,0.0,9.0,7.0,0.0,2.0,0.0,14,34,9.0,1.0,38,7.0,0.0,0.0,7.0,198,95,417,21,39,105,37,113,4.0,0.0,1.0,3.0,1117,36,223,497,35,14.0,0.0,0.0,0.0,1.0
201604,2.741333333333334,454,24,94,196,17,35,4,55,7.0,0.0,274,4.0,3.0,5,10.0,5,10.0,27.0,1.0,64,10,4.0,8,0.0,8,159,2.0,0.0,0.0,283,8.0,525,515,5.0,4,69,39,351,5,7.0,3.0,0.0,2.0,52,39,27,6.0,5.0,2.0,59,115,14,7.0,1.0,1.0,39,14,0.0,4,142,0.0,0.0,27,203,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,18.0,1.0,1.0,172,213,155,3.0,30,3.0,0.0,111,0.0,8.0,2.0,5,2,2.0,7,20.0,66,1.0,0.0,7.0,1.0,0.0,0.0,38,1.0,3.0,84,29.0,3.0,1.0,6.0,3.0,0.0,1.0,4.0,4,13,8.0,1.0,18,5.0,0.0,1.0,1.0,238,72,377,9,15,108,24,136,19.0,0.0,0.0,9.0,700,1,75,273,16,2.0,0.0,0.0,6.0,7.0
201605,2.7366666666666672,443,75,74,126,31,19,19,71,19.0,0.0,287,2.0,4.0,18,18.0,1,34.0,9.0,1.0,65,17,0.0,10,0.0,10,287,11.0,0.0,1.0,403,0.0,519,531,0.0,5,270,49,376,5,36.0,0.0,7.0,0.0,61,52,14,22.0,0.0,4.0,47,160,9,19.0,2.0,5.0,35,7,5.0,39,164,4.0,0.0,14,123,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,7.0,6.0,0.0,0.0,116,113,128,7.0,25,4.0,0.0,147,0.0,0.0,2.0,20,10,7.0,6,4.0,21,1.0,0.0,0.0,1.0,0.0,0.0,30,0.0,2.0,59,36.0,2.0,5.0,1.0,14.0,0.0,1.0,0.0,15,18,5.0,7.0,17,2.0,0.0,0.0,8.0,126,65,450,9,30,52,26,143,2.0,0.0,0.0,13.0,652,17,60,176,9,12.0,0.0,0.0,2.0,17.0
201606,2.7319999999999998,442,50,77,144,57,65,20,19,24.0,0.0,332,2.0,3.0,16,14.0,9,16.0,3.0,1.0,54,20,1.0,37,0.0,19,222,2.0,13.0,0.0,364,8.0,452,394,3.0,2,144,44,346,4,1.0,3.0,4.0,0.0,34,81,12,19.0,3.0,3.0,79,175,39,18.0,0.0,9.0,103,7,1.0,7,172,0.0,18.0,35,170,0.0,0.0,0.0,0.0,70,4.0,0.0,0.0,8.0,7.0,1.0,0.0,78,223,181,7.0,15,0.0,0.0,109,0.0,0.0,1.0,6,12,0.0,10,5.0,34,1.0,0.0,0.0,1.0,0.0,0.0,45,3.0,1.0,39,10.0,3.0,1.0,16.0,17.0,0.0,1.0,5.0,21,34,6.0,31.0,10,4.0,0.0,5.0,21.0,159,130,418,15,31,77,32,255,7.0,0.0,0.0,6.0,1010,58,101,642,20,6.0,0.0,0.0,2.0,12.0
201607,2.7273333333333336,384,6,89,99,32,11,23,25,9.0,2.0,191,1.0,0.0,15,13.0,10,3.0,11.0,0.0,47,16,5.0,22,0.0,11,180,0.0,0.0,0.0,398,6.0,520,491,0.0,6,105,31,253,9,2.0,1.0,9.0,0.0,36,50,14,9.0,0.0,0.0,65,74,11,17.0,0.0,3.0,40,27,1.0,15,64,0.0,11.0,21,153,1.0,0.0,0.0,0.0,68,2.0,0.0,0.0,1.0,7.0,0.0,1.0,96,235,165,5.0,15,5.0,0.0,103,0.0,0.0,0.0,7,6,0.0,10,1.0,53,2.0,0.0,2.0,0.0,0.0,0.0,25,1.0,5.0,47,19.0,6.0,1.0,0.0,1.0,2.0,10.0,0.0,10,17,3.0,5.0,6,23.0,0.0,0.0,2.0,230,106,312,2,2,99,16,229,6.0,0.0,0.0,11.0,1185,28,42,619,34,5.0,0.0,0.0,0.0,4.0
201608,2.722666666666667,455,19,100,161,59,21,9,21,25.0,0.0,291,9.0,3.0,7,5.0,12,20.0,8.0,0.0,75,17,0.0,11,0.0,12,143,2.0,0.0,2.0,296,8.0,477,463,0.0,10,120,23,213,5,4.0,3.0,7.0,0.0,30,67,7,20.0,0.0,0.0,50,99,16,36.0,1.0,8.0,65,54,0.0,15,66,1.0,2.0,25,200,0.0,0.0,0.0,0.0,63,5.0,0.0,0.0,0.0,3.0,0.0,2.0,114,158,195,0.0,19,0.0,0.0,101,0.0,1.0,3.0,15,7,1.0,3,2.0,61,11.0,0.0,3.0,0.0,0.0,0.0,22,1.0,5.0,68,51.0,17.0,0.0,0.0,7.0,0.0,9.0,1.0,3,21,0.0,4.0,11,6.0,0.0,0.0,9.0,138,54,509,8,10,66,22,120,5.0,0.0,4.0,7.0,891,22,82,282,19,9.0,0.0,0.0,0.0,4.0
201609,2.718,397,3,110,152,47,17,9,78,12.0,0.0,286,3.0,3.0,15,8.0,5,17.0,5.0,0.0,84,9,3.0,26,2.0,8,212,5.0,0.0,2.0,331,9.0,526,469,5.0,3,136,48,312,8,2.0,5.0,10.0,1.0,103,84,23,13.0,4.0,2.0,73,91,12,22.0,0.0,1.0,124,26,2.0,16,62,1.0,0.0,24,196,4.0,2.0,0.0,0.0,62,9.0,0.0,0.0,0.0,4.0,0.0,5.0,122,252,179,1.0,20,4.0,0.0,161,0.0,0.0,50.0,8,7,5.0,6,3.0,64,4.0,0.0,3.0,0.0,0.0,1.0,23,1.0,5.0,45,44.0,31.0,3.0,0.0,1.0,0.0,1.0,1.0,8,46,4.0,2.0,21,21.0,0.0,0.0,12.0,111,49,334,18,38,68,24,90,4.0,0.0,0.0,11.0,690,29,42,316,11,5.0,0.0,0.0,1.0,122.0
201610,2.7133333333333334,531,4,80,130,41,15,2,25,8.0,0.0,278,7.0,5.0,9,1.0,21,37.0,3.0,0.0,62,28,2.0,13,0.0,7,205,3.0,0.0,2.0,256,14.0,673,602,0.0,6,146,33,420,6,3.0,0.0,7.0,4.0,62,41,13,1.0,0.0,0.0,83,90,13,2.0,0.0,11.0,69,11,0.0,22,94,0.0,0.0,47,168,1.0,0.0,0.0,0.0,89,0.0,0.0,0.0,4.0,7.0,0.0,3.0,114,195,144,0.0,22,10.0,0.0,100,0.0,0.0,6.0,9,9,12.0,9,4.0,105,3.0,0.0,2.0,0.0,0.0,0.0,26,3.0,2.0,79,17.0,16.0,3.0,10.0,10.0,4.0,1.0,1.0,7,15,7.0,1.0,16,8.0,0.0,5.0,11.0,89,75,350,14,11,63,11,49,10.0,0.0,0.0,7.0,576,66,67,291,17,6.0,0.0,0.0,2.0,3.0
201611,2.708666666666667,540,11,128,149,86,50,21,62,4.0,1.0,333,3.0,9.0,15,8.0,15,10.0,20.0,0.0,106,25,4.0,18,0.0,20,317,1.0,0.0,0.0,374,9.0,666,653,20.0,5,123,50,385,6,0.0,0.0,7.0,1.0,40,100,19,15.0,0.0,1.0,97,82,7,16.0,1.0,7.0,65,126,0.0,11,58,0.0,2.0,27,147,0.0,0.0,0.0,0.0,78,2.0,0.0,0.0,3.0,2.0,0.0,0.0,124,135,176,0.0,36,6.0,0.0,175,3.0,3.0,0.0,8,22,5.0,17,7.0,99,0.0,0.0,1.0,0.0,0.0,0.0,14,2.0,8.0,58,4.0,4.0,1.0,5.0,3.0,0.0,5.0,1.0,15,33,7.0,3.0,6,23.0,0.0,22.0,2.0,146,43,360,20,9,68,81,117,2.0,0.0,0.0,1.0,788,12,54,223,8,4.0,0.0,1.0,1.0,3.0
201612,2.7039999999999997,860,7,145,198,63,46,24,148,7.0,2.0,601,2.0,6.0,78,10.0,13,34.0,36.0,8.0,153,23,8.0,13,1.0,12,275,6.0,0.0,1.0,514,4.0,963,857,4.0,12,161,103,891,10,2.0,3.0,0.0,2.0,56,116,62,5.0,0.0,1.0,234,156,19,11.0,0.0,10.0,88,220,0.0,15,141,2.0,0.0,38,165,0.0,0.0,0.0,0.0,120,1.0,0.0,0.0,2.0,12.0,2.0,3.0,276,455,199,6.0,44,7.0,0.0,256,0.0,0.0,0.0,4,35,15.0,20,104.0,143,2.0,0.0,1.0,0.0,0.0,0.0,22,1.0,7.0,62,22.0,0.0,4.0,9.0,13.0,0.0,0.0,2.0,4,48,11.0,2.0,13,23.0,0.0,15.0,1.0,94,51,347,34,2,47,67,43,6.0,0.0,0.0,4.0,550,8,99,257,23,23.0,0.0,0.0,3.0,19.0
