,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,AG,201302,---,1
1,AG,200803,010,114
2,AG,200804,010,82
3,AG,200805,010,106
4,AG,200806,010,142
5,AG,200807,010,133
6,AG,200808,010,144
7,AG,200809,010,83
8,AG,200810,010,125
9,AG,200811,010,145
10,AG,200812,010,195
11,AG,200901,010,138
12,AG,200902,010,199
13,AG,200903,010,198
14,AG,200904,010,256
15,AG,200905,010,159
16,AG,200906,010,166
17,AG,200907,010,154
18,AG,200908,010,208
19,AG,200909,010,96
20,AG,200910,010,126
21,AG,200911,010,127
22,AG,200912,010,163
23,AG,201001,010,234
24,AG,201002,010,147
25,AG,201003,010,68
26,AG,201004,010,130
27,AG,201005,010,98
28,AG,201006,010,43
29,AG,201007,010,50
30,AG,201008,010,137
31,AG,201009,010,241
32,AG,201010,010,224
33,AG,201011,010,161
34,AG,201012,010,155
35,AG,201101,010,426
36,AG,201102,010,373
37,AG,201103,010,238
38,AG,201104,010,259
39,AG,201105,010,187
40,AG,201106,010,146
41,AG,201107,010,173
42,AG,201108,010,490
43,AG,201109,010,371
44,AG,201110,010,235
45,AG,201111,010,173
46,AG,201112,010,110
47,AG,201201,010,235
48,AG,201202,010,260
49,AG,201203,010,426
50,AG,201204,010,320
51,AG,201205,010,361
52,AG,201206,010,161
53,AG,201207,010,184
54,AG,201208,010,339
55,AG,201209,010,224
56,AG,201210,010,295
57,AG,201211,010,544
58,AG,201212,010,377
59,AG,201301,010,3007
60,AG,201302,010,881
61,AG,201303,010,491
62,AG,201304,010,464
63,AG,201305,010,336
64,AG,201306,010,319
65,AG,201307,010,736
66,AG,201308,010,646
67,AG,201309,010,347
68,AG,201310,010,354
69,AG,201311,010,329
70,AG,201312,010,308
71,AG,201401,010,257
72,AG,201402,010,477
73,AG,201403,010,332
74,AG,201404,010,512
75,AG,201405,010,291
76,AG,201406,010,186
77,AG,201407,010,535
78,AG,201408,010,236
79,AG,201409,010,432
80,AG,201410,010,362
81,AG,201411,010,301
82,AG,201412,010,378
83,AG,201501,010,454
84,AG,201502,010,344
85,AG,201503,010,466
86,AG,201504,010,290
87,AG,201505,010,345
88,AG,201506,010,371
89,AG,201507,010,312
90,AG,201508,010,285
91,AG,201509,010,320
92,AG,201510,010,337
93,AG,201511,010,449
94,AG,201512,010,307
95,AG,201601,010,428
96,AG,201602,010,345
97,AG,201603,010,353
98,AG,201604,010,311
99,AG,201605,010,272
100,AG,201606,010,296
101,AG,201607,010,358
102,AG,201608,010,376
103,AG,201609,010,475
104,AG,201610,010,373
