,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,AS,200811,---,1
1,AS,201111,---,1
2,AS,201304,---,3
3,AS,201602,---,1
4,AS,201710,---,1
5,AS,200803,010,2544
6,AS,200804,010,2791
7,AS,200805,010,3129
8,AS,200806,010,3471
9,AS,200807,010,3694
10,AS,200808,010,2842
11,AS,200809,010,2458
12,AS,200810,010,3743
13,AS,200811,010,3256
14,AS,200812,010,3063
15,AS,200901,010,4046
16,AS,200902,010,4206
17,AS,200903,010,3216
18,AS,200904,010,3207
19,AS,200905,010,3721
20,AS,200906,010,4067
21,AS,200907,010,3933
22,AS,200908,010,6082
23,AS,200909,010,5954
24,AS,200910,010,5561
25,AS,200911,010,4852
26,AS,200912,010,4634
27,AS,201001,010,4918
28,AS,201002,010,5133
29,AS,201003,010,2107
30,AS,201004,010,2745
31,AS,201005,010,2393
32,AS,201006,010,2539
33,AS,201007,010,2681
34,AS,201008,010,6562
35,AS,201009,010,5514
36,AS,201010,010,4232
37,AS,201011,010,5491
38,AS,201012,010,5685
39,AS,201101,010,5731
40,AS,201102,010,4966
41,AS,201103,010,6373
42,AS,201104,010,5336
43,AS,201105,010,4540
44,AS,201106,010,5106
45,AS,201107,010,6082
46,AS,201108,010,6139
47,AS,201109,010,5342
48,AS,201110,010,3762
49,AS,201111,010,4591
50,AS,201112,010,2623
51,AS,201201,010,3924
52,AS,201202,010,7005
53,AS,201203,010,7027
54,AS,201204,010,5907
55,AS,201205,010,6098
56,AS,201206,010,5918
57,AS,201207,010,5896
58,AS,201208,010,5832
59,AS,201209,010,4939
60,AS,201210,010,5597
61,AS,201211,010,5957
62,AS,201212,010,4597
63,AS,201301,010,5034
64,AS,201302,010,5894
65,AS,201303,010,5232
66,AS,201304,010,2343
67,AS,201305,010,2359
68,AS,201306,010,4299
69,AS,201307,010,6650
70,AS,201308,010,7118
71,AS,201309,010,6985
72,AS,201310,010,7435
73,AS,201311,010,7534
74,AS,201312,010,5156
75,AS,201401,010,4684
76,AS,201402,010,7532
77,AS,201403,010,8735
78,AS,201404,010,7959
79,AS,201405,010,6626
80,AS,201406,010,7367
81,AS,201407,010,9170
82,AS,201408,010,8832
83,AS,201409,010,9848
84,AS,201410,010,10532
85,AS,201411,010,11005
86,AS,201412,010,9223
87,AS,201501,010,9010
88,AS,201502,010,12458
89,AS,201503,010,14517
90,AS,201504,010,12834
91,AS,201505,010,12713
92,AS,201506,010,12332
93,AS,201507,010,13875
94,AS,201508,010,13997
95,AS,201509,010,13769
96,AS,201510,010,13379
