,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,BC,200803,10,133
1,BC,200804,10,99
2,BC,200805,10,50
3,BC,200806,10,152
4,BC,200807,10,167
5,BC,200808,10,130
6,BC,200809,10,87
7,BC,200810,10,110
8,BC,200811,10,93
9,BC,200812,10,178
10,BC,200901,10,263
11,BC,200902,10,245
12,BC,200903,10,355
13,BC,200904,10,187
14,BC,200905,10,240
15,BC,200906,10,149
16,BC,200907,10,136
17,BC,200908,10,222
18,BC,200909,10,289
19,BC,200910,10,450
20,BC,200911,10,278
21,BC,200912,10,324
22,BC,201001,10,311
23,BC,201002,10,333
24,BC,201003,10,126
25,BC,201004,10,178
26,BC,201005,10,157
27,BC,201006,10,80
28,BC,201007,10,82
29,BC,201008,10,199
30,BC,201009,10,221
31,BC,201010,10,195
32,BC,201011,10,204
33,BC,201012,10,143
34,BC,201101,10,107
35,BC,201102,10,169
36,BC,201103,10,159
37,BC,201104,10,152
38,BC,201105,10,146
39,BC,201106,10,210
40,BC,201107,10,160
41,BC,201108,10,240
42,BC,201109,10,229
43,BC,201110,10,119
44,BC,201111,10,178
45,BC,201112,10,86
46,BC,201201,10,104
47,BC,201202,10,252
48,BC,201203,10,214
49,BC,201204,10,159
50,BC,201205,10,304
51,BC,201206,10,220
52,BC,201207,10,199
53,BC,201208,10,236
54,BC,201209,10,224
55,BC,201210,10,193
56,BC,201211,10,149
57,BC,201212,10,159
58,BC,201301,10,171
59,BC,201302,10,201
60,BC,201303,10,173
61,BC,201304,10,231
62,BC,201305,10,134
63,BC,201306,10,164
64,BC,201307,10,206
65,BC,201308,10,261
66,BC,201309,10,237
67,BC,201310,10,165
68,BC,201311,10,213
69,BC,201312,10,113
70,BC,201401,10,96
71,BC,201402,10,178
72,BC,201403,10,153
73,BC,201404,10,131
74,BC,201405,10,123
75,BC,201406,10,136
76,BC,201407,10,142
77,BC,201408,10,245
78,BC,201409,10,252
79,BC,201410,10,276
80,BC,201411,10,398
81,BC,201412,10,238
82,BC,201501,10,263
83,BC,201502,10,376
84,BC,201503,10,507
85,BC,201504,10,341
86,BC,201505,10,396
87,BC,201506,10,475
88,BC,201507,10,415
89,BC,201508,10,473
90,BC,201509,10,399
91,BC,201510,10,424
92,BC,201511,10,567
93,BC,201512,10,334
94,BC,201601,10,495
95,BC,201602,10,575
96,BC,201603,10,459
97,BC,201604,10,430
98,BC,201605,10,412
99,BC,201606,10,533
100,BC,201607,10,441
101,BC,201608,10,459
102,BC,201609,10,491
103,BC,201610,10,496
104,BC,201611,10,458
105,BC,201612,10,294
106,BC,201701,10,301
107,BC,201702,10,436
108,BC,201703,10,395
109,BC,201704,10,273
110,BC,201705,10,377
111,BC,201706,10,412
112,BC,201707,10,343
113,BC,201708,10,403
114,BC,201709,10,329
115,BC,201710,10,359
116,BC,201711,10,436
117,BC,201712,10,262
118,BC,201801,10,504
119,BC,201802,10,285
120,BC,201803,10,361
121,BC,201804,10,361
122,BC,201805,10,354
123,BC,201806,10,288
124,BC,201807,10,340
125,BC,201808,10,327
126,BC,201809,10,383
127,BC,201810,10,304
128,BC,201811,10,312
129,BC,201812,10,200
130,BC,201901,10,208
131,BC,201902,10,329
132,BC,201903,10,403
133,BC,201904,10,370
134,BC,201905,10,363
135,BC,201906,10,466
136,BC,201907,10,386
137,BC,201908,10,478
138,BC,201909,10,367
139,BC,201910,10,379
140,BC,201911,10,246
141,BC,201912,10,219
142,BC,202001,10,221
143,BC,202002,10,238
144,BC,202003,10,209
145,BC,202004,10,337
146,BC,202005,10,228
147,BC,202006,10,201
148,BC,202007,10,416
149,BC,202008,10,255
150,BC,202009,10,268
151,BC,200803,11,2
152,BC,200804,11,4
153,BC,200807,11,5
154,BC,200808,11,3
155,BC,200809,11,8
156,BC,200812,11,6
157,BC,200901,11,5
158,BC,200902,11,7
159,BC,200903,11,1
160,BC,200904,11,2
161,BC,200905,11,3
162,BC,200906,11,5
163,BC,200907,11,1
164,BC,200908,11,6
165,BC,200909,11,4
166,BC,200910,11,6
167,BC,200911,11,6
168,BC,200912,11,7
169,BC,201001,11,10
170,BC,201002,11,5
171,BC,201004,11,3
172,BC,201005,11,3
173,BC,201006,11,1
174,BC,201007,11,4
175,BC,201008,11,1
176,BC,201010,11,1
177,BC,201011,11,3
178,BC,201012,11,2
179,BC,201101,11,1
180,BC,201102,11,5
181,BC,201103,11,2
182,BC,201104,11,5
183,BC,201105,11,1
184,BC,201106,11,3
185,BC,201108,11,6
186,BC,201109,11,6
187,BC,201110,11,2
188,BC,201111,11,3
189,BC,201201,11,18
190,BC,201202,11,1
191,BC,201203,11,1
192,BC,201204,11,1
193,BC,201205,11,5
194,BC,201206,11,3
195,BC,201207,11,5
196,BC,201208,11,6
197,BC,201209,11,4
198,BC,201210,11,1
199,BC,201211,11,1
200,BC,201212,11,1
201,BC,201301,11,4
202,BC,201302,11,1
203,BC,201305,11,1
204,BC,201306,11,1
205,BC,201307,11,1
206,BC,201308,11,1
207,BC,201309,11,1
208,BC,201310,11,11
209,BC,201311,11,2
210,BC,201312,11,1
211,BC,201401,11,3
212,BC,201404,11,1
213,BC,201405,11,2
214,BC,201406,11,2
215,BC,201407,11,2
216,BC,201408,11,4
217,BC,201409,11,9
218,BC,201410,11,1
219,BC,201411,11,3
220,BC,201412,11,1
221,BC,201501,11,3
222,BC,201502,11,1
223,BC,201503,11,6
224,BC,201504,11,8
225,BC,201505,11,3
226,BC,201506,11,5
227,BC,201507,11,6
228,BC,201508,11,6
229,BC,201509,11,4
230,BC,201510,11,3
231,BC,201512,11,2
232,BC,201601,11,6
233,BC,201602,11,3
234,BC,201603,11,3
235,BC,201604,11,11
236,BC,201605,11,2
237,BC,201606,11,7
238,BC,201607,11,8
239,BC,201608,11,9
240,BC,201609,11,4
241,BC,201610,11,11
242,BC,201611,11,5
243,BC,201612,11,4
244,BC,201702,11,11
245,BC,201703,11,3
246,BC,201704,11,1
247,BC,201705,11,9
248,BC,201706,11,10
249,BC,201707,11,3
250,BC,201708,11,1
251,BC,201709,11,2
252,BC,201711,11,5
253,BC,201712,11,2
254,BC,201802,11,7
255,BC,201803,11,2
256,BC,201804,11,2
257,BC,201805,11,3
258,BC,201806,11,1
259,BC,201807,11,1
260,BC,201808,11,7
261,BC,201809,11,8
262,BC,201810,11,3
263,BC,201812,11,1
264,BC,201901,11,3
265,BC,201902,11,1
266,BC,201903,11,5
267,BC,201904,11,5
268,BC,201906,11,1
269,BC,201907,11,3
270,BC,201908,11,4
271,BC,201909,11,4
272,BC,201910,11,1
273,BC,201911,11,6
274,BC,201912,11,8
275,BC,202001,11,2
276,BC,202002,11,5
277,BC,202003,11,6
278,BC,202004,11,2
279,BC,202005,11,2
280,BC,202006,11,4
281,BC,202007,11,4
282,BC,202008,11,1
283,BC,202009,11,1
284,BC,200803,12,25
285,BC,200804,12,32
286,BC,200805,12,13
287,BC,200806,12,146
288,BC,200807,12,66
289,BC,200808,12,54
290,BC,200809,12,32
291,BC,200810,12,51
292,BC,200811,12,38
293,BC,200812,12,68
294,BC,200901,12,58
295,BC,200902,12,72
296,BC,200903,12,88
297,BC,200904,12,53
298,BC,200905,12,40
299,BC,200906,12,56
300,BC,200907,12,55
301,BC,200908,12,45
302,BC,200909,12,74
303,BC,200910,12,120
304,BC,200911,12,71
305,BC,200912,12,90
306,BC,201001,12,73
307,BC,201002,12,90
308,BC,201003,12,39
309,BC,201004,12,46
310,BC,201005,12,65
311,BC,201006,12,14
312,BC,201007,12,12
313,BC,201008,12,37
314,BC,201009,12,49
315,BC,201010,12,59
316,BC,201011,12,44
317,BC,201012,12,32
318,BC,201101,12,18
319,BC,201102,12,34
320,BC,201103,12,57
321,BC,201104,12,35
322,BC,201105,12,51
323,BC,201106,12,45
324,BC,201107,12,49
325,BC,201108,12,49
326,BC,201109,12,34
327,BC,201110,12,19
328,BC,201111,12,37
329,BC,201112,12,21
330,BC,201201,12,14
331,BC,201202,12,52
332,BC,201203,12,32
333,BC,201204,12,32
334,BC,201205,12,68
335,BC,201206,12,44
336,BC,201207,12,44
337,BC,201208,12,39
338,BC,201209,12,52
339,BC,201210,12,42
340,BC,201211,12,48
341,BC,201212,12,25
342,BC,201301,12,32
343,BC,201302,12,25
344,BC,201303,12,49
345,BC,201304,12,24
346,BC,201305,12,22
347,BC,201306,12,37
348,BC,201307,12,33
349,BC,201308,12,78
350,BC,201309,12,52
351,BC,201310,12,29
352,BC,201311,12,31
353,BC,201312,12,19
354,BC,201401,12,16
355,BC,201402,12,45
356,BC,201403,12,36
357,BC,201404,12,22
358,BC,201405,12,29
359,BC,201406,12,20
360,BC,201407,12,23
361,BC,201408,12,41
362,BC,201409,12,62
363,BC,201410,12,78
364,BC,201411,12,88
365,BC,201412,12,44
366,BC,201501,12,96
367,BC,201502,12,68
368,BC,201503,12,152
369,BC,201504,12,74
370,BC,201505,12,99
371,BC,201506,12,82
372,BC,201507,12,88
373,BC,201508,12,90
374,BC,201509,12,114
375,BC,201510,12,76
376,BC,201511,12,140
377,BC,201512,12,61
378,BC,201601,12,116
379,BC,201602,12,111
380,BC,201603,12,113
381,BC,201604,12,98
382,BC,201605,12,73
383,BC,201606,12,102
384,BC,201607,12,109
385,BC,201608,12,100
386,BC,201609,12,95
387,BC,201610,12,67
388,BC,201611,12,83
389,BC,201612,12,62
390,BC,201701,12,57
391,BC,201702,12,90
392,BC,201703,12,91
393,BC,201704,12,58
394,BC,201705,12,84
395,BC,201706,12,62
396,BC,201707,12,64
397,BC,201708,12,61
398,BC,201709,12,80
399,BC,201710,12,58
400,BC,201711,12,92
401,BC,201712,12,46
402,BC,201801,12,64
403,BC,201802,12,43
404,BC,201803,12,48
405,BC,201804,12,50
406,BC,201805,12,53
407,BC,201806,12,41
408,BC,201807,12,72
409,BC,201808,12,45
410,BC,201809,12,69
411,BC,201810,12,59
412,BC,201811,12,49
413,BC,201812,12,31
414,BC,201901,12,44
415,BC,201902,12,65
416,BC,201903,12,124
417,BC,201904,12,78
418,BC,201905,12,68
419,BC,201906,12,54
420,BC,201907,12,72
421,BC,201908,12,75
422,BC,201909,12,72
423,BC,201910,12,84
424,BC,201911,12,63
425,BC,201912,12,49
426,BC,202001,12,33
427,BC,202002,12,61
428,BC,202003,12,58
429,BC,202004,12,84
430,BC,202005,12,42
431,BC,202006,12,55
432,BC,202007,12,67
433,BC,202008,12,55
434,BC,202009,12,83
435,BC,200803,13,23
436,BC,200804,13,13
437,BC,200805,13,9
438,BC,200806,13,30
439,BC,200807,13,20
440,BC,200808,13,35
441,BC,200809,13,17
442,BC,200810,13,7
443,BC,200811,13,12
444,BC,200812,13,39
445,BC,200901,13,39
446,BC,200902,13,52
447,BC,200903,13,81
448,BC,200904,13,49
449,BC,200905,13,39
450,BC,200906,13,26
451,BC,200907,13,28
452,BC,200908,13,36
453,BC,200909,13,45
454,BC,200910,13,95
455,BC,200911,13,48
456,BC,200912,13,73
457,BC,201001,13,40
458,BC,201002,13,66
459,BC,201003,13,38
460,BC,201004,13,40
461,BC,201005,13,29
462,BC,201006,13,19
463,BC,201007,13,12
464,BC,201008,13,54
465,BC,201009,13,23
466,BC,201010,13,25
467,BC,201011,13,33
468,BC,201012,13,19
469,BC,201101,13,16
470,BC,201102,13,41
471,BC,201103,13,40
472,BC,201104,13,17
473,BC,201105,13,30
474,BC,201106,13,45
475,BC,201107,13,46
476,BC,201108,13,48
477,BC,201109,13,34
478,BC,201110,13,29
479,BC,201111,13,25
480,BC,201112,13,14
481,BC,201201,13,16
482,BC,201202,13,46
483,BC,201203,13,33
484,BC,201204,13,40
485,BC,201205,13,54
486,BC,201206,13,56
487,BC,201207,13,34
488,BC,201208,13,52
489,BC,201209,13,45
490,BC,201210,13,41
491,BC,201211,13,31
492,BC,201212,13,18
493,BC,201301,13,21
494,BC,201302,13,24
495,BC,201303,13,37
496,BC,201304,13,25
497,BC,201305,13,6
498,BC,201306,13,39
499,BC,201307,13,28
500,BC,201308,13,79
501,BC,201309,13,31
502,BC,201310,13,22
503,BC,201311,13,35
504,BC,201312,13,18
505,BC,201401,13,20
506,BC,201402,13,24
507,BC,201403,13,24
508,BC,201404,13,20
509,BC,201405,13,28
510,BC,201406,13,27
511,BC,201407,13,23
512,BC,201408,13,45
513,BC,201409,13,55
514,BC,201410,13,39
515,BC,201411,13,56
516,BC,201412,13,64
517,BC,201501,13,43
518,BC,201502,13,65
519,BC,201503,13,112
520,BC,201504,13,75
521,BC,201505,13,55
522,BC,201506,13,121
523,BC,201507,13,73
524,BC,201508,13,118
525,BC,201509,13,85
526,BC,201510,13,72
527,BC,201511,13,104
528,BC,201512,13,65
529,BC,201601,13,82
530,BC,201602,13,102
531,BC,201603,13,100
532,BC,201604,13,91
533,BC,201605,13,81
534,BC,201606,13,108
535,BC,201607,13,72
536,BC,201608,13,108
537,BC,201609,13,103
538,BC,201610,13,84
539,BC,201611,13,88
540,BC,201612,13,51
541,BC,201701,13,69
542,BC,201702,13,79
543,BC,201703,13,50
544,BC,201704,13,43
545,BC,201705,13,58
546,BC,201706,13,67
547,BC,201707,13,84
548,BC,201708,13,64
549,BC,201709,13,65
550,BC,201710,13,44
551,BC,201711,13,86
552,BC,201712,13,65
553,BC,201801,13,62
554,BC,201802,13,61
555,BC,201803,13,38
556,BC,201804,13,73
557,BC,201805,13,65
558,BC,201806,13,78
559,BC,201807,13,55
560,BC,201808,13,59
561,BC,201809,13,50
562,BC,201810,13,45
563,BC,201811,13,38
564,BC,201812,13,42
565,BC,201901,13,39
566,BC,201902,13,58
567,BC,201903,13,74
568,BC,201904,13,57
569,BC,201905,13,73
570,BC,201906,13,77
571,BC,201907,13,69
572,BC,201908,13,72
573,BC,201909,13,57
574,BC,201910,13,102
575,BC,201911,13,52
576,BC,201912,13,27
577,BC,202001,13,49
578,BC,202002,13,63
579,BC,202003,13,36
580,BC,202004,13,55
581,BC,202005,13,34
582,BC,202006,13,30
583,BC,202007,13,71
584,BC,202008,13,56
585,BC,202009,13,47
586,BC,200803,14,14
587,BC,200804,14,11
588,BC,200805,14,1
589,BC,200806,14,12
590,BC,200807,14,20
591,BC,200808,14,5
592,BC,200809,14,12
593,BC,200810,14,8
594,BC,200811,14,16
595,BC,200812,14,22
596,BC,200901,14,27
597,BC,200902,14,32
598,BC,200903,14,36
599,BC,200904,14,18
600,BC,200905,14,17
601,BC,200906,14,16
602,BC,200907,14,23
603,BC,200908,14,25
604,BC,200909,14,28
605,BC,200910,14,95
606,BC,200911,14,64
607,BC,200912,14,64
608,BC,201001,14,21
609,BC,201002,14,49
610,BC,201003,14,16
611,BC,201004,14,23
612,BC,201005,14,18
613,BC,201006,14,11
614,BC,201007,14,5
615,BC,201008,14,30
616,BC,201009,14,18
617,BC,201010,14,15
618,BC,201011,14,22
619,BC,201012,14,7
620,BC,201101,14,8
621,BC,201102,14,19
622,BC,201103,14,14
623,BC,201104,14,14
624,BC,201105,14,18
625,BC,201106,14,15
626,BC,201107,14,31
627,BC,201108,14,20
628,BC,201109,14,43
629,BC,201110,14,21
630,BC,201111,14,19
631,BC,201112,14,13
632,BC,201201,14,5
633,BC,201202,14,29
634,BC,201203,14,4
635,BC,201204,14,15
636,BC,201205,14,32
637,BC,201206,14,9
638,BC,201207,14,18
639,BC,201208,14,31
640,BC,201209,14,13
641,BC,201210,14,20
642,BC,201211,14,25
643,BC,201212,14,12
644,BC,201301,14,9
645,BC,201302,14,11
646,BC,201303,14,10
647,BC,201304,14,9
648,BC,201305,14,11
649,BC,201306,14,9
650,BC,201307,14,34
651,BC,201308,14,21
652,BC,201309,14,29
653,BC,201310,14,11
654,BC,201311,14,21
655,BC,201312,14,12
656,BC,201401,14,8
657,BC,201402,14,10
658,BC,201403,14,9
659,BC,201404,14,9
660,BC,201405,14,10
661,BC,201406,14,6
662,BC,201407,14,7
663,BC,201408,14,35
664,BC,201409,14,20
665,BC,201410,14,44
666,BC,201411,14,26
667,BC,201412,14,45
668,BC,201501,14,30
669,BC,201502,14,72
670,BC,201503,14,60
671,BC,201504,14,50
672,BC,201505,14,36
673,BC,201506,14,34
674,BC,201507,14,58
675,BC,201508,14,57
676,BC,201509,14,70
677,BC,201510,14,75
678,BC,201511,14,54
679,BC,201512,14,32
680,BC,201601,14,43
681,BC,201602,14,88
682,BC,201603,14,60
683,BC,201604,14,45
684,BC,201605,14,65
685,BC,201606,14,58
686,BC,201607,14,46
687,BC,201608,14,63
688,BC,201609,14,49
689,BC,201610,14,46
690,BC,201611,14,39
691,BC,201612,14,31
692,BC,201701,14,35
693,BC,201702,14,40
694,BC,201703,14,41
695,BC,201704,14,24
696,BC,201705,14,39
697,BC,201706,14,34
698,BC,201707,14,36
699,BC,201708,14,37
700,BC,201709,14,41
701,BC,201710,14,26
702,BC,201711,14,45
703,BC,201712,14,34
704,BC,201801,14,18
705,BC,201802,14,15
706,BC,201803,14,31
707,BC,201804,14,14
708,BC,201805,14,25
709,BC,201806,14,28
710,BC,201807,14,33
711,BC,201808,14,38
712,BC,201809,14,32
713,BC,201810,14,20
714,BC,201811,14,32
715,BC,201812,14,19
716,BC,201901,14,11
717,BC,201902,14,30
718,BC,201903,14,39
719,BC,201904,14,46
720,BC,201905,14,48
721,BC,201906,14,45
722,BC,201907,14,29
723,BC,201908,14,46
724,BC,201909,14,46
725,BC,201910,14,109
726,BC,201911,14,11
727,BC,201912,14,14
728,BC,202001,14,26
729,BC,202002,14,25
730,BC,202003,14,21
731,BC,202004,14,42
732,BC,202005,14,20
733,BC,202006,14,21
734,BC,202007,14,41
735,BC,202008,14,35
736,BC,202009,14,17
737,BC,200803,15,1
738,BC,200804,15,1
739,BC,200805,15,2
740,BC,200806,15,3
741,BC,200807,15,3
742,BC,200808,15,9
743,BC,200809,15,5
744,BC,200810,15,1
745,BC,200812,15,9
746,BC,200901,15,6
747,BC,200902,15,9
748,BC,200903,15,11
749,BC,200904,15,5
750,BC,200905,15,3
751,BC,200906,15,6
752,BC,200908,15,5
753,BC,200909,15,8
754,BC,200910,15,6
755,BC,200911,15,6
756,BC,200912,15,14
757,BC,201001,15,6
758,BC,201002,15,5
759,BC,201003,15,3
760,BC,201004,15,10
761,BC,201007,15,1
762,BC,201008,15,2
763,BC,201009,15,5
764,BC,201010,15,10
765,BC,201011,15,9
766,BC,201012,15,4
767,BC,201101,15,6
768,BC,201102,15,1
769,BC,201103,15,2
770,BC,201104,15,2
771,BC,201105,15,2
772,BC,201106,15,1
773,BC,201109,15,2
774,BC,201110,15,2
775,BC,201111,15,2
776,BC,201201,15,2
777,BC,201202,15,4
778,BC,201203,15,4
779,BC,201204,15,2
780,BC,201205,15,5
781,BC,201206,15,4
782,BC,201207,15,2
783,BC,201208,15,6
784,BC,201209,15,4
785,BC,201210,15,1
786,BC,201211,15,7
787,BC,201212,15,3
788,BC,201301,15,1
789,BC,201303,15,17
790,BC,201304,15,5
