,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,BN,200803,10,10
1,BN,200804,10,19
2,BN,200805,10,16
3,BN,200806,10,5
4,BN,200807,10,15
5,BN,200808,10,2
6,BN,200809,10,13
7,BN,200810,10,21
8,BN,200811,10,17
9,BN,200812,10,11
10,BN,200901,10,58
11,BN,200902,10,61
12,BN,200903,10,61
13,BN,200904,10,51
14,BN,200905,10,46
15,BN,200906,10,29
16,BN,200907,10,21
17,BN,200908,10,26
18,BN,200909,10,37
19,BN,200910,10,47
20,BN,200911,10,57
21,BN,200912,10,57
22,BN,201001,10,48
23,BN,201002,10,50
24,BN,201003,10,10
25,BN,201004,10,27
26,BN,201005,10,10
27,BN,201006,10,3
28,BN,201007,10,15
29,BN,201008,10,63
30,BN,201009,10,33
31,BN,201010,10,41
32,BN,201011,10,58
33,BN,201012,10,77
34,BN,201101,10,32
35,BN,201102,10,52
36,BN,201103,10,85
37,BN,201104,10,46
38,BN,201105,10,33
39,BN,201106,10,50
40,BN,201107,10,56
41,BN,201108,10,53
42,BN,201109,10,60
43,BN,201110,10,49
44,BN,201111,10,127
45,BN,201112,10,39
46,BN,201201,10,57
47,BN,201202,10,53
48,BN,201203,10,71
49,BN,201204,10,75
50,BN,201205,10,70
51,BN,201206,10,52
52,BN,201207,10,148
53,BN,201208,10,64
54,BN,201209,10,76
55,BN,201210,10,106
56,BN,201211,10,57
57,BN,201212,10,58
58,BN,201301,10,78
59,BN,201302,10,42
60,BN,201303,10,61
61,BN,201304,10,18
62,BN,201305,10,6
63,BN,201306,10,84
64,BN,201307,10,87
65,BN,201308,10,167
66,BN,201309,10,104
67,BN,201310,10,96
68,BN,201311,10,129
69,BN,201312,10,106
70,BN,201401,10,88
71,BN,201402,10,59
72,BN,201403,10,94
73,BN,201404,10,112
74,BN,201405,10,121
75,BN,201406,10,116
76,BN,201407,10,123
77,BN,201408,10,96
78,BN,201409,10,196
79,BN,201410,10,211
80,BN,201411,10,202
81,BN,201412,10,141
82,BN,201501,10,135
83,BN,201502,10,219
84,BN,201503,10,204
85,BN,201504,10,168
86,BN,201505,10,159
87,BN,201506,10,176
88,BN,201507,10,195
89,BN,201508,10,207
90,BN,201509,10,222
91,BN,201510,10,221
92,BN,201511,10,218
93,BN,201512,10,216
94,BN,201601,10,217
95,BN,201602,10,247
96,BN,201603,10,260
97,BN,201604,10,284
98,BN,201605,10,376
99,BN,201606,10,279
100,BN,201607,10,265
101,BN,201608,10,315
102,BN,201609,10,430
103,BN,201610,10,350
104,BN,201611,10,274
105,BN,201612,10,243
106,BN,201701,10,273
107,BN,201702,10,218
108,BN,201703,10,283
109,BN,201704,10,224
110,BN,201705,10,260
111,BN,201706,10,217
112,BN,201707,10,283
113,BN,201708,10,240
114,BN,201709,10,204
115,BN,201710,10,261
116,BN,201711,10,297
117,BN,201712,10,286
118,BN,201801,10,236
119,BN,201802,10,267
120,BN,201803,10,265
121,BN,201804,10,217
122,BN,201805,10,259
123,BN,201806,10,243
124,BN,201807,10,269
125,BN,201808,10,240
126,BN,201809,10,258
127,BN,201810,10,269
128,BN,201811,10,200
129,BN,201812,10,178
130,BN,201901,10,141
131,BN,201902,10,166
132,BN,201903,10,174
133,BN,201904,10,218
134,BN,201905,10,334
135,BN,201906,10,233
136,BN,201907,10,368
137,BN,201908,10,253
138,BN,201909,10,222
139,BN,201910,10,203
140,BN,201911,10,271
141,BN,201912,10,268
142,BN,202001,10,198
143,BN,202002,10,240
144,BN,202003,10,199
145,BN,202004,10,243
146,BN,202005,10,304
147,BN,202006,10,365
