,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,BT,200803,10,93
1,BT,200804,10,23
2,BT,200805,10,48
3,BT,200806,10,14
4,BT,200807,10,16
5,BT,200808,10,2
6,BT,200809,10,7
7,BT,200810,10,8
8,BT,200811,10,82
9,BT,200812,10,25
10,BT,200901,10,58
11,BT,200902,10,33
12,BT,200903,10,23
13,BT,200904,10,44
14,BT,200905,10,55
15,BT,200906,10,59
16,BT,200907,10,12
17,BT,200908,10,38
18,BT,200909,10,45
19,BT,200910,10,55
20,BT,200911,10,41
21,BT,200912,10,49
22,BT,201001,10,35
23,BT,201002,10,43
24,BT,201003,10,20
25,BT,201004,10,87
26,BT,201005,10,77
27,BT,201006,10,40
28,BT,201007,10,37
29,BT,201008,10,56
30,BT,201009,10,77
31,BT,201010,10,70
32,BT,201011,10,45
33,BT,201012,10,59
34,BT,201101,10,52
35,BT,201102,10,60
36,BT,201103,10,47
37,BT,201104,10,43
38,BT,201105,10,85
39,BT,201106,10,17
40,BT,201107,10,21
41,BT,201108,10,28
42,BT,201109,10,43
43,BT,201110,10,85
44,BT,201111,10,50
45,BT,201112,10,50
46,BT,201201,10,32
47,BT,201202,10,45
48,BT,201203,10,46
49,BT,201204,10,71
50,BT,201205,10,77
51,BT,201206,10,70
52,BT,201207,10,66
53,BT,201208,10,71
54,BT,201209,10,71
55,BT,201210,10,32
56,BT,201211,10,40
57,BT,201212,10,18
58,BT,201301,10,17
59,BT,201302,10,16
60,BT,201303,10,29
61,BT,201304,10,15
62,BT,201305,10,5
63,BT,201306,10,48
64,BT,201307,10,111
65,BT,201308,10,89
66,BT,201309,10,63
67,BT,201310,10,78
68,BT,201311,10,87
69,BT,201312,10,44
70,BT,201401,10,62
71,BT,201402,10,64
72,BT,201403,10,50
73,BT,201404,10,74
74,BT,201405,10,107
75,BT,201406,10,203
76,BT,201407,10,73
77,BT,201408,10,74
78,BT,201409,10,69
79,BT,201410,10,90
80,BT,201411,10,143
81,BT,201412,10,160
82,BT,201501,10,111
83,BT,201502,10,80
84,BT,201503,10,130
85,BT,201504,10,129
86,BT,201505,10,99
87,BT,201506,10,175
88,BT,201507,10,125
89,BT,201508,10,96
90,BT,201509,10,138
91,BT,201510,10,156
92,BT,201511,10,135
93,BT,201512,10,151
94,BT,201601,10,77
95,BT,201602,10,144
96,BT,201603,10,99
97,BT,201604,10,230
98,BT,201605,10,119
99,BT,201606,10,104
100,BT,201607,10,118
101,BT,201608,10,114
102,BT,201609,10,162
103,BT,201610,10,196
104,BT,201611,10,129
105,BT,201612,10,124
106,BT,201701,10,142
107,BT,201702,10,121
108,BT,201703,10,99
109,BT,201704,10,199
110,BT,201705,10,120
111,BT,201706,10,165
112,BT,201707,10,343
113,BT,201708,10,299
114,BT,201709,10,131
115,BT,201710,10,110
116,BT,201711,10,159
117,BT,201712,10,128
118,BT,201801,10,78
119,BT,201802,10,139
120,BT,201803,10,97
121,BT,201804,10,84
122,BT,201805,10,112
123,BT,201806,10,111
124,BT,201807,10,80
125,BT,201808,10,125
126,BT,201809,10,121
127,BT,201810,10,157
128,BT,201811,10,96
129,BT,201812,10,106
130,BT,201901,10,94
131,BT,201902,10,97
132,BT,201903,10,74
133,BT,201904,10,97
134,BT,201905,10,96
135,BT,201906,10,131
136,BT,201907,10,102
137,BT,201908,10,214
138,BT,201909,10,88
139,BT,201910,10,85
140,BT,201911,10,86
141,BT,201912,10,78
142,BT,202001,10,78
143,BT,202002,10,85
144,BT,202003,10,138
145,BT,202004,10,94
146,BT,202005,10,64
147,BT,202006,10,63
148,BT,202007,10,93
149,BT,202008,10,44
150,BT,202009,10,54
151,BT,200804,11,1
152,BT,200805,11,1
153,BT,200901,11,4
154,BT,200905,11,2
155,BT,200907,11,1
156,BT,200910,11,1
157,BT,201008,11,1
158,BT,201010,11,1
159,BT,201011,11,2
160,BT,201012,11,2
161,BT,201104,11,1
162,BT,201105,11,2
163,BT,201110,11,5
164,BT,201111,11,1
165,BT,201112,11,1
166,BT,201203,11,1
167,BT,201205,11,2
168,BT,201206,11,2
169,BT,201207,11,2
170,BT,201208,11,2
171,BT,201307,11,1
172,BT,201309,11,2
173,BT,201310,11,2
174,BT,201311,11,1
175,BT,201312,11,1
176,BT,201402,11,3
177,BT,201403,11,3
178,BT,201405,11,2
179,BT,201406,11,1
180,BT,201407,11,2
181,BT,201408,11,2
182,BT,201410,11,1
183,BT,201411,11,3
184,BT,201412,11,6
185,BT,201501,11,4
186,BT,201502,11,1
187,BT,201503,11,3
188,BT,201504,11,2
189,BT,201505,11,1
190,BT,201507,11,9
191,BT,201508,11,3
192,BT,201510,11,2
193,BT,201511,11,3
194,BT,201601,11,2
195,BT,201604,11,3
196,BT,201606,11,1
197,BT,201609,11,5
198,BT,201610,11,2
199,BT,201701,11,1
200,BT,201703,11,1
201,BT,201705,11,4
202,BT,201706,11,14
203,BT,201707,11,6
204,BT,201708,11,20
205,BT,201709,11,2
206,BT,201710,11,3
207,BT,201711,11,3
208,BT,201801,11,1
209,BT,201802,11,2
210,BT,201803,11,4
211,BT,201804,11,1
212,BT,201805,11,1
213,BT,201807,11,2
214,BT,201808,11,5
215,BT,201810,11,1
216,BT,201902,11,4
217,BT,201903,11,1
218,BT,201904,11,1
219,BT,201905,11,2
220,BT,201906,11,1
221,BT,201907,11,3
222,BT,201908,11,1
223,BT,201909,11,1
224,BT,201911,11,1
225,BT,201912,11,6
226,BT,202001,11,1
227,BT,202006,11,2
228,BT,202007,11,2
229,BT,200803,12,21
230,BT,200804,12,6
231,BT,200805,12,4
232,BT,200807,12,7
233,BT,200808,12,6
234,BT,200809,12,1
235,BT,200810,12,3
236,BT,200811,12,7
237,BT,200812,12,2
238,BT,200901,12,12
239,BT,200902,12,3
240,BT,200903,12,5
241,BT,200904,12,9
242,BT,200905,12,12
243,BT,200906,12,9
244,BT,200907,12,4
245,BT,200908,12,14
246,BT,200909,12,9
247,BT,200910,12,17
248,BT,200911,12,9
249,BT,200912,12,14
250,BT,201001,12,11
251,BT,201002,12,7
252,BT,201003,12,3
253,BT,201004,12,25
254,BT,201005,12,17
255,BT,201006,12,12
256,BT,201007,12,8
257,BT,201008,12,14
258,BT,201009,12,4
259,BT,201010,12,24
260,BT,201011,12,9
261,BT,201012,12,17
262,BT,201101,12,11
263,BT,201102,12,15
264,BT,201103,12,19
265,BT,201104,12,12
266,BT,201105,12,12
267,BT,201106,12,6
268,BT,201107,12,2
269,BT,201108,12,11
270,BT,201109,12,3
271,BT,201110,12,20
272,BT,201111,12,18
273,BT,201112,12,11
274,BT,201201,12,11
275,BT,201202,12,7
276,BT,201203,12,14
277,BT,201204,12,11
278,BT,201205,12,7
279,BT,201206,12,13
280,BT,201207,12,11
281,BT,201208,12,22
282,BT,201209,12,19
283,BT,201210,12,20
284,BT,201211,12,10
285,BT,201212,12,2
286,BT,201301,12,3
287,BT,201302,12,3
288,BT,201303,12,3
289,BT,201304,12,4
290,BT,201306,12,10
291,BT,201307,12,65
292,BT,201308,12,22
293,BT,201309,12,17
294,BT,201310,12,17
295,BT,201311,12,16
296,BT,201312,12,19
297,BT,201401,12,13
298,BT,201402,12,21
299,BT,201403,12,18
300,BT,201404,12,17
301,BT,201405,12,26
302,BT,201406,12,33
303,BT,201407,12,21
304,BT,201408,12,26
305,BT,201409,12,23
306,BT,201410,12,28
307,BT,201411,12,26
308,BT,201412,12,32
309,BT,201501,12,6
310,BT,201502,12,13
311,BT,201503,12,16
312,BT,201504,12,34
313,BT,201505,12,28
314,BT,201506,12,37
315,BT,201507,12,36
316,BT,201508,12,22
317,BT,201509,12,27
318,BT,201510,12,21
319,BT,201511,12,41
