,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,NG,200803,10,36
1,NG,200804,10,26
2,NG,200805,10,20
3,NG,200806,10,47
4,NG,200807,10,31
5,NG,200808,10,34
6,NG,200809,10,49
7,NG,200810,10,66
8,NG,200811,10,24
9,NG,200812,10,104
10,NG,200901,10,99
11,NG,200902,10,84
12,NG,200903,10,77
13,NG,200904,10,115
14,NG,200905,10,114
15,NG,200906,10,124
16,NG,200907,10,125
17,NG,200908,10,229
18,NG,200909,10,153
19,NG,200910,10,157
20,NG,200911,10,92
21,NG,200912,10,104
22,NG,201001,10,82
23,NG,201002,10,424
24,NG,201003,10,51
25,NG,201004,10,82
26,NG,201005,10,29
27,NG,201006,10,20
28,NG,201007,10,60
29,NG,201008,10,131
30,NG,201009,10,198
31,NG,201010,10,109
32,NG,201011,10,71
33,NG,201012,10,57
34,NG,201101,10,158
35,NG,201102,10,78
36,NG,201103,10,116
37,NG,201104,10,83
38,NG,201105,10,95
39,NG,201106,10,39
40,NG,201107,10,54
41,NG,201108,10,68
42,NG,201109,10,688
43,NG,201110,10,269
44,NG,201111,10,163
45,NG,201112,10,73
46,NG,201201,10,68
47,NG,201202,10,143
48,NG,201203,10,131
49,NG,201204,10,90
50,NG,201205,10,74
51,NG,201206,10,59
52,NG,201207,10,85
53,NG,201208,10,80
54,NG,201209,10,110
55,NG,201210,10,96
56,NG,201211,10,41
57,NG,201212,10,71
58,NG,201301,10,138
59,NG,201302,10,89
60,NG,201303,10,114
61,NG,201304,10,20
62,NG,201305,10,171
63,NG,201306,10,109
64,NG,201307,10,135
65,NG,201308,10,133
66,NG,201309,10,125
67,NG,201310,10,211
68,NG,201311,10,329
69,NG,201312,10,83
70,NG,201401,10,64
71,NG,201402,10,163
72,NG,201403,10,153
73,NG,201404,10,131
74,NG,201405,10,242
75,NG,201406,10,150
76,NG,201407,10,176
77,NG,201408,10,88
78,NG,201409,10,186
79,NG,201410,10,201
80,NG,201411,10,225
81,NG,201412,10,138
82,NG,201501,10,427
83,NG,201502,10,512
84,NG,201503,10,344
85,NG,201504,10,324
86,NG,201505,10,374
87,NG,201506,10,345
88,NG,201507,10,320
89,NG,201508,10,217
90,NG,201509,10,329
91,NG,201510,10,314
92,NG,201511,10,254
93,NG,201512,10,235
94,NG,201601,10,261
95,NG,201602,10,268
96,NG,201603,10,282
97,NG,201604,10,208
98,NG,201605,10,392
99,NG,201606,10,425
100,NG,201607,10,339
101,NG,201608,10,475
102,NG,201609,10,365
103,NG,201610,10,464
104,NG,201611,10,285
105,NG,201612,10,344
106,NG,201701,10,490
107,NG,201702,10,269
108,NG,201703,10,349
109,NG,201704,10,243
110,NG,201705,10,275
111,NG,201706,10,388
112,NG,201707,10,350
113,NG,201708,10,217
114,NG,201709,10,260
115,NG,201710,10,1351
116,NG,201711,10,555
117,NG,201712,10,316
118,NG,201801,10,346
119,NG,201802,10,349
120,NG,201803,10,338
