,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,UZ,200803,10,77
1,UZ,200804,10,63
2,UZ,200805,10,69
3,UZ,200806,10,60
4,UZ,200807,10,92
5,UZ,200808,10,43
6,UZ,200809,10,83
7,UZ,200810,10,87
8,UZ,200811,10,116
9,UZ,200812,10,108
10,UZ,200901,10,106
11,UZ,200902,10,137
12,UZ,200903,10,135
13,UZ,200904,10,143
14,UZ,200905,10,142
15,UZ,200906,10,108
16,UZ,200907,10,92
17,UZ,200908,10,186
18,UZ,200909,10,113
19,UZ,200910,10,189
20,UZ,200911,10,159
21,UZ,200912,10,183
22,UZ,201001,10,231
23,UZ,201002,10,122
24,UZ,201003,10,89
25,UZ,201004,10,100
26,UZ,201005,10,84
27,UZ,201006,10,337
28,UZ,201007,10,92
29,UZ,201008,10,188
30,UZ,201009,10,244
31,UZ,201010,10,187
32,UZ,201011,10,119
33,UZ,201012,10,112
34,UZ,201101,10,127
35,UZ,201102,10,104
36,UZ,201103,10,154
37,UZ,201104,10,75
38,UZ,201105,10,120
39,UZ,201106,10,150
40,UZ,201107,10,108
41,UZ,201108,10,157
42,UZ,201109,10,105
43,UZ,201110,10,105
44,UZ,201111,10,139
45,UZ,201112,10,115
46,UZ,201201,10,123
47,UZ,201202,10,168
48,UZ,201203,10,133
49,UZ,201204,10,110
50,UZ,201205,10,130
51,UZ,201206,10,169
52,UZ,201207,10,132
53,UZ,201208,10,137
54,UZ,201209,10,120
55,UZ,201210,10,109
56,UZ,201211,10,113
57,UZ,201212,10,130
58,UZ,201301,10,113
59,UZ,201302,10,228
60,UZ,201303,10,92
61,UZ,201304,10,53
62,UZ,201305,10,38
63,UZ,201306,10,140
64,UZ,201307,10,189
65,UZ,201308,10,201
66,UZ,201309,10,202
67,UZ,201310,10,149
68,UZ,201311,10,230
69,UZ,201312,10,168
70,UZ,201401,10,126
71,UZ,201402,10,174
72,UZ,201403,10,197
73,UZ,201404,10,158
74,UZ,201405,10,139
75,UZ,201406,10,241
76,UZ,201407,10,157
77,UZ,201408,10,121
78,UZ,201409,10,194
79,UZ,201410,10,134
80,UZ,201411,10,130
81,UZ,201412,10,160
82,UZ,201501,10,177
83,UZ,201502,10,192
84,UZ,201503,10,270
85,UZ,201504,10,225
86,UZ,201505,10,259
87,UZ,201506,10,212
88,UZ,201507,10,231
89,UZ,201508,10,280
90,UZ,201509,10,191
91,UZ,201510,10,171
92,UZ,201511,10,268
93,UZ,201512,10,199
94,UZ,201601,10,180
95,UZ,201602,10,169
96,UZ,201603,10,266
97,UZ,201604,10,185
98,UZ,201605,10,179
99,UZ,201606,10,335
100,UZ,201607,10,172
101,UZ,201608,10,307
102,UZ,201609,10,695
103,UZ,201610,10,187
104,UZ,201611,10,241
105,UZ,201612,10,400
106,UZ,201701,10,304
107,UZ,201702,10,193
108,UZ,201703,10,143
109,UZ,201704,10,272
110,UZ,201705,10,189
111,UZ,201706,10,169
112,UZ,201707,10,133
113,UZ,201708,10,216
114,UZ,201709,10,255
115,UZ,201710,10,264
116,UZ,201711,10,569
117,UZ,201712,10,222
118,UZ,201801,10,161
119,UZ,201802,10,192
120,UZ,201803,10,276
121,UZ,201804,10,177
122,UZ,201805,10,186
123,UZ,201806,10,136
124,UZ,201807,10,147
125,UZ,201808,10,171
126,UZ,201809,10,214
127,UZ,201810,10,198
128,UZ,201811,10,139
129,UZ,201812,10,156
130,UZ,201901,10,115
131,UZ,201902,10,235
132,UZ,201903,10,217
133,UZ,201904,10,174
134,UZ,201905,10,134
135,UZ,201906,10,81
136,UZ,201907,10,172
137,UZ,201908,10,154
138,UZ,201909,10,78
139,UZ,201910,10,137
140,UZ,201911,10,158
141,UZ,201912,10,172
142,UZ,202001,10,145
143,UZ,202002,10,110
144,UZ,202003,10,125
145,UZ,202004,10,90
146,UZ,202005,10,98
147,UZ,202006,10,126
148,UZ,202007,10,140
149,UZ,202008,10,133
150,UZ,202009,10,107
151,UZ,200803,11,5
152,UZ,200804,11,4
153,UZ,200807,11,5
154,UZ,200808,11,1
155,UZ,200811,11,1
156,UZ,200902,11,3
157,UZ,200903,11,1
158,UZ,200904,11,4
159,UZ,200905,11,3
160,UZ,200906,11,2
161,UZ,200907,11,2
162,UZ,200908,11,5
163,UZ,200909,11,16
164,UZ,200910,11,8
165,UZ,200911,11,5
166,UZ,200912,11,4
