,ActionGeo_CountryCode,MonthYear,EventBaseCode,eventcount
0,WE,200803,10,247
1,WE,200804,10,187
2,WE,200805,10,215
3,WE,200806,10,238
4,WE,200807,10,299
5,WE,200808,10,247
6,WE,200809,10,136
7,WE,200810,10,160
8,WE,200811,10,202
9,WE,200812,10,337
10,WE,200901,10,378
11,WE,200902,10,229
12,WE,200903,10,232
13,WE,200904,10,221
14,WE,200905,10,340
15,WE,200906,10,470
16,WE,200907,10,318
17,WE,200908,10,421
18,WE,200909,10,402
19,WE,200910,10,260
20,WE,200911,10,339
21,WE,200912,10,415
22,WE,201001,10,259
23,WE,201002,10,306
24,WE,201003,10,128
25,WE,201004,10,164
26,WE,201005,10,130
27,WE,201006,10,86
28,WE,201007,10,138
29,WE,201008,10,369
30,WE,201009,10,482
31,WE,201010,10,314
32,WE,201011,10,293
33,WE,201012,10,381
34,WE,201101,10,396
35,WE,201102,10,251
36,WE,201103,10,458
37,WE,201104,10,336
38,WE,201105,10,434
39,WE,201106,10,246
40,WE,201107,10,254
41,WE,201108,10,244
42,WE,201109,10,594
43,WE,201110,10,320
44,WE,201111,10,226
45,WE,201112,10,248
46,WE,201201,10,278
47,WE,201202,10,399
48,WE,201203,10,292
49,WE,201204,10,422
50,WE,201205,10,347
51,WE,201206,10,297
52,WE,201207,10,377
53,WE,201208,10,221
54,WE,201209,10,271
55,WE,201210,10,259
56,WE,201211,10,365
57,WE,201212,10,442
58,WE,201301,10,328
59,WE,201302,10,264
60,WE,201303,10,336
61,WE,201304,10,106
62,WE,201305,10,81
63,WE,201306,10,159
64,WE,201307,10,334
65,WE,201308,10,288
66,WE,201309,10,173
67,WE,201310,10,265
68,WE,201311,10,333
69,WE,201312,10,372
70,WE,201401,10,464
71,WE,201402,10,309
72,WE,201403,10,296
73,WE,201404,10,365
74,WE,201405,10,397
75,WE,201406,10,528
76,WE,201407,10,659
77,WE,201408,10,441
78,WE,201409,10,371
79,WE,201410,10,408
80,WE,201411,10,429
81,WE,201412,10,513
82,WE,201501,10,374
83,WE,201502,10,338
84,WE,201503,10,492
85,WE,201504,10,446
86,WE,201505,10,456
87,WE,201506,10,431
88,WE,201507,10,573
89,WE,201508,10,673
90,WE,201509,10,408
91,WE,201510,10,716
92,WE,201511,10,538
93,WE,201512,10,533
94,WE,201601,10,604
95,WE,201602,10,697
96,WE,201603,10,583
97,WE,201604,10,454
98,WE,201605,10,443
99,WE,201606,10,442
100,WE,201607,10,384
101,WE,201608,10,455
102,WE,201609,10,397
103,WE,201610,10,531
104,WE,201611,10,540
105,WE,201612,10,860
106,WE,201701,10,803
107,WE,201702,10,712
108,WE,201703,10,533
109,WE,201704,10,390
110,WE,201705,10,533
111,WE,201706,10,483
112,WE,201707,10,567
113,WE,201708,10,341
114,WE,201709,10,303
115,WE,201710,10,391
116,WE,201711,10,382
117,WE,201712,10,683
118,WE,201801,10,677
119,WE,201802,10,484
120,WE,201803,10,348
121,WE,201804,10,329
122,WE,201805,10,341
123,WE,201806,10,352
124,WE,201807,10,350
125,WE,201808,10,454
126,WE,201809,10,546
127,WE,201810,10,407
128,WE,201811,10,402
129,WE,201812,10,565
130,WE,201901,10,436
131,WE,201902,10,373
132,WE,201903,10,428
133,WE,201904,10,614
134,WE,201905,10,411
135,WE,201906,10,511
136,WE,201907,10,418
137,WE,201908,10,416
138,WE,201909,10,354
139,WE,201910,10,243
140,WE,201911,10,486
141,WE,201912,10,392
142,WE,202001,10,468
143,WE,202002,10,367
144,WE,202003,10,407
145,WE,202004,10,330
146,WE,202005,10,484
147,WE,202006,10,546
148,WE,202007,10,429
149,WE,202008,10,379
150,WE,202009,10,252
151,WE,200803,11,2
152,WE,200804,11,11
153,WE,200805,11,4
154,WE,200806,11,10
155,WE,200807,11,5
156,WE,200808,11,11
157,WE,200809,11,2
158,WE,200812,11,5
159,WE,200901,11,7
160,WE,200902,11,5
161,WE,200903,11,4
162,WE,200904,11,3
163,WE,200905,11,14
164,WE,200906,11,10
165,WE,200907,11,10
166,WE,200908,11,13
167,WE,200909,11,8
168,WE,200910,11,8
169,WE,200911,11,8
